,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,601456.SH,601456,国联证券,证券,17.38,12.0,0.0,82.68,,0.0
1,300859.SZ,300859,西域旅游,旅游服务,26.87,11.0,3.0,10.41,,0.0
2,002991.SZ,002991,甘源食品,食品,137.68,11.0,0.0,32.08,,0.0
3,300857.SZ,300857,协创数据,IT设备,35.75,10.0,0.0,18.46,,0.0
4,300858.SZ,300858,科拓生物,食品,88.0,9.0,0.0,18.15,,0.0
5,300855.SZ,300855,图南股份,钢加工,46.61,9.0,0.0,23.3,,0.0
6,605188.SH,605188,国光连锁,超市连锁,13.72,8.0,0.0,6.8,,0.0
7,600543.SH,600543,莫高股份,红黄酒,10.45,8.0,1.0,33.56,中信证券-甘肃兴陇资本管理有限公司-中信证券兴陇1号单一资产管理计划,1.0
8,002995.SZ,002995,天地在线,互联网,75.97,8.0,0.0,12.28,,0.0
9,600165.SH,600165,新日恒力,化工原料,8.07,7.0,1.0,55.27,"华鑫国际信托有限公司-华鑫信托·华鹏66号集合资金信托计划
国通信托有限责任公司-国通信托·紫金8号集合资金信托计划
国通信托有限责任公司-国通信托·同洲精进2号集合资金信托计划",3.0
10,605118.SH,605118,力鼎光电,元器件,22.55,7.0,0.0,9.25,,0.0
11,002506.SZ,002506,协鑫集成,电气设备,5.01,7.0,0.0,254.2,"天津融境股权投资基金中心(有限合伙)
香港中央结算有限公司(陆股通)
长城(德阳)超日项目基金合伙企业(有限合伙)",3.0
12,601216.SH,601216,君正集团,化工原料,9.34,7.0,1.0,788.11,"中信信诚资产-招商银行-诚融聚荷1号资产管理计划
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",3.0
13,002108.SZ,002108,沧州明珠,塑料,6.12,6.0,2.0,86.78,"中央汇金资产管理有限责任公司
云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划
深圳福星资本管理有限公司-福星高照1号私募投资基金",3.0
14,300099.SZ,300099,精准信息,电器仪表,8.69,6.0,0.0,39.2,,0.0
15,002992.SZ,002992,宝明科技,元器件,38.38,6.0,0.0,13.24,,0.0
16,000828.SZ,000828,东莞控股,路桥,11.84,6.0,0.0,123.08,"工商银行-富国中证红利指数增强型证券投资基金
中国工商银行-富国中证红利指数增强型证券投资基金",2.0
17,300120.SZ,300120,经纬辉开,元器件,18.46,6.0,1.0,43.74,"中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划",11.0
18,600139.SH,600139,西部资源,综合类,4.5,6.0,1.0,29.79,,0.0
19,002651.SZ,002651,利君股份,专用机械,9.58,6.0,1.0,50.5,领航投资澳洲有限公司-领航新兴市场股指基金(交易所),1.0
20,300278.SZ,300278,华昌达,专用机械,6.12,6.0,0.0,18.47,"陕西省国际信托股份有限公司-陕国投·永利33号证券投资集合资金信托计划
厦门国际信托有限公司-厦门信托-汇金1615号集合资金信托",2.0
21,603167.SH,603167,渤海轮渡,水运,16.03,6.0,1.0,74.65,"招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF)
中国工商银行股份有限公司-兴业上证红利低波动交易型开放式指数证券投资基金",3.0
22,605199.SH,605199,葫芦娃,中成药,37.05,5.0,0.0,14.86,,0.0
23,002163.SZ,002163,海南发展,装修装饰,20.51,5.0,1.0,164.79,"华润深国投信托有限公司-华润信托·鸿道聚利集合资金信托计划
中国对外经济贸易信托有限公司-鸿道3期
中航基金-浙商银行-中航基金同达1号资产管理计划",3.0
24,605318.SH,605318,法狮龙,装修装饰,21.56,5.0,0.0,6.96,,0.0
25,002009.SZ,002009,天奇股份,工程机械,11.54,5.0,1.0,42.76,"云南国际信托有限公司-云南信托-招信智赢19号集合资金信托计划
创金合信基金-包商银行-华润深国投信托-天奇持股计划1期集合资金信托计划",2.0
26,300368.SZ,300368,汇金股份,IT设备,13.09,5.0,1.0,62.51,中央汇金资产管理有限责任公司,1.0
27,000411.SZ,000411,英特集团,医药商业,21.05,5.0,1.0,43.64,"全国社保基金六零四组合
基本养老保险基金九零三组合",2.0
28,600166.SH,600166,福田汽车,汽车整车,2.81,5.0,1.0,184.76,中央汇金资产管理有限责任公司,1.0
29,600351.SH,600351,亚宝药业,中成药,6.72,5.0,0.0,51.74,"中央汇金资产管理有限责任公司
山西省科技基金发展有限公司",2.0
30,300318.SZ,300318,博晖创新,医疗保健,10.47,5.0,0.0,75.86,中央汇金资产管理有限责任公司,1.0
31,603069.SH,603069,海汽集团,公路,43.48,5.0,1.0,137.4,,0.0
