,ts_code,name,industry,continuously_limit_up,continuously_up,average_p_change,last_p_change,circ_mv
817,002356.SZ,赫美集团,其他商业,9.0,11.0,8.383,10.0145,728042.9334
2379,600290.SH,华仪电气,电气设备,4.0,4.0,10.01,10.0575,582086.0894
451,000990.SZ,诚志股份,化工原料,4.0,4.0,10.018,10.0121,707133.3251
2649,600624.SH,复旦复华,综合类,4.0,4.0,10.013,10.022,684027.298
2360,600268.SH,国电南自,电气设备,4.0,4.0,9.984,9.9693,455471.6932
2823,600818.SH,中路股份,文教休闲,3.0,4.0,9.23,10.0063,418567.9637
444,000981.SZ,银亿股份,汽车配件,3.0,4.0,8.377,9.9783,1305178.0092
956,002495.SZ,佳隆股份,食品,2.0,4.0,7.394,10.0,322610.8103
2188,600072.SH,中船科技,船舶,2.0,5.0,6.168,10.0279,711922.8425
995,002535.SZ,林州重机,工程机械,2.0,4.0,6.845,9.9138,301142.6713
2091,300713.SZ,英可瑞,电气设备,1.0,1.0,10.0,10.0,108324.0575
2183,600067.SH,冠城大通,全国地产,1.0,4.0,3.201,10.1099,747547.4732
2262,600156.SH,华升股份,纺织,1.0,4.0,5.059,10.0539,246493.8603
68,000159.SZ,国际实业,石油贸易,1.0,4.0,4.199,10.0733,288892.2818
2526,600486.SH,扬农化工,农药化肥,1.0,1.0,10.006,10.0061,1679652.0759
2026,300647.SZ,超频三,元器件,1.0,4.0,5.307,10.0,154234.7235
2692,600677.SH,航天通信,通信设备,1.0,1.0,10.026,10.0255,717505.5922
2713,600698.SH,湖南天雁,汽车配件,1.0,1.0,10.094,10.0939,345706.3999
2733,600720.SH,祁连山,水泥,1.0,1.0,10.013,10.0128,665171.4228
2027,300648.SZ,星云股份,电器仪表,1.0,1.0,9.986,9.986,141517.4337
1818,300432.SZ,富临精工,汽车配件,1.0,1.0,9.942,9.9424,293003.2825
1916,300531.SZ,优博讯,软件服务,1.0,4.0,8.045,10.0086,311089.8
1857,300471.SZ,厚普股份,专用机械,1.0,1.0,9.961,9.9612,232281.625
261,000715.SZ,中兴商业,百货,1.0,1.0,9.977,9.9773,270208.6262
1725,300337.SZ,银邦股份,铝,1.0,1.0,10.022,10.0223,346145.591
1701,300313.SZ,天山生物,农业综合,1.0,1.0,9.986,9.9863,146451.5877
1460,300071.SZ,华谊嘉信,广告包装,1.0,1.0,9.953,9.9526,193490.0588
1438,300048.SZ,合康新能,电气设备,1.0,1.0,10.095,10.0946,352671.406
1171,002713.SZ,东易日盛,装修装饰,1.0,1.0,10.0,10.0,467830.3037
1144,002684.SZ,猛狮科技,电气设备,1.0,1.0,9.986,9.9863,324442.1866
808,002347.SZ,泰尔股份,机械基件,1.0,1.0,9.937,9.9366,165935.0602
560,002098.SZ,浔兴股份,服饰,1.0,1.0,10.01,10.0105,373752.0
538,002076.SZ,雪莱特,家用电器,1.0,1.0,9.975,9.9751,196409.609
477,002015.SZ,霞客环保,化纤,1.0,1.0,10.049,10.0494,267670.1551
308,000789.SZ,万年青,水泥,1.0,4.0,3.808,10.0,870343.4003
2856,600856.SH,中天能源,供气供热,1.0,1.0,10.064,10.0642,690518.9373
