,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_MINUS_COMBO,COL_LASTPRICE
0,600290.SH,600290,华仪电气,电气设备,12.0,4.0,6.93
1,002554.SZ,002554,惠博普,石油开采,9.52,4.0,3.47
2,600734.SH,600734,实达集团,电脑设备,9.34,3.0,8.7
3,002473.SZ,002473,圣莱达,家用电器,8.58,3.0,10.41
4,000570.SZ,000570,苏常柴A,机械基件,8.22,3.0,5.58
5,600666.SH,600666,奥瑞德,元器件,7.96,3.0,3.91
6,002292.SZ,002292,奥飞娱乐,影视音像,7.33,6.0,8.27
7,300171.SZ,300171,东富龙,医疗保健,6.97,3.0,11.04
8,600639.SH,600639,浦东金桥,园区开发,6.97,3.0,15.18
9,603888.SH,603888,新华网,互联网,6.65,4.0,23.63
10,002718.SZ,002718,友邦吊顶,家居用品,6.59,3.0,31.65
11,002569.SZ,002569,步森股份,服饰,6.56,3.0,11.97
12,603315.SH,603315,福鞍股份,机械基件,6.46,4.0,14.61
13,600281.SH,600281,太化股份,化工原料,6.34,3.0,4.33
14,300233.SZ,300233,金城医药,化学制药,6.26,3.0,18.62
15,300380.SZ,300380,安硕信息,软件服务,5.64,4.0,24.46
16,000671.SZ,000671,阳光城,区域地产,5.58,6.0,8.0
17,000820.SZ,000820,神雾节能,环境保护,5.57,4.0,6.64
18,600730.SH,600730,中国高科,综合类,5.49,4.0,6.78
19,600268.SH,600268,国电南自,电气设备,5.2,4.0,7.5
20,000793.SZ,000793,华闻传媒,出版业,5.01,3.0,4.76
21,600053.SH,600053,九鼎投资,多元金融,4.98,3.0,26.77
22,600620.SH,600620,天宸股份,综合类,4.87,3.0,7.88
23,300130.SZ,300130,新国都,电脑设备,4.79,3.0,17.43
24,000557.SZ,000557,西部创业,铁路,4.54,4.0,4.57
25,600846.SH,600846,同济科技,综合类,4.4,4.0,10.3
26,002604.SZ,002604,*ST龙力,食品,4.35,3.0,2.28
27,300046.SZ,300046,台基股份,半导体,4.29,4.0,16.63
28,002856.SZ,002856,美芝股份,装修装饰,4.23,3.0,23.65
29,300334.SZ,300334,津膜科技,专用机械,4.18,3.0,9.38
30,600259.SH,600259,广晟有色,小金属,4.17,3.0,35.3
31,300421.SZ,300421,力星股份,机械基件,4.14,3.0,17.98
32,002094.SZ,002094,青岛金王,日用化工,4.08,3.0,5.97
33,600610.SH,600610,*ST毅达,建筑施工,4.06,4.0,4.02
34,603088.SH,603088,宁波精达,专用机械,4.02,4.0,13.81
