,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300895.SZ,300895,N铜牛,软件服务,69.09,1.0,1.0,45.0,15.89,,0.0
1,300893.SZ,300893,N松原,汽车配件,41.1,1.0,1.0,20.0,9.74,,0.0
2,300892.SZ,300892,N品渥,食品,77.0,1.0,1.0,19.0,18.26,,0.0
3,688526.SH,688526,科前生物,农业综合,34.35,2.0,2.0,18.0,27.39,,0.0
4,605358.SH,605358,立昂微,半导体,16.71,10.0,3.0,13.0,6.78,,0.0
5,605009.SH,605009,豪悦护理,造纸,204.98,9.0,2.0,12.0,54.67,,0.0
6,003000.SZ,003000,华文食品,食品,15.51,9.0,3.0,12.0,6.21,,0.0
7,605369.SH,605369,拱东医疗,医疗保健,80.75,7.0,3.0,10.0,16.15,,0.0
8,688536.SH,688536,思瑞浦,半导体,264.0,3.0,2.0,9.0,47.74,,0.0
9,603112.SH,603112,华翔股份,机械基件,15.05,5.0,2.0,8.0,8.01,,0.0
10,605198.SH,605198,德利股份,软饮料,16.01,5.0,3.0,8.0,3.2,,0.0
11,003003.SZ,003003,天元股份,广告包装,20.11,4.0,3.0,7.0,8.89,,0.0
12,605116.SH,605116,奥锐特,化学制药,16.05,4.0,3.0,7.0,6.58,,0.0
13,003006.SZ,003006,百亚股份,造纸,12.67,4.0,3.0,7.0,5.42,,0.0
14,003002.SZ,003002,壶化股份,化工原料,14.32,3.0,3.0,6.0,7.16,,0.0
15,003005.SZ,003005,竞业达,软件服务,55.46,3.0,3.0,6.0,14.7,,0.0
16,600481.SH,600481,双良节能,环境保护,5.8,6.0,2.0,6.0,94.38,中央汇金资产管理有限责任公司,1.0
17,003007.SZ,003007,直真科技,软件服务,37.07,2.0,2.0,5.0,7.41,,0.0
18,003008.SZ,003008,开普检测,电气设备,48.18,2.0,2.0,5.0,9.64,,0.0
19,603557.SH,603557,起步股份,服饰,15.23,5.0,2.0,5.0,71.58,,0.0
20,300318.SZ,300318,博晖创新,医疗保健,13.85,3.0,2.0,4.0,102.1,中央汇金资产管理有限责任公司,1.0
21,300869.SZ,300869,康泰医学,医疗保健,116.5,5.0,2.0,4.0,44.9,,0.0
22,002819.SZ,002819,东方中科,电器仪表,42.59,4.0,3.0,4.0,59.3,,0.0
23,605050.SH,605050,N福然德,仓储物流,15.7,1.0,1.0,4.0,11.78,,0.0
24,603976.SH,603976,正川股份,医疗保健,70.18,4.0,3.0,3.0,106.11,"中国工商银行股份有限公司-汇添富医药保健混合型证券投资基金
中国工商银行股份有限公司-融通医疗保健行业混合型证券投资基金",2.0
25,000548.SZ,000548,湖南投资,路桥,5.1,3.0,2.0,3.0,25.46,,0.0
26,300208.SZ,300208,青岛中程,电气设备,12.6,3.0,1.0,2.0,86.61,"宁波梅山保税港区荟金投资管理有限公司-荟金1号私募证券投资基金
宁波梅山保税港区荟金投资管理有限公司-荟金2号私募证券投资基金",2.0
27,603115.SH,603115,海星股份,元器件,19.13,2.0,2.0,2.0,9.95,,0.0
28,002931.SZ,002931,锋龙股份,汽车配件,20.35,2.0,2.0,2.0,8.83,桐庐浙富桐君股权投资基金合伙企业(有限合伙),1.0
29,300080.SZ,300080,易成新能,半导体,6.31,2.0,1.0,2.0,31.68,,0.0
30,300117.SZ,300117,嘉寓股份,装修装饰,4.31,2.0,1.0,2.0,30.75,中央汇金资产管理有限责任公司,1.0
31,605006.SH,605006,山东玻纤,玻璃,11.1,9.0,2.0,2.0,11.1,,0.0
32,300877.SZ,300877,金春股份,纺织,74.4,2.0,1.0,2.0,21.17,,0.0
33,300288.SZ,300288,朗玛信息,软件服务,14.8,1.0,1.0,2.0,31.2,广州市玄元投资管理有限公司-玄元定增精选证券投资基金,1.0
34,300730.SZ,300730,科创信息,软件服务,20.18,2.0,1.0,2.0,17.03,,0.0
35,002006.SZ,002006,精功科技,专用机械,6.93,3.0,2.0,2.0,31.54,,0.0
36,300485.SZ,300485,赛升药业,生物制药,19.7,1.0,1.0,2.0,49.92,,0.0
37,000638.SZ,000638,万方发展,软件服务,8.42,5.0,2.0,2.0,26.05,,0.0
38,300122.SZ,300122,智飞生物,生物制药,142.6,1.0,1.0,1.0,1283.93,"尚信健投资产管理(上海)有限责任公司-尚信健投-恒兴私募证券投资基金
云南信托-智飞生物2019第二期员工持股集合资金信托计划
香港中央结算有限公司(陆股通)
全国社保基金一一零组合
云南国际信托有限公司-云南信托-智飞生物2019第二期员工持股集合资金信托计划
尚信健投资产管理(上海)有限责任公司-尚投道私募证券投资基金
东莞信托有限公司-东莞信托·汇信-惠正稳健集合资金信托计划",7.0
39,600203.SH,600203,福日电子,元器件,7.33,1.0,1.0,1.0,33.46,平安基金-平安银行-平安大华永智1号特定客户资产管理计划,1.0
40,600172.SH,600172,黄河旋风,矿物制品,3.73,2.0,1.0,1.0,45.66,中原金象投资管理有限公司-中原金象河南民营上市公司发展支持1号私募股权投资基金,1.0
41,300200.SZ,300200,高盟新材,化工原料,14.78,2.0,1.0,1.0,60.73,中央汇金资产管理有限责任公司,1.0
42,600433.SH,600433,冠豪高新,造纸,3.75,1.0,1.0,1.0,47.67,,0.0
43,600211.SH,600211,西藏药业,中成药,90.37,1.0,1.0,1.0,224.06,"全国社保基金四零三组合
中国银行股份有限公司-华夏鼎沛债券型证券投资基金",2.0
44,300588.SZ,300588,熙菱信息,软件服务,16.06,4.0,1.0,1.0,16.85,,0.0
45,300155.SZ,300155,安居宝,元器件,8.58,2.0,1.0,1.0,24.19,,0.0
46,600537.SH,600537,亿晶光电,半导体,4.01,1.0,1.0,1.0,47.17,中央汇金资产管理有限责任公司,1.0
47,600540.SH,600540,新赛股份,种植业,5.81,1.0,1.0,1.0,27.36,,0.0
48,300501.SZ,300501,海顺新材,广告包装,23.21,1.0,1.0,1.0,19.82,,0.0
