,name,p_change_01,past_average_turnover,stop_mark
002508,老板电器,-18.582,1.853,
002304,洋河股份,-15.739,0.323,
600887,伊利股份,-15.626,2.073,
600340,华夏幸福,-15.401,1.533,
002572,索菲亚,-11.086,1.05,
000858,五 粮 液,-10.018,1.003,
002236,大华股份,-9.227,2.363,
000651,格力电器,-8.779,1.14,
600690,青岛海尔,-8.392,1.043,
000568,泸州老窖,-7.217,0.703,
300133,华策影视,-6.614,1.937,
000895,双汇发展,-6.35,0.667,
000002,万 科Ａ,-5.727,0.49,
000418,小天鹅Ａ,-5.579,0.353,
600660,福耀玻璃,-5.541,0.66,
300027,华谊兄弟,-5.196,2.997,
300251,光线传媒,-4.192,1.427,
002352,顺丰控股,-4.084,0.287,
600585,海螺水泥,-3.758,1.29,
000725,京东方Ａ,-3.681,2.183,
002555,三七互娱,-3.672,0.947,
002594,比亚迪,-3.406,0.833,
600519,贵州茅台,-3.167,0.39,
600606,绿地控股,-3.041,3.107,
601318,中国平安,-2.3,1.2,
600104,上汽集团,-2.043,0.327,
600900,长江电力,-0.59,0.187,
002831,裕同科技,-0.566,0.83,
002008,大族激光,-0.479,1.63,
600809,山西汾酒,-0.327,0.573,
600305,恒顺醋业,-0.049,0.873,
000333,美的集团,-0.008,0.78,
000423,东阿阿胶,1.233,1.017,
002701,奥瑞金,1.902,1.267,
002624,完美世界,2.74,1.1,
002415,海康威视,3.47,0.493,
300144,宋城演艺,4.82,0.963,
600085,同仁堂,4.915,0.717,
600993,马应龙,5.034,1.507,
601888,中国国旅,5.668,0.7,
002223,鱼跃医疗,6.043,3.207,
600062,华润双鹤,6.56,1.227,
600518,康美药业,6.807,0.433,
600600,青岛啤酒,7.175,0.913,
002262,恩华药业,7.33,0.75,
000538,云南白药,7.929,0.313,
002014,永新股份,8.938,0.757,
002230,科大讯飞,8.938,4.433,
600867,通化东宝,9.394,0.887,
300124,汇川技术,10.467,1.313,
002024,苏宁易购,10.879,2.43,
002120,韵达股份,16.263,1.283,
600436,片仔癀,16.379,1.317,
600315,上海家化,16.682,1.023,
600332,白云山,17.443,1.623,
300059,东方财富,17.722,5.977,
600276,恒瑞医药,17.779,0.677,
300015,爱尔眼科,18.007,0.993,
002422,科伦药业,19.661,1.713,
300616,尚品宅配,22.138,1.183,
600535,天士力,26.426,1.587,
300347,泰格医药,40.585,2.31,
603355,莱克电气,,,
603517,绝味食品,,,
603833,欧派家居,,,
603288,海天味业,,,
