,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT_5,COL_LOCAL_LIMIT_COUNT_10,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002610.SZ,002610,爱康科技,电气设备,1.92,4.0,1.0,1.0,829020.0,"国寿安保基金-渤海银行-华鑫国际信托-华鑫信托·慧智投资60号结构化集合资金信托计划
中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金
建信基金-兴业银行-华鑫国际信托-华鑫信托·慧智投资58号结构化集合资金信托计划
北信瑞丰基金-宁波银行-华鑫国际信托有限公司",4.0
1,600691.SH,600691,阳煤化工,农药化肥,2.16,4.0,1.0,1.0,,,
2,600558.SH,600558,大西洋,钢加工,3.17,4.0,1.0,1.0,280950.0,中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金,1.0
3,601216.SH,601216,君正集团,化工原料,3.32,3.0,1.0,1.0,3079880.0,"香港中央结算有限公司(陆股通)
中信信诚资产-招商银行-诚融聚荷1号资产管理计划
中央汇金资产管理有限责任公司",3.0
4,600567.SH,600567,山鹰纸业,造纸,3.41,0.0,1.0,1.0,1521130.0,"香港中央结算有限公司(陆股通)
山鹰国际控股股份公司-创享激励基金合伙人第一期持股计划
新华信托股份有限公司-新华信托华睿系列·金沙2号证券投资集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
陕西省国际信托股份有限公司-陕国投·【持盈75号】证券投资集合资金信托计划",5.0
5,000937.SZ,000937,冀中能源,煤炭开采,3.73,0.0,1.0,1.0,1046380.0,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",3.0
6,002662.SZ,002662,京威股份,汽车配件,3.95,3.0,1.0,1.0,582130.0,香港中央结算有限公司(陆股通),1.0
7,000428.SZ,000428,华天酒店,酒店餐饮,3.96,1.0,1.0,1.0,387175.0,,0.0
8,600370.SH,600370,三房巷,纺织,4.04,0.0,1.0,1.0,317303.0,,0.0
9,002435.SZ,002435,长江健康,化学制药,4.1,3.0,1.0,1.0,485836.0,"西藏信托有限公司-西藏信托-莱沃50号集合资金信托计划
上海浓谷投资管理有限公司-浓谷善德2号私募证券投资基金",2.0
10,600052.SH,600052,浙江广厦,影视音像,4.11,1.0,1.0,1.0,344357.0,重庆国际信托股份有限公司-重庆信托-麒麟投资1号集合资金信托计划,1.0
11,603766.SH,603766,隆鑫通用,摩托车,4.2,0.0,1.0,1.0,874809.0,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金
汇添富基金-宁波银行-隆鑫通用动力股份有限公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金",5.0
12,000514.SZ,000514,渝开发,区域地产,4.24,4.0,1.0,1.0,354384.0,中央汇金资产管理有限责任公司,1.0
13,002721.SZ,002721,金一文化,服饰,4.36,4.0,1.0,1.0,275530.0,"云南国际信托有限公司-云信智兴2017-2057号单一资金信托
北京海鑫资产管理有限公司
诺德基金-兴业银行-诺德千金221号特定客户资产管理计划
泰达宏利基金-平安银行-泰达宏利价值成长定向增发699号资产管理计划",4.0
14,300283.SZ,300283,温州宏丰,电气设备,4.41,2.0,1.0,1.0,103214.0,中央汇金资产管理有限责任公司,1.0
15,600724.SH,600724,宁波富达,水泥,4.44,0.0,1.0,1.0,641555.0,上海景富投资管理有限公司-景富和1期私募证券投资基金,1.0
