,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LAST_PCT_CHG,COL_LASTPRICE,concept
0,300573.SZ,300573,兴齐眼药,化学制药,9.0,10.0,58.96,"医药, 化学药, 眼科, "
1,300768.SZ,300768,迪普科技,软件服务,9.0,10.0058,38.15,
2,603068.SH,603068,博通集成,半导体,8.0,10.0038,57.51,
3,002054.SZ,002054,德美化工,化工原料,4.0,9.9688,10.59,"半导体, 国资入股, 壳公司, 创投, "
4,300770.SZ,300770,新媒股份,影视音像,4.0,9.9971,76.25,
5,300771.SZ,300771,智莱科技,电脑设备,3.0,10.0,57.97,
6,000815.SZ,000815,美利云,造纸,2.0,9.9576,10.38,"大数据, 云计算, 造纸, 宁夏, "
7,002140.SZ,002140,东华科技,建筑施工,2.0,10.0365,12.06,"高股息, 固废处理, 国家队重仓, 央企改革, 供应链金融, 雄安-公共服务, 环保, 雄安新区, "
8,002467.SZ,002467,二六三,电信运营,2.0,10.0,10.67,"教育, 业绩预增, 物联网, 谷歌概念股, 直播/短视频, 云计算, 高送转, 人工智能, "
9,600198.SH,600198,*ST大唐,通信设备,1.0,10.0134,16.37,"5G, 阿里巴巴概念股, 国家队重仓, 央企改革, 物联网, 无人驾驶, 移动支付, 半导体, 智慧城市, 电竞, 国产芯片, 资产重组, ST股, 人脸识别, "
10,601865.SH,601865,福莱特,玻璃,1.0,9.9698,14.56,"次新股, 光伏, "
11,601615.SH,601615,明阳智能,机械基件,1.0,10.0233,14.16,"次新股, 风电, "
12,600831.SH,600831,广电网络,影视音像,1.0,10.017,12.96,"大数据, 云计算, 智慧城市, 广电, 知识产权, "
13,600794.SH,600794,保税科技,仓储物流,1.0,10.0952,5.78,"军工, 军民融合, 快递物流, "
14,600751.SH,600751,海航科技,水运,1.0,10.1064,4.14,"破净股, 京津冀, 自贸区, 天津自贸区, 资产重组, 独角兽, "
15,600470.SH,600470,六国化工,农药化肥,1.0,9.9815,5.95,"安徽国企改革, 煤化工, 化肥, 磷化工, "
16,300622.SZ,300622,博士眼镜,其他商业,1.0,10.0,24.31,"高送转-预期, 眼科, "
17,300405.SZ,300405,科隆股份,化工原料,1.0,10.0207,10.65,"石油化工, "
18,300058.SZ,300058,蓝色光标,广告包装,1.0,10.0379,5.81,"国家队重仓, 互联网金融, 大数据, 人工智能, 国资入股, "
19,300051.SZ,300051,三五互联,互联网,1.0,9.9455,8.07,"数字中国, 云计算, 区块链, 国产软件, 腾讯概念股, 游戏, 手游, 动漫, "
20,002937.SZ,002937,兴瑞科技,元器件,1.0,10.0177,24.93,"高送转-预期, 业绩预增, 汽车零部件, 智能制造, 高送转, VR&AR, "
21,002793.SZ,002793,东音股份,专用机械,1.0,9.9919,13.54,
22,002695.SZ,002695,煌上煌,食品,1.0,10.0,13.86,"食品, 休闲食品, "
23,002688.SZ,002688,金河生物,化学制药,1.0,10.0478,6.9,"内蒙古, 业绩预增, 动物保健, "
24,603168.SH,603168,莎普爱思,化学制药,1.0,10.0474,11.61,"医药, 化学药, 眼科, 股权转让, "
