,ts_code,symbol,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_WEIGHT_MIN_INDEX,COL_WEIGHT_MAX_INDEX,COL_LASTPRICE,concept
0,300770.SZ,300770,新媒股份,影视音像,20.0,1.0,0.0,57.29,
1,300768.SZ,300768,迪普科技,软件服务,15.54,6.0,0.0,28.66,
2,300769.SZ,300769,德方纳米,化工原料,15.14,5.0,0.0,96.9,
3,603317.SH,603317,天味食品,食品,14.93,4.0,0.0,28.38,
4,300573.SZ,300573,兴齐眼药,化学制药,13.8,9.0,0.0,44.3,"医药, 化学药, 眼科, "
5,603068.SH,603068,博通集成,半导体,12.21,5.0,0.0,43.21,
6,002547.SZ,002547,春兴精工,通信设备,11.82,6.0,0.0,14.1,"5G, 特斯拉, 华为产业链, 3D玻璃, "
7,600758.SH,600758,红阳能源,煤炭开采,11.66,7.0,0.0,8.01,"煤炭, 电改, 风电, 股权转让, "
8,002057.SZ,002057,中钢天源,元器件,10.92,5.0,0.0,12.3,"硅锰, 央企改革, 债转股-AMC, 稀土磁材, 锂电池, 新能源汽车, "
9,600175.SH,600175,美都能源,综合类,10.3,4.0,0.0,3.77,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
10,600218.SH,600218,全柴动力,农用机械,10.11,9.0,0.0,22.78,"燃料电池, 强势人气股, "
11,002783.SZ,002783,凯龙股份,化工原料,9.57,8.0,0.0,23.1,"军工, 军民融合, 化肥, 燃料电池, 民爆, "
12,000159.SZ,000159,国际实业,石油贸易,9.06,4.0,0.0,14.5,"油气改革, 一带一路, 回购, 石油化工, 新疆, 壳公司, 强势人气股, "
13,000958.SZ,000958,东方能源,火力发电,8.33,9.0,1.0,8.69,"火电, 电改, 央企改革, 风电, 光伏, 雄安-公共服务, 雄安新区, 京津冀, 复牌股, "
14,601777.SH,601777,力帆股份,摩托车,8.27,9.0,0.0,9.36,"阿里巴巴概念股, 新能源整车, 汽车整车, 破净股, 无人驾驶, 锂电池, 新能源汽车, 共享经济, 独角兽, "
15,002215.SZ,002215,诺普信,农药化肥,8.22,7.0,0.0,11.14,"农药, 回购, 供应链金融, "
16,300317.SZ,300317,珈伟新能,半导体,7.88,4.0,0.0,7.53,"光伏, 高质押率, 锂电池, 新能源汽车, 石墨烯, 共享经济, LED, "
17,000038.SZ,000038,深大通,广告包装,7.88,4.0,0.0,16.56,"高质押率, 国资入股, "
18,000836.SZ,000836,富通鑫茂,通信设备,7.87,4.0,0.0,5.97,"5G, 光通信, 无人驾驶, 股权转让, 智慧安防, 独角兽, "
19,300698.SZ,300698,万马科技,通信设备,7.75,6.0,1.0,23.21,"5G, 光通信, 物联网, 量子通信, 医疗器械, 互联网医疗, "
20,600078.SH,600078,澄星股份,化工原料,7.71,4.0,1.0,5.07,"水电, 磷化工, "
21,300152.SZ,300152,科融环境,环境保护,7.28,4.0,0.0,3.89,"固废处理, 雄安-园林环保, 大气治理, 环保, 雄安新区, 污水处理, "
22,002796.SZ,002796,世嘉科技,专用机械,7.27,6.0,1.0,40.5,"5G, 业绩预增, 高送转-填权, "
23,300265.SZ,300265,通光线缆,电气设备,7.23,4.0,0.0,12.46,"5G, 特高压, 光通信, 军工, 军民融合, "
24,300128.SZ,300128,锦富技术,元器件,7.2,4.0,0.0,6.07,"OLED, 新零售, 石油化工, 物联网, 光伏, 大数据, 云计算, 石墨烯, 股权转让, VR&AR, 苹果产业链, "
25,002517.SZ,002517,恺英网络,互联网,7.19,1.0,0.0,4.54,"回购, 直播/短视频, 区块链, 电竞, VR&AR, 游戏, 手游, 动漫, "
26,000800.SZ,000800,一汽轿车,汽车整车,7.16,7.0,0.0,12.65,"新能源整车, 汽车整车, 混改, 央企改革, 百度概念股, 无人驾驶, 铁总混改, 新能源汽车, 共享经济, "
27,002390.SZ,002390,信邦制药,中成药,7.14,4.0,1.0,6.49,"民营医院, 回购, 医药, 中药, 互联网医疗, 工业大麻, "
28,002498.SZ,002498,汉缆股份,电气设备,6.94,4.0,0.0,3.89,"特高压, "
29,002662.SZ,002662,京威股份,汽车配件,6.7,4.0,0.0,6.39,"高股息, 新能源整车, 汽车零部件, 无人驾驶, 燃料电池, 新能源汽车, "
30,002631.SZ,002631,德尔未来,家居用品,6.69,4.0,0.0,11.01,"石墨烯, 家具家居, "
31,002668.SZ,002668,奥马电器,家用电器,6.69,4.0,0.0,7.9,"供应链金融, 白色家电, 家电, 互联网金融, 区块链, 股权转让, 国资入股, "
32,300561.SZ,300561,汇金科技,软件服务,6.59,5.0,0.0,19.63,"物联网, 互联网金融, 人工智能, 区块链, 国产软件, 资产重组, 无人银行, "
33,300299.SZ,300299,富春股份,通信设备,6.57,6.0,1.0,7.59,"5G, 数字中国, 大数据, 资产重组, 游戏, 手游, 影视, 动漫, "
34,600503.SH,600503,华丽家族,区域地产,6.54,4.0,0.0,5.74,"华为产业链, 恒大概念股, 房地产, 智能制造, 石墨烯, 期货概念, 机器人, "
35,300578.SZ,300578,会畅通讯,通信设备,6.41,2.0,0.0,25.83,"业绩预增, 大数据, 资产重组, "
36,603363.SH,603363,傲农生物,饲料,6.32,9.0,0.0,28.74,"饲料, 养猪, 动物保健, "
37,300492.SZ,300492,山鼎设计,建筑施工,6.32,6.0,0.0,38.34,"新零售, 跨境电商, 复牌股, 年报季报, 装修装饰, 体育产业, "
38,002385.SZ,002385,大北农,饲料,6.24,4.0,0.0,7.55,"MSCI, 新进指数成份股, 转基因, 回购, 饲料, 养猪, 互联网金融, 农业种植, 国资入股, "
39,600759.SH,600759,洲际油气,石油开采,6.12,6.0,0.0,4.99,"油服, 油气改革, 海南自由贸易港, 互联网金融, 自贸区, 自由贸易港, 资产重组, 海南, "
