,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_LIMIT_COUNT,COL_LAST_CHG,COL_MIN_MAX_GAP,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,301002.SZ,301002,N崧盛,电气设备,True,1.0,-8.6023,9.41188982239709,47.79762709604529,21.07,,0.0
1,301006.SZ,301006,N迈拓,电器仪表,True,1.0,-5.3228,5.622089155023291,21.376395266272173,9.93,,0.0
2,605319.SH,605319,N振华,汽车配件,True,2.0,10.0248,10.024752475247523,4.3919787654321,8.89,,0.0
3,600805.SH,600805,悦达投资,综合类,True,0.0,8.1081,12.04481792717087,0.6731608604651163,34.01,"南方基金-农业银行-南方中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划",10.0
4,600796.SH,600796,钱江生化,农药化肥,True,1.0,3.3203,15.250544662309373,0.662763214285714,15.94,,0.0
5,002761.SZ,002761,多喜爱,建筑工程,True,0.0,-2.0024,9.974093264248719,0.6274054025974016,20.14,"交通银行股份有限公司-广发中证基建工程指数型发起式证券投资基金
中国对外经济贸易信托有限公司-外贸信托-汇沣12号结构化证券投资集合资金信托计划
中国银行股份有限公司-信诚中证基建工程指数型证券投资基金(LOF)
陕西省国际信托股份有限公司-陕国投·易泓30号证券投资集合资金信托计划
中国对外经济贸易信托有限公司-外贸信托-汇沣19号(好猫2号)结构化证券投资集合资金信托计划",5.0
6,300542.SZ,300542,新晨科技,软件服务,True,1.0,20.0,32.212885154061624,0.6208695652173913,33.94,"上海呈瑞投资管理有限公司-呈瑞精选5号私募证券投资基金
上海呈瑞投资管理有限公司-呈瑞和兴12号私募证券投资基金",2.0
7,603918.SH,603918,金桥信息,软件服务,True,1.0,10.0202,17.259978425026958,0.5805453375000004,25.27,杭州文心致禾资产管理合伙企业(有限合伙),1.0
8,002685.SZ,002685,华东重机,工程机械,True,1.0,5.2764,17.696629213483163,0.5619601269841265,32.72,"广发证券资管-中国银行-广发恒定18号华东重机定向增发集合资产管理计划
无锡金筹投资管理有限公司-金筹成长动力1号私募证券投资基金",2.0
9,600208.SH,600208,新湖中宝,全国地产,True,0.0,3.8217,6.8852459016393475,0.5550564285714283,280.3,"中央汇金资产管理有限责任公司
华澳国际信托有限公司-华澳·臻智56号-新湖中宝员工持股计划集合资金信托计划
香港中央结算有限公司(陆股通)",3.0
10,600770.SH,600770,综艺股份,综合类,True,0.0,-0.349,14.143426294820728,0.5449033239436616,74.23,"中国银行股份有限公司-华泰柏瑞中证光伏产业交易型开放式指数证券投资基金
嘉实基金-农业银行-嘉实中证金融资产管理计划",2.0
11,600410.SH,600410,华胜天成,软件服务,True,1.0,9.9707,19.236883942766305,0.5183115950413221,82.41,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划",5.0
12,300379.SZ,300379,东方通,软件服务,True,1.0,-0.9394,22.708933717579228,0.5165015736040615,112.44,"基本养老保险基金一二零二组合
中国银行股份有限公司-海富通股票混合型证券投资基金
中国工商银行股份有限公司-富国创新科技混合型证券投资基金",3.0
13,603328.SH,603328,依顿电子,元器件,True,1.0,-1.5038,19.640179910044985,0.5126735114503815,78.48,"中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金
基本养老保险基金一零零六组合
中国建设银行股份有限公司-大成中证红利指数证券投资基金
中央汇金资产管理有限责任公司
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",6.0
14,603929.SH,603929,亚翔集成,装修装饰,True,1.0,9.9613,20.317460317460313,0.4902827343750001,24.26,,0.0
15,600053.SH,600053,九鼎投资,多元金融,True,1.0,9.9941,20.456026058631906,0.48856507961783474,80.16,香港中央结算有限公司(陆股通),1.0
16,600100.SH,600100,同方股份,IT设备,True,0.0,-1.5576,14.218616567036712,0.45487547747747775,187.32,神州兆基(北京)投资基金管理有限公司,1.0
17,002312.SZ,002312,川发龙蟒,化工原料,True,1.0,4.9279,22.44039270687237,0.44798235625,115.62,"上海迎水投资管理有限公司-迎水绿洲8号私募证券投资基金
香港中央结算有限公司(陆股通)",2.0
18,002434.SZ,002434,万里扬,汽车配件,True,0.0,7.0039,15.852887896532831,0.4418059375498275,110.47,全国社保基金四零三组合,1.0
19,300448.SZ,300448,浩云科技,软件服务,True,0.0,-1.511,21.290881524799655,0.43724352085452695,32.97,香港中央结算有限公司(陆股通),1.0
20,603777.SH,603777,来伊份,食品,True,1.0,-2.0,22.91483757682178,0.4353685670498083,46.18,上海迎水投资管理有限公司-迎水巡洋10号私募证券投资基金,1.0
21,600639.SH,600639,浦东金桥,园区开发,True,2.0,10.0302,23.12236286919831,0.43378784671532855,124.05,"上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金
中信信托有限责任公司-中信信托锐进43期高毅晓峰投资集合资金信托计划
上海国际集团资产管理有限公司
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",5.0
22,300134.SZ,300134,大富科技,通信设备,True,0.0,0.5005,13.961407491486932,0.43340902439024437,71.53,"浙江浙商产融资产管理有限公司
中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金
中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金",3.0
23,002819.SZ,002819,东方中科,电器仪表,True,1.0,4.185,23.20939713918857,0.4314157726696586,49.68,,0.0
24,603033.SH,603033,三维股份,橡胶,True,0.0,6.6922,15.64447269160092,0.4277676935441138,58.33,,0.0
25,002156.SZ,002156,通富微电,半导体,True,1.0,-1.411,23.91426959954879,0.4187876179245283,287.83,"国泰君安证券股份有限公司-国联安中证全指半导体产品与设备交易型开放式指数证券投资基金
中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
南通招商江海产业发展基金合伙企业(有限合伙)
中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金
国家集成电路产业投资基金股份有限公司
香港中央结算有限公司(陆股通)",7.0
