,industry,count
0,软饮料,1.0
1,纺织,1.0
2,元器件,4.0
3,建筑施工,7.0
4,空运,1.0
5,医疗保健,2.0
6,综合类,3.0
7,农药化肥,3.0
8,供气供热,1.0
9,区域地产,5.0
10,食品,7.0
11,电气设备,7.0
12,汽车整车,1.0
13,铁路,1.0
14,中成药,1.0
15,啤酒,2.0
16,公路,2.0
17,化学制药,3.0
18,通信设备,6.0
19,软件服务,3.0
20,环境保护,2.0
21,家用电器,2.0
22,专用机械,5.0
23,运输设备,2.0
24,化纤,1.0
25,商贸代理,1.0
26,电信运营,1.0
27,汽车配件,10.0
28,钢加工,2.0
29,影视音像,2.0
30,塑料,3.0
31,机床制造,1.0
32,机械基件,3.0
33,广告包装,2.0
34,电器仪表,2.0
35,特种钢,1.0
36,半导体,2.0
37,服饰,3.0
38,化工原料,4.0
39,林业,1.0
40,家居用品,6.0
41,其他建材,1.0
42,电脑设备,1.0
43,饲料,1.0
44,全国地产,3.0
45,仓储物流,2.0
46,白酒,1.0
47,文教休闲,1.0
48,多元金融,1.0
49,医药商业,1.0
50,旅游服务,1.0
51,普钢,2.0
52,百货,1.0
53,汽车服务,1.0
54,摩托车,1.0
55,陶瓷,1.0
