,ts_code,symbol,name,industry,COL_LASTPRICE,COL_FITNESS,COL_MAXGAP,concept
0,603222.SH,603222,济民制药,化学制药,30.09,7911.48,88.38,"民营医院, 海南自由贸易港, 医疗器械, 自贸区, 自由贸易港, "
1,603000.SH,603000,人民网,互联网,25.0,3265.75,78.75,"业绩预增, 直播/短视频, 进口博览会, 区块链, 彩票, 腾讯概念股, 强势人气股, "
2,300370.SZ,300370,安控科技,电器仪表,4.69,2577.92,115.97,"油服, 油气改革, 天然气, 石油化工, 兜底式增持, 物联网, 工业自动化, 海南自由贸易港, 智能制造, 自贸区, 工业互联网, 智慧城市, 自由贸易港, 国产芯片, 智慧安防, 机器人, 创投, "
3,300175.SZ,300175,朗源股份,食品,6.55,2101.3,79.78,"土地流转, 大数据, 云计算, 农业种植, 股权转让, 强势人气股, 苹果期货, "
4,000922.SZ,000922,佳电股份,电气设备,11.57,1893.76,67.19,"电改, 央企改革, 核电, 业绩预增, 工业自动化, 智能制造, ST摘帽, "
5,000550.SZ,000550,江铃汽车,汽车整车,27.34,1828.57,76.74,"高股息, 新能源整车, 汽车整车, 军工研究所, 重卡, 军工, 新能源汽车, "
6,300332.SZ,300332,天壕环境,环境保护,5.19,1620.0,67.3,"天然气, 互联网金融, 京津冀, 独角兽, 科创板概念股, 创投, "
7,600620.SH,600620,天宸股份,综合类,10.09,1392.93,74.44,
8,300220.SZ,300220,金运激光,元器件,27.48,1370.68,140.97,"3D打印, 智能制造, "
9,000677.SZ,000677,恒天海龙,化纤,3.9,1131.63,76.87,"轮胎, 石墨烯, 粘胶短纤, 强势人气股, 工业大麻, "
10,600651.SH,600651,飞乐音响,电器仪表,5.06,904.8,91.62,"上海国企改革, 智慧城市, LED, 强势人气股, "
11,600290.SH,600290,华仪电气,电气设备,6.6,865.54,67.9,"风电, 创投, "
12,002958.SZ,002958,青农商行,银行,8.71,781.23,98.28,"银行, 次新股, "
13,002017.SZ,002017,东信和平,通信设备,17.29,735.28,69.84,"5G, 央企改革, 物联网, 移动支付, 强势人气股, "
14,300686.SZ,300686,智动力,元器件,16.76,729.44,71.59,"OLED, 小米概念股, "
15,002949.SZ,002949,华阳国际,建筑施工,25.5,689.41,108.95,"次新股, 装配式建筑, 装修装饰, "
16,000893.SZ,000893,*ST东凌,食品,8.36,677.96,87.96,"化肥, 股权转让, ST股, "
17,002780.SZ,002780,三夫户外,其他商业,26.53,657.34,74.48,"主题公园, 纺织服装, 体育产业, "
18,603956.SH,603956,威派格,专用机械,24.85,641.44,221.52,"次新股, "
19,603309.SH,603309,维力医疗,医疗保健,19.57,635.79,90.65,"医疗器械, "
20,000810.SZ,000810,创维数字,家用电器,10.35,634.48,69.16,"5G, OLED, 华为产业链, 业绩预增, 百度概念股, 高质押率, 家电, 半导体, 智能音箱, 黑色家电, 手游, 广电, 科创板概念股, "
21,300538.SZ,300538,同益股份,批发业,33.28,597.3,70.58,"华为产业链, 小米概念股, 高送转, 国资入股, "
