,ts_code,symbol,name,industry,COL_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600032.SH,600032,浙江新能,新型电力,114.65346534653466,22.55,,0.0
1,002280.SZ,002280,联络互动,软件服务,101.2084592145015,117.31,"上海磐耀资产管理有限公司-磐耀源岳定制1号私募证券投资基金
香港中央结算有限公司(陆股通)",2.0
2,605186.SH,605186,健麾信息,专用机械,79.14012738853503,11.47,,0.0
3,605499.SH,605499,东鹏饮料,软饮料,77.15743659012459,47.23,,0.0
4,603196.SH,603196,日播时尚,服饰,72.41379310344828,26.4,,0.0
5,605339.SH,605339,南侨食品,食品,67.41133761519129,38.09,,0.0
6,300614.SZ,300614,百川畅银,环境保护,64.5682451253482,22.47,,0.0
7,600751.SH,600751,海航科技,软件服务,60.08064516129033,102.16,"上银基金-浦发银行-上银基金财富15号资产管理计划
方正富邦基金-华夏银行-天海定增2号资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",3.0
8,300268.SZ,300268,佳沃股份,农业综合,58.76974231088947,25.56,,0.0
9,688005.SH,688005,容百科技,电气设备,57.29329173166926,331.53,"天津世纪金沙江股权投资基金合伙企业(有限合伙)
湖北长江蔚来新能源产业发展基金合伙企业(有限合伙)",2.0
10,002341.SZ,002341,新纶科技,化工原料,57.23270440251571,47.84,,0.0
11,600704.SH,600704,物产中大,商贸代理,56.468287231070114,396.88,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",2.0
12,000995.SZ,000995,皇台酒业,白酒,56.364536899455175,56.01,甘肃西部资产管理股份有限公司,1.0
13,600112.SH,600112,*ST天成,电气设备,55.1948051948052,12.17,,0.0
14,002679.SZ,002679,福建金森,林业,54.974160206718324,56.56,,0.0
15,600696.SH,600696,ST岩石,区域地产,54.93273542600896,115.56,"华宝信托有限责任公司-天高资本20号单一资金信托
五牛股权投资基金管理有限公司",2.0
16,688097.SH,688097,博众精工,专用机械,53.84615384615383,12.59,,0.0
17,300390.SZ,300390,天华超净,元器件,53.67268375524434,172.86,,0.0
18,002759.SZ,002759,天际股份,家用电器,53.61980382998599,132.27,,0.0
19,600753.SH,600753,东方银星,商贸代理,52.024922118380054,87.45,上海杰宇资产管理有限公司,1.0
20,600238.SH,600238,海南椰岛,红黄酒,50.88757396449704,102.13,,0.0
21,300340.SZ,300340,科恒股份,元器件,50.65543071161049,28.11,"中央汇金资产管理有限责任公司
深圳创富兆业金融管理有限公司-创富福星五号私募证券投资基金
深圳创富兆业金融管理有限公司-创富福星二号私募证券投资基金
深圳创富兆业金融管理有限公司-创富福星一号私募证券投资基金",4.0
