,ts_code,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_CURRENT_PRICE,circ_mv
2243,600131.SH,岷江水电,水力发电,16.11,25.29,1030969.4365
3041,601519.SH,大智慧,软件服务,13.25,12.85,2554194.5
3004,601208.SH,东材科技,化工原料,12.44,5.65,354029.565
2583,600552.SH,凯盛科技,玻璃,12.14,6.24,476663.6179
3134,603000.SH,人民网,互联网,11.99,31.45,3477398.3711
355,000859.SZ,国风塑业,塑料,11.11,7.82,578142.3594
3073,601700.SH,风范股份,电气设备,10.62,9.76,1106034.432
1317,002870.SZ,香山股份,电器仪表,10.43,24.85,99698.2
817,002356.SZ,赫美集团,其他商业,9.7,12.53,601739.9707
479,002017.SZ,东信和平,通信设备,9.69,21.64,749448.0271
1060,002600.SZ,领益智造,元器件,9.38,6.88,1023669.0231
1898,300512.SZ,中亚股份,专用机械,9.32,15.9,123741.6244
2786,600776.SH,东方通信,通信设备,9.18,34.4,3288640.2202
1206,002750.SZ,龙津药业,中成药,8.93,16.74,665060.6577
2967,601066.SH,中信建投,证券,8.81,26.92,1076800.0
919,002458.SZ,益生股份,农业综合,8.64,49.8,1039890.1792
1474,300085.SZ,银之杰,软件服务,7.98,21.13,873961.3256
1669,300281.SZ,金明精机,专用机械,7.97,7.02,184011.9599
637,002175.SZ,东方网络,电器仪表,7.52,7.72,462746.6299
2630,600604.SH,市北高新,园区开发,7.51,18.43,2458902.4168
18,000023.SZ,深天地A,其他建材,7.49,16.34,226727.6962
128,000536.SZ,华映科技,元器件,7.44,3.87,775293.9589
1239,002786.SZ,银宝山新,专用机械,7.42,10.8,411739.2
705,002243.SZ,通产丽星,塑料,7.32,20.77,757998.9816
3022,601319.SH,中国人保,保险,7.22,10.65,1076970.6
2202,600086.SH,东方金钰,服饰,7.19,6.69,707029.3157
696,002234.SZ,民和股份,农业综合,7.17,39.47,754485.8603
2132,300759.SZ,康龙化成,化学制药,7.16,41.2,270395.6
619,002157.SZ,正邦科技,饲料,7.14,18.93,4104784.7778
3056,601608.SH,中信重工,专用机械,7.02,5.94,2577615.06
1783,300397.SZ,天和防务,通信设备,7.02,23.86,369991.1147
1757,300370.SZ,安控科技,电器仪表,7.01,6.34,452650.5354
1939,300555.SZ,路通视信,通信设备,6.94,12.31,114501.6029
2150,600021.SH,上海电力,火力发电,6.88,9.58,819901.2009
1666,300278.SZ,华昌达,专用机械,6.85,10.48,280926.9282
3092,601860.SH,紫金银行,银行,6.82,10.18,372678.489
3535,603888.SH,新华网,互联网,6.8,24.41,430763.2212
2821,600816.SH,安信信托,多元金融,6.77,7.87,3677264.6987
272,000727.SZ,华东科技,元器件,6.67,3.38,990561.3755
151,000563.SZ,陕国投A,多元金融,6.67,5.49,2176243.0525
1993,300612.SZ,宣亚国际,广告包装,6.62,26.3,119237.4804
1025,002565.SZ,顺灏股份,造纸,6.57,12.57,860840.0625
124,000531.SZ,穗恒运A,火力发电,6.55,7.75,530937.5565
2635,600610.SH,*ST毅达,建筑施工,6.44,3.82,143469.4934
2088,300710.SZ,万隆光电,通信设备,6.44,35.99,120652.876
3329,603383.SH,顶点软件,软件服务,6.42,86.28,500571.7114
884,002423.SZ,中原特钢,特种钢,6.27,12.1,608613.7582
1843,300457.SZ,赢合科技,专用机械,6.21,29.5,559758.4821
1407,300017.SZ,网宿科技,电信运营,6.05,15.3,2942342.3589
1969,300587.SZ,天铁股份,橡胶,6.05,23.84,100518.6804
2570,600536.SH,中国软件,软件服务,6.02,50.93,2518808.2487
2499,600446.SH,金证股份,软件服务,6.01,24.01,2048558.3721
3229,603165.SH,荣晟环保,造纸,5.93,20.6,91365.12
1027,002567.SZ,唐人神,饲料,5.9,14.06,1064629.0222
2018,300638.SZ,广和通,通信设备,5.85,61.55,245584.5
2924,600975.SH,新五丰,农业综合,5.83,10.53,687267.39
1398,300008.SZ,天海防务,船舶,5.79,4.72,284337.6569
586,002124.SZ,天邦股份,饲料,5.73,20.24,2142386.6503
848,002387.SZ,维信诺,元器件,5.68,14.0,1494937.0086
3104,601890.SH,亚星锚链,船舶,5.66,7.32,702280.8
1517,300128.SZ,锦富技术,元器件,5.56,5.51,587209.8918
1923,300538.SZ,同益股份,批发业,5.55,37.9,90946.9131
654,002192.SZ,融捷股份,专用机械,5.54,29.54,700073.6118
2450,600375.SH,华菱星马,汽车整车,5.51,7.85,436256.3686
270,000725.SZ,京东方A,元器件,5.38,4.12,13950216.2312
1599,300211.SZ,亿通科技,通信设备,5.33,7.43,137978.1314
436,000971.SZ,高升控股,互联网,5.32,6.28,371509.1295
30,000037.SZ,深南电A,火力发电,5.3,9.99,338555.118
2638,600613.SH,神奇制药,中成药,5.28,9.48,454395.3391
2021,300641.SZ,正丹股份,化工原料,5.27,6.09,136038.42
2884,600885.SH,宏发股份,电气设备,5.26,28.84,2147892.316
2625,600599.SH,熊猫金控,多元金融,5.25,14.1,234060.0
1564,300175.SZ,朗源股份,食品,5.25,8.19,378058.8193
3346,603477.SH,振静股份,纺织,5.19,8.98,101923.0
2639,600614.SH,鹏起科技,综合类,5.17,6.69,1011185.2432
2415,600331.SH,宏达股份,铅锌,5.16,3.8,772160.0
1149,002689.SZ,远大智能,运输设备,5.15,5.81,604716.7157
1413,300023.SZ,宝德股份,专用机械,5.11,7.57,109317.4949
1878,300492.SZ,山鼎设计,建筑施工,5.1,26.12,76655.3435
2246,600135.SH,乐凯胶片,化工原料,5.08,8.53,318161.95
1423,300033.SZ,同花顺,软件服务,5.06,90.55,2393257.8155
1514,300125.SZ,易世达,电气设备,5.05,25.8,453715.1106
1128,002668.SZ,奥马电器,家用电器,5.0,7.43,486145.9008
2671,600651.SH,飞乐音响,电器仪表,4.98,6.02,593102.4412
328,000813.SZ,德展健康,化学制药,4.95,11.56,1249139.3685
1667,300279.SZ,和晶科技,元器件,4.92,7.63,238488.476
2793,600783.SH,鲁信创投,矿物制品,4.92,24.6,1831123.8632
2973,601099.SH,太平洋,证券,4.89,4.22,2734060.5081
911,002450.SZ,ST康得新,化工原料,4.86,7.05,2279805.2429
1710,300322.SZ,硕贝德,通信设备,4.83,14.64,538040.3437
3163,603032.SH,德新交运,公路,4.83,39.0,305791.2
2208,600094.SH,大名城,区域地产,4.8,6.19,1409218.4715
2317,600218.SH,全柴动力,农用机械,4.79,12.4,457256.2
358,000862.SZ,银星能源,新型电力,4.79,8.08,405093.1351
3467,603729.SH,龙韵股份,广告包装,4.79,28.4,265079.92
375,000890.SZ,法尔胜,钢加工,4.73,6.49,246375.8799
1749,300362.SZ,天翔环境,环境保护,4.72,6.31,198039.709
2600,600572.SH,康恩贝,中成药,4.69,9.8,2607366.7801
1468,300079.SZ,数码科技,通信设备,4.66,7.73,934625.964
1433,300043.SZ,星辉娱乐,文教休闲,4.65,6.93,625574.8963
986,002526.SZ,山东矿机,工程机械,4.65,3.18,516734.9678
40,000050.SZ,深天马A,元器件,4.64,18.04,3283023.1266
2699,600684.SH,珠江实业,全国地产,4.64,5.01,427583.8222
3320,603363.SH,傲农生物,饲料,4.61,16.05,295308.6751
1528,300139.SZ,晓程科技,元器件,4.58,13.08,277833.0661
1716,300328.SZ,宜安科技,铝,4.57,10.06,412744.0944
2664,600643.SH,爱建集团,多元金融,4.51,11.94,1712265.9397
639,002177.SZ,御银股份,电脑设备,4.5,4.49,289389.1989
1744,300356.SZ,光一科技,电气设备,4.49,11.7,431463.5582
2203,600088.SH,中视传媒,影视音像,4.49,17.18,683259.5952
2700,600685.SH,中船防务,船舶,4.49,16.52,1357010.919
557,002095.SZ,生意宝,互联网,4.47,31.64,796182.9199
2864,600864.SH,哈投股份,证券,4.46,8.72,1376292.7318
2710,600695.SH,绿庭投资,多元金融,4.45,6.01,220246.7584
1975,300593.SZ,新雷能,电气设备,4.44,21.6,144526.2782
1190,002733.SZ,雄韬股份,电气设备,4.44,23.66,774245.8131
53,000070.SZ,特发信息,通信设备,4.4,15.69,941881.1009
1387,002947.SZ,恒铭达,元器件,4.4,53.91,163767.8142
1832,300446.SZ,乐凯新材,化工原料,4.38,28.77,340612.0779
3050,601598.SH,中国外运,仓储物流,4.37,7.02,948849.3362
2768,600756.SH,浪潮软件,软件服务,4.35,31.46,1019614.6769
1309,002862.SZ,实丰文化,文教休闲,4.34,35.36,110181.76
832,002371.SZ,北方华创,专用机械,4.33,78.65,2826179.4568
1929,300545.SZ,联得装备,专用机械,4.33,34.09,164062.8703
161,000576.SZ,广东甘化,造纸,4.32,9.89,410596.1358
1752,300365.SZ,恒华科技,软件服务,4.3,32.02,699878.7894
2978,601108.SH,财通证券,证券,4.3,13.99,3366963.0118
226,000670.SZ,盈方微,元器件,4.29,6.26,375359.9515
2338,600240.SH,华业资本,全国地产,4.26,3.56,507034.2816
1765,300379.SZ,东方通,软件服务,4.25,26.47,508913.6309
1035,002575.SZ,群兴玩具,文教休闲,4.25,9.65,568114.8
3070,601688.SH,华泰证券,证券,4.23,22.67,12340920.313
1755,300368.SZ,汇金股份,专用机械,4.22,9.56,444462.8422
2599,600571.SH,信雅达,软件服务,4.22,11.67,503106.663
3127,601990.SH,南京证券,证券,4.21,14.4,396028.8
949,002488.SZ,金固股份,汽车配件,4.2,12.06,927182.8568
794,002333.SZ,罗普斯金,铝,4.19,8.15,395250.3218
714,002252.SZ,上海莱士,生物制药,4.19,10.81,5375368.816
3020,601311.SH,骆驼股份,电气设备,4.18,16.9,1433792.2347
973,002512.SZ,达华智能,元器件,4.17,7.03,620928.2678
1559,300170.SZ,汉得信息,软件服务,4.14,20.79,1455447.3803
980,002519.SZ,银河电子,通信设备,4.11,5.65,469824.5324
1447,300057.SZ,万顺股份,广告包装,4.09,7.85,285410.0888
3452,603707.SH,健友股份,化学制药,4.07,37.9,1078649.3874
938,002477.SZ,雏鹰农牧,农业综合,4.04,3.17,624704.4828
2692,600677.SH,航天通信,通信设备,4.02,15.9,662120.6567
3278,603289.SH,泰瑞机器,专用机械,4.0,11.96,162385.2041
2207,600093.SH,易见股份,仓储物流,3.99,13.63,1529895.9425
478,002016.SZ,世荣兆业,区域地产,3.99,10.35,710885.2291
1385,002945.SZ,华林证券,证券,3.98,15.61,421470.0
85,000416.SZ,民生控股,多元金融,3.98,5.37,285491.2696
325,000810.SZ,创维数字,家用电器,3.98,11.67,1132500.6314
2546,600509.SH,天富能源,火力发电,3.98,4.99,451942.5964
3237,603180.SH,金牌厨柜,家居用品,3.95,70.11,129117.8782
580,002118.SZ,紫鑫药业,中成药,3.95,8.0,820185.0944
2554,600518.SH,康美药业,中成药,3.95,10.38,4570513.2607
1449,300059.SZ,东方财富,证券,3.91,20.32,8439941.403
322,000806.SZ,银河生物,生物制药,3.9,6.08,424656.567
222,000666.SZ,经纬纺机,纺织机械,3.89,14.0,410926.2724
1675,300287.SZ,飞利信,软件服务,3.89,6.26,700432.4022
3507,603828.SH,柯利达,装修装饰,3.86,10.58,438195.1715
1541,300152.SZ,科融环境,环境保护,3.86,2.87,204551.7952
2684,600666.SH,奥瑞德,元器件,3.86,4.35,349590.1564
804,002343.SZ,慈文传媒,影视音像,3.85,12.36,497093.6136
3256,603222.SH,济民制药,化学制药,3.85,23.5,752000.0
51,000068.SZ,华控赛格,元器件,3.84,6.89,693596.6387
1130,002670.SZ,国盛金控,证券,3.84,13.73,861799.0766
3190,603081.SH,大丰实业,专用机械,3.83,17.09,132834.1613
539,002077.SZ,大港股份,区域地产,3.83,7.03,373796.2967
990,002530.SZ,金财互联,专用机械,3.83,11.68,436477.2854
1112,002652.SZ,扬子新材,其他建材,3.83,5.06,257820.4596
1810,300424.SZ,航新科技,航空,3.82,20.38,321470.7471
583,002121.SZ,科陆电子,电器仪表,3.81,8.07,730833.2111
2026,300647.SZ,超频三,元器件,3.8,16.92,132536.898
1116,002656.SZ,摩登大道,服饰,3.8,6.9,325480.3602
423,000957.SZ,中通客车,汽车整车,3.79,7.79,461863.4164
1117,002657.SZ,中科金财,软件服务,3.78,22.16,625955.0557
2566,600531.SH,豫光金铅,铅锌,3.78,5.82,634521.213
585,002123.SZ,梦网集团,互联网,3.78,12.48,805506.7338
1380,002939.SZ,长城证券,证券,3.77,15.58,483510.5551
258,000711.SZ,京蓝科技,软件服务,3.76,8.93,362807.2765
1406,300016.SZ,北陆药业,中成药,3.75,10.58,422871.3334
574,002112.SZ,三变科技,电气设备,3.73,8.69,159724.4255
1225,002771.SZ,真视通,软件服务,3.73,17.3,158313.6494
2061,300682.SZ,朗新科技,软件服务,3.72,23.84,391482.8861
2333,600235.SH,民丰特纸,造纸,3.71,7.96,279634.8
395,000917.SZ,电广传媒,影视音像,3.71,9.29,1202720.5145
1357,002913.SZ,奥士康,元器件,3.7,58.44,210459.972
1741,300353.SZ,东土科技,通信设备,3.7,14.4,505574.4168
593,002131.SZ,利欧股份,互联网,3.7,2.62,1044565.0563
3340,603421.SH,鼎信通讯,通信设备,3.7,30.55,169538.3279
605,002143.SZ,印纪传媒,影视音像,3.69,4.69,456864.1049
898,002437.SZ,誉衡药业,化学制药,3.69,5.52,1196226.2252
881,002420.SZ,毅昌股份,塑料,3.68,4.77,186849.2198
2038,300659.SZ,中孚信息,软件服务,3.68,35.66,231651.4573
2489,600425.SH,青松建化,水泥,3.68,5.16,711455.6844
3017,601258.SH,庞大集团,汽车服务,3.67,1.99,1301157.202
2764,600751.SH,海航科技,水运,3.67,4.19,1078166.2128
1523,300134.SZ,大富科技,通信设备,3.66,17.69,1260264.7991
2697,600682.SH,南京新百,百货,3.65,14.95,1498134.6427
2349,600255.SH,梦舟股份,铜,3.65,2.79,493716.6018
1900,300514.SZ,友讯达,通信设备,3.65,18.9,170704.8
1786,300400.SZ,劲拓股份,专用机械,3.65,21.65,344933.626
2377,600288.SH,大恒科技,软件服务,3.65,11.19,488779.2
3352,603501.SH,韦尔股份,半导体,3.63,54.48,765636.8265
3006,601212.SH,白银有色,铜,3.63,5.52,1084500.6469
464,002002.SZ,鸿达兴业,化工原料,3.62,4.83,1231242.4852
1012,002552.SZ,宝鼎科技,机械基件,3.61,7.72,154514.9848
1698,300310.SZ,宜通世纪,通信设备,3.6,7.39,503348.0628
1785,300399.SZ,京天利,互联网,3.6,15.25,204434.2761
672,002210.SZ,飞马国际,仓储物流,3.6,4.42,720477.1726
2992,601162.SH,天风证券,证券,3.59,11.71,606578.0
2785,600775.SH,南京熊猫,通信设备,3.58,11.97,804190.7192
2170,600053.SH,九鼎投资,多元金融,3.57,27.36,1186167.6288
1560,300171.SZ,东富龙,医疗保健,3.56,10.28,342968.5262
2843,600839.SH,四川长虹,家用电器,3.54,4.0,1845716.22
2178,600061.SH,国投资本,证券,3.54,14.13,5897624.5114
3436,603679.SH,华体科技,电气设备,3.54,38.64,155275.4544
494,002032.SZ,苏泊尔,家用电器,3.53,62.46,3401721.0918
3198,603098.SH,森特股份,装修装饰,3.52,14.15,106141.98
1763,300377.SZ,赢时胜,软件服务,3.52,15.82,811070.9954
1806,300420.SZ,五洋停车,机械基件,3.51,6.43,301692.8615
363,000876.SZ,新希望,饲料,3.51,14.22,5937453.9248
3066,601668.SH,中国建筑,建筑施工,3.51,6.13,25219479.002
3100,601881.SH,中国银河,证券,3.5,11.4,1400525.2078
2646,600621.SH,华鑫股份,证券,3.49,13.27,710276.7845
348,000839.SZ,中信国安,综合类,3.49,6.15,2410189.4292
2561,600526.SH,菲达环保,环境保护,3.49,5.97,326800.5892
1219,002765.SZ,蓝黛传动,汽车配件,3.47,10.74,273755.8875
218,000661.SZ,长春高新,生物制药,3.47,278.99,4743048.8956
11,000014.SZ,沙河股份,全国地产,3.47,11.21,226111.5146
1512,300123.SZ,亚光科技,船舶,3.47,13.85,425428.1717
3567,603959.SH,百利科技,建筑施工,3.46,20.18,300601.28
1972,300590.SZ,移为通信,通信设备,3.46,42.55,412735.0
3080,601789.SH,宁波建工,建筑施工,3.45,5.34,521226.72
646,002184.SZ,海得控制,软件服务,3.45,13.9,188855.4497
166,000586.SZ,汇源通信,通信设备,3.44,11.94,230967.36
1193,002736.SZ,国信证券,证券,3.44,14.7,12054000.0
1123,002663.SZ,普邦股份,建筑施工,3.44,3.41,426199.1603
1067,002607.SZ,中公教育,汽车服务,3.44,12.08,990965.8397
887,002426.SZ,胜利精密,元器件,3.44,3.98,858797.4863
1943,300559.SZ,佳发教育,软件服务,3.43,45.35,349871.3998
2541,600503.SH,华丽家族,区域地产,3.43,4.94,791531.26
2968,601068.SH,中铝国际,建筑施工,3.42,8.0,236725.3336
1479,300090.SZ,盛运环保,环境保护,3.42,2.82,322048.915
2477,600406.SH,国电南瑞,软件服务,3.41,22.91,5849393.4202
1505,300116.SZ,坚瑞沃能,电气设备,3.41,2.44,315766.0113
1392,300002.SZ,神州泰岳,软件服务,3.41,5.45,766574.2119
113,000518.SZ,四环生物,生物制药,3.4,4.57,470497.8117
820,002359.SZ,北讯集团,通信设备,3.39,12.58,890748.5552
2656,600635.SH,大众公用,供气供热,3.39,7.57,1831025.298
1081,002621.SZ,三垒股份,专用机械,3.38,22.52,609550.2317
1719,300331.SZ,苏大维格,元器件,3.38,20.05,266824.6501
2218,600105.SH,永鼎股份,通信设备,3.38,5.61,694672.174
2616,600589.SH,广东榕泰,塑料,3.37,6.64,439286.5397
1008,002548.SZ,金新农,饲料,3.37,12.15,379763.4557
1727,300339.SZ,润和软件,软件服务,3.36,15.41,1099711.4163
846,002385.SZ,大北农,饲料,3.35,5.85,1565118.4881
