,ts_code,symbol,name,industry,COL_LASTPRICE,COL_PCT_CHG,COL_RECENT_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300859.SZ,300859,西域旅游,旅游服务,26.87,9.9877,11.0,10.41,,0.0
1,300120.SZ,300120,经纬辉开,元器件,18.46,10.0119,6.0,43.74,"广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中央汇金资产管理有限责任公司
大成基金-农业银行-大成中证金融资产管理计划",11.0
2,300778.SZ,300778,新城市,建筑工程,61.59,10.0018,5.0,28.39,,0.0
3,300368.SZ,300368,汇金股份,IT设备,13.09,10.0,5.0,62.51,中央汇金资产管理有限责任公司,1.0
4,002993.SZ,002993,奥海科技,元器件,51.52,9.9915,4.0,23.29,,0.0
5,600158.SH,600158,中体产业,文教休闲,14.3,10.0,4.0,94.02,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",2.0
6,002288.SZ,002288,超华科技,元器件,9.46,10.0,4.0,75.71,天风天成资管-招商证券-天风天成科瑞集合资产管理计划,1.0
7,300776.SZ,300776,帝尔激光,专用机械,115.56,10.0048,4.0,52.53,"中信信托有限责任公司-中信信托鑫涌成泉金融投资集合资金信托计划
中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划
中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金
中国农业银行股份有限公司-新华优选分红混合型证券投资基金",4.0
8,600589.SH,600589,广东榕泰,塑料,5.69,10.058,3.0,40.06,,0.0
9,300846.SZ,300846,首都在线,软件服务,31.36,9.9965,3.0,15.68,,0.0
10,300225.SZ,300225,金力泰,染料涂料,11.59,9.962,3.0,54.16,"宁夏华锦资产管理有限公司
上海方圆达创投资合伙企业(有限合伙)-方圆-东方15号私募投资基金
上海方圆达创投资合伙企业(有限合伙)-方圆-东方25号私募投资基金
中央汇金资产管理有限责任公司",4.0
11,603787.SH,603787,新日股份,摩托车,24.08,10.0046,3.0,49.12,,0.0
12,605333.SH,605333,N沪光,汽车配件,9.23,10.0119,3.0,3.7,,0.0
13,002177.SZ,002177,御银股份,IT设备,7.0,10.0629,3.0,53.28,中央汇金资产管理有限责任公司,1.0
14,605388.SH,605388,N均瑶,乳制品,23.4,10.0141,3.0,16.38,,0.0
15,300027.SZ,300027,华谊兄弟,影视音像,6.27,10.0,2.0,138.66,"西藏信托有限公司-西藏信托-盛景28号单一资金信托
陕西省国际信托股份有限公司-陕国投·金元宝55号证券投资集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",3.0
16,002370.SZ,002370,亚太药业,化学制药,6.25,10.0352,2.0,28.95,上海华富利得资产-民生银行-富鼎6号专项资产管理计划,1.0
17,000993.SZ,000993,闽东电力,水力发电,8.22,10.0402,2.0,30.66,中央汇金资产管理有限责任公司,1.0
18,600389.SH,600389,江山股份,农药化肥,25.31,9.9957,2.0,75.17,中央汇金资产管理有限责任公司,1.0
19,603348.SH,603348,文灿股份,汽车配件,22.56,9.9951,2.0,18.41,"平安资管-工商银行-平安资产MOM1号资产管理计划
九泰基金-工商银行-九泰基金-大同证券新三板1号资产管理计划",2.0
20,600310.SH,600310,桂东电力,水力发电,4.93,10.0446,2.0,40.81,香港中央结算有限公司(陆股通),1.0
21,688229.SH,688229,博睿数据,软件服务,128.68,13.3744,2.0,13.0,,0.0
22,000897.SZ,000897,津滨发展,区域地产,2.94,10.1124,2.0,47.55,"广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划",7.0
23,002882.SZ,002882,金龙羽,电气设备,12.51,10.0264,2.0,53.62,"中国农业银行股份有限公司-景顺长城中小板创业板精选股票型证券投资基金
中国农业银行股份有限公司-景顺长城低碳科技主题灵活配置混合型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",3.0
24,603535.SH,603535,嘉诚国际,仓储物流,28.99,10.019,2.0,43.6,,0.0
25,603697.SH,603697,有友食品,食品,26.57,10.0207,2.0,23.89,苏州格外投资管理有限公司-格外投资新三板1号基金,1.0
26,002617.SZ,002617,露笑科技,电气设备,6.71,10.0,2.0,77.63,中央汇金资产管理有限责任公司,1.0
27,300313.SZ,300313,天山生物,农业综合,7.05,9.9844,2.0,12.98,,0.0
28,603931.SH,603931,格林达,化工原料,33.87,10.0032,2.0,8.62,,0.0
29,600726.SH,600726,华电能源,火力发电,2.59,10.2128,2.0,39.75,,0.0
30,603444.SH,603444,吉比特,互联网,607.2,10.0,1.0,436.36,"基本养老保险基金一二零一组合
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-富国创新科技混合型证券投资基金
中国工商银行股份有限公司-银华中小盘精选混合型证券投资基金
湖南文化旅游创业投资基金企业(有限合伙)
全国社保基金四零六组合",6.0
31,601188.SH,601188,龙江交通,路桥,3.47,10.1587,1.0,45.66,中央汇金资产管理有限责任公司,1.0
32,000610.SZ,000610,西安旅游,旅游服务,10.6,9.9585,1.0,24.95,,0.0
33,600979.SH,600979,广安爱众,水力发电,4.09,9.9462,1.0,50.4,北京风炎投资管理有限公司-风炎投资.安瑞1号私募基金,1.0
34,600327.SH,600327,大东方,汽车服务,4.71,10.0467,1.0,41.67,"香港中央结算有限公司(陆股通)
上海国际集团资产管理有限公司
全国社保基金五零三组合",3.0
35,600321.SH,600321,正源股份,其他建材,2.34,9.8592,1.0,35.35,,0.0
