,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688063.SH,688063,N派能,电气设备,258.62,2.0,33.0,92.97,,0.0
1,688686.SH,688686,奥普特,电器仪表,216.8,1.0,17.0,36.96,,0.0
2,003026.SZ,003026,中晶科技,半导体,47.16,3.0,13.0,11.77,,0.0
3,003029.SZ,003029,吉大正元,软件服务,26.14,3.0,9.0,11.79,,0.0
4,688618.SH,688618,N三旺,通信设备,53.66,1.0,8.0,5.77,,0.0
5,600121.SH,600121,郑州煤电,煤炭开采,9.32,1.0,8.0,113.56,中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金,1.0
6,003028.SZ,003028,振邦智能,元器件,41.69,3.0,7.0,11.42,,0.0
7,605179.SH,605179,一鸣食品,乳制品,17.66,3.0,7.0,10.77,,0.0
8,600333.SH,600333,长春燃气,供气供热,8.68,2.0,5.0,52.86,,0.0
9,000767.SZ,000767,晋控电力,火力发电,3.99,2.0,5.0,116.2,"中投知本汇(北京)资产管理有限公司-晋商1号私募投资基金
中投知本汇(北京)资产管理有限公司-晋商2号私募投资基金
华安未来资产-工商银行-中航信托-天顺(2016)322号华安未来定增投资单一资金信托
国开泰富基金-光大银行-华鑫国际信托-华鑫信托·专户投资2号单一资金信托
国电投华泽(天津)资产管理有限公司
泰达宏利基金-招商银行-华创证券有限责任公司",6.0
10,600381.SH,600381,青海春天,医疗保健,8.61,3.0,4.0,50.55,,0.0
11,600189.SH,600189,泉阳泉,软饮料,14.69,3.0,4.0,82.68,"吉林省吉盛资产管理有限责任公司
中国华融资产管理股份有限公司",2.0
12,002796.SZ,002796,世嘉科技,通信设备,16.26,3.0,4.0,34.58,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金",2.0
13,600798.SH,600798,宁波海运,水运,5.15,1.0,4.0,53.09,,0.0
14,605155.SH,605155,西大门,化工原料,30.48,1.0,4.0,7.32,,0.0
15,002612.SZ,002612,朗姿股份,服饰,24.63,2.0,3.0,64.37,"中原信托有限公司-金融产品投资20160303号单一资金信托
广东逸信基金管理有限公司-逸信汇富1号朗姿股份私募投资基金
江苏中韩晨晖朗姿股权投资基金(有限合伙)",3.0
16,600081.SH,600081,东风科技,汽车配件,17.72,2.0,3.0,55.56,珠海万佳投资管理有限公司-万佳鑫1号证券投资基金,1.0
