,ts_code,name,industry,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,000955.SZ,欣龙控股,纺织,8.2,50.25,财达证券-招商银行-证券行业支持民企发展系列之财达证券1号集合资产管理计划
1,603598.SH,引力传媒,影视音像,16.99,48.35,
2,300173.SZ,智慧松德,轻工机械,7.38,40.15,"中央汇金资产管理有限责任公司
广州佑昌融资产管理有限公司"
3,603825.SH,华扬联众,互联网,19.35,36.26,"东方富海(芜湖)股权投资基金(有限合伙)
东方富海(芜湖)二号股权投资基金(有限合伙)
上海通怡投资管理有限公司-通怡金牛2号私募证券投资基金"
4,600223.SH,鲁商发展,区域地产,8.43,30.09,
5,600876.SH,洛阳玻璃,玻璃,16.13,30.06,香港中央结算有限公司(陆股通)
6,300707.SZ,威唐工业,专用机械,18.4,30.04,
7,000927.SZ,一汽夏利,汽车整车,5.17,30.0,
8,002291.SZ,星期六,服饰,19.67,30.0,金鹰基金-民生银行-金鹰筠业琢石资产管理计划
9,300576.SZ,容大感光,染料涂料,26.59,29.99,"中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
浙江九章资产管理有限公司-九章幻方青溪2号私募基金
中国农业银行股份有限公司-交银施罗德数据产业灵活配置混合型证券投资基金"
10,000009.SZ,中国宝安,综合类,6.19,28.6,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
11,000818.SZ,航锦科技,化工原料,19.98,25.59,"国民信托有限公司-国民信托四方5号证券投资集合资金信托计划
香港中央结算有限公司(陆股通)"
12,002192.SZ,融捷股份,专用机械,25.14,23.85,
13,603031.SH,安德利,百货,24.1,23.76,
14,002261.SZ,拓维信息,互联网,8.28,23.76,华泰证券资管-宁波银行-华泰紫金定增3号集合资产管理计划
15,300346.SZ,南大光电,元器件,16.39,20.03,"上海睿扬投资管理有限公司-睿扬专享3号私募证券投资基金
上海朴道瑞富投资管理中心(有限合伙)-朴道二期基金"
16,300432.SZ,富临精工,汽车配件,12.39,20.01,
17,600641.SH,万业企业,区域地产,18.8,20.0,"国家集成电路产业投资基金股份有限公司
香港中央结算有限公司(陆股通)
申万宏源证券-四川三新创业投资有限责任公司-证券行业支持民企发展系列之申万宏源三新创投单一资产管理计划
沈阳森木投资管理有限公司-森木价值发现1号证券投资基金"
18,603690.SH,至纯科技,专用机械,32.59,17.82,"全国社保基金一零四组合
基本养老保险基金一二零二组合
中国银行股份有限公司-宝盈核心优势灵活配置混合型证券投资基金
全国社保基金四一一组合
中国工商银行股份有限公司-中海量化策略股票型证券投资基金
中国银行股份有限公司-海富通股票混合型证券投资基金"
19,601066.SH,中信建投,证券,30.4,16.9,"香港中央结算有限公司(陆股通)
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
四川信托有限公司-四川信托-价值成长2号证券投资单一资金信托
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金"
20,603536.SH,惠发食品,食品,23.61,16.64,
21,002079.SZ,苏州固锝,半导体,11.84,16.44,"山东省国际信托股份有限公司-天乙1期证券投资集合资金信托计划
中国银行股份有限公司-国泰CES半导体行业交易型开放式指数证券投资基金"
22,002530.SZ,金财互联,软件服务,11.57,15.82,"全国社保基金一零二组合
香港中央结算有限公司(陆股通)"
23,002181.SZ,粤传媒,出版业,5.62,15.62,
24,603799.SH,华友钴业,小金属,39.39,15.37,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金
中国农业银行股份有限公司-华安智能生活混合型证券投资基金
中国农业银行股份有限公司-万家品质生活灵活配置混合型证券投资基金
招商银行股份有限公司-光大保德信优势配置混合型证券投资基金
中国工商银行股份有限公司-富国创新科技混合型证券投资基金
中国建设银行股份有限公司-富国中证新能源汽车指数分级证券投资基金"
25,601636.SH,旗滨集团,玻璃,5.49,15.32,"香港中央结算有限公司(陆股通)
基本养老保险基金一零零三组合
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
紫金信托有限责任公司
中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF)"
26,300460.SZ,惠伦晶体,元器件,16.43,15.19,中央汇金资产管理有限责任公司
27,603308.SH,应流股份,专用机械,15.01,14.63,"安徽省铁路发展基金股份有限公司
全国社保基金一零八组合
溪牛投资管理(北京)有限公司-溪牛长期回报私募证券投资基金
安徽省铁路发展基金股份有限公司
全国社保基金一零八组合
溪牛投资管理(北京)有限公司-溪牛长期回报私募证券投资基金"
28,300770.SZ,新媒股份,影视音像,130.0,14.14,"全国社保基金四零六组合
中国建设银行股份有限公司-嘉实新消费股票型证券投资基金
中国银行股份有限公司-景顺长城优选混合型证券投资基金
中国建设银行股份有限公司-嘉实泰和混合型证券投资基金
中国建设银行股份有限公司-华宝服务优选混合型证券投资基金
中国农业银行股份有限公司-大成积极成长混合型证券投资基金
中国银行-嘉实服务增值行业证券投资基金
中国工商银行股份有限公司-易方达新兴成长灵活配置混合型证券投资基金
中国银行-嘉实增长开放式证券投资基金
中国银行-大成财富管理2020生命周期证券投资基金"
29,300541.SZ,先进数通,软件服务,22.69,13.26,
30,600712.SH,南宁百货,百货,9.68,12.17,惠州市三想投资管理有限公司-三想投资实现3号私募证券投资基金
31,300416.SZ,苏试试验,电器仪表,32.14,11.79,"中国工商银行股份有限公司-泓德远见回报混合型证券投资基金
江苏省现代服务业发展创业投资基金(有限合伙)
中央汇金资产管理有限责任公司
招商银行股份有限公司-泓德三年封闭运作丰泽混合型证券投资基金"
32,300750.SZ,宁德时代,电气设备,106.4,11.4,"上海尚颀投资管理合伙企业(有限合伙)-常州颀德股权投资基金中心(有限合伙)
先进制造产业投资基金(有限合伙)"
33,000981.SZ,ST银亿,汽车配件,1.84,10.27,
34,600289.SH,*ST信通,软件服务,3.53,10.13,
35,300344.SZ,太空智造,软件服务,6.02,10.09,"上海云门投资管理有限公司-云门智造1号私募证券投资基金
中央汇金资产管理有限责任公司"
36,601990.SH,南京证券,证券,12.91,10.04,中国东方资产管理股份有限公司
37,600695.SH,绿庭投资,多元金融,8.77,10.03,
38,002733.SZ,雄韬股份,电气设备,26.88,10.02,"中国工商银行-中海能源策略混合型证券投资基金
中央汇金资产管理有限责任公司"
39,002761.SZ,多喜爱,纺织,10.91,10.0,中央汇金资产管理有限责任公司
40,603613.SH,国联股份,互联网,75.67,10.0,"中国农业银行股份有限公司-中邮信息产业灵活配置混合型证券投资基金
全国社保基金六零四组合
中国工商银行股份有限公司-汇添富科技创新灵活配置混合型证券投资基金"
41,300701.SZ,森霸传感,元器件,32.33,10.0,
42,603986.SH,兆易创新,半导体,204.89,10.0,"国家集成电路产业投资基金股份有限公司
陕西省国际信托股份有限公司-陕国投·财富28号单一资金信托
香港中央结算有限公司(陆股通)
全国社保基金四零一组合
中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金"
43,300464.SZ,星徽精密,机械基件,14.99,9.99,"浙江牧容资产管理有限公司-牧容定制荣耀5号私募基金
浙江晖鸿投资管理有限公司-晖鸿掘金9号私募证券投资基金
浙江晖鸿投资管理有限公司-晖鸿掘金8号私募证券投资基金
浙江晖鸿投资管理有限公司-晖鸿掘金6号私募证券投资基金"
44,002623.SZ,亚玛顿,玻璃,22.3,9.99,中央汇金资产管理有限责任公司
45,300319.SZ,麦捷科技,元器件,12.65,9.98,"上海隆华汇股权投资基金合伙企业(有限合伙)
皓熙股权投资管理(上海)有限公司-南京高科皓熙定增私募证券投资基金
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-银华内需精选混合型证券投资基金(LOF)"
46,002371.SZ,北方华创,专用机械,88.0,8.66,"中国工商银行股份有限公司-诺安成长混合型证券投资基金
北京芯动能投资基金(有限合伙)
北京京国瑞国企改革发展基金(有限合伙)
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
国家集成电路产业投资基金股份有限公司
国家集成电路产业投资基金股份有限公司
北京京国瑞国企改革发展基金(有限合伙)
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
北京芯动能投资基金(有限合伙)
招商银行股份有限公司-国泰新经济灵活配置混合型证券投资基金"
47,002276.SZ,万马股份,电气设备,8.31,8.56,"皓熙股权投资管理(上海)有限公司-南京高科皓熙定增私募证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金一一八组合
#皓熙股权投资管理(上海)有限公司-南京高科皓熙定增私募证券投资基金
嘉实基金-邮储银行-建信资本管理有限责任公司"
48,603662.SH,柯力传感,电器仪表,54.99,7.71,
49,300526.SZ,中潜股份,服饰,56.0,7.67,"北京泽盈投资有限公司-顺势1号私募证券投资基金
北京泽盈投资有限公司-顺势2号私募证券投资基金"
50,601872.SH,招商轮船,水运,8.26,7.61,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
平安信托有限责任公司-投资精英之淡水泉"
51,603501.SH,韦尔股份,半导体,143.4,7.58,"全国社保基金四零一组合
全国社保基金一一四组合
中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
全国社保基金一零四组合"
52,300037.SZ,新宙邦,化工原料,36.34,7.55,"中央汇金资产管理有限责任公司
招商银行股份有限公司-光大保德信优势配置混合型证券投资基金
中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金
中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
招商银行股份有限公司-睿远成长价值混合型证券投资基金"
53,600640.SH,号百控股,影视音像,25.81,7.17,"中国电信集团实业资产管理有限公司
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
54,002213.SZ,特尔佳,汽车配件,12.45,7.12,"深圳前海大千华严投资有限公司-千般龙腾七号私募证券投资基金
上海之上资产管理有限公司-之上浦德二号私募证券投资基金"
55,300659.SZ,中孚信息,软件服务,63.97,6.98,"中国银行股份有限公司-海富通股票混合型证券投资基金
基本养老保险基金一二零二组合
中国对外经济贸易信托有限公司-鸿道3期
中国银行股份有限公司-嘉实逆向策略股票型证券投资基金
中国工商银行股份有限公司-嘉实主题新动力混合型证券投资基金
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金"
56,002156.SZ,通富微电,半导体,16.45,6.8,"国家集成电路产业投资基金股份有限公司
南通招商江海产业发展基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
全国社保基金一一四组合"
57,000021.SZ,深科技,IT设备,12.18,6.52,"深圳市和沣资产管理有限公司-和沣融慧私募基金
平安银行股份有限公司-中证800交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
重庆国际信托股份有限公司-重庆信托-麒麟投资1号集合资金信托计划"
58,603688.SH,石英股份,矿物制品,18.8,6.46,"中国工商银行股份有限公司-嘉实周期优选混合型证券投资基金
上海趣时资产管理有限公司-趣时分红增长1号证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
招商银行股份有限公司-中银稳健双利债券型证券投资基金"
59,300552.SZ,万集科技,软件服务,84.4,6.31,"中国建设银行股份有限公司-华夏科技创新混合型证券投资基金
中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金
中国农业银行股份有限公司-华夏复兴混合型证券投资基金
中国工商银行股份有限公司-嘉实事件驱动股票型证券投资基金"
60,002343.SZ,慈文传媒,影视音像,12.11,6.04,"中山证券-招商银行-中山证券启晨1号集合资产管理计划
全国社保基金四一三组合
中央汇金资产管理有限责任公司
易方达基金-工商银行-易方达基金臻选2号资产管理计划
中国农业银行股份有限公司-工银瑞信战略转型主题股票型证券投资基金
交通银行股份有限公司-泰达宏利价值优化型成长类行业混合型证券投资基金"
61,600812.SH,华北制药,化学制药,9.84,6.03,"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划"
62,300223.SZ,北京君正,半导体,87.15,6.03,"中央汇金资产管理有限责任公司
中国工商银行股份有限公司-诺安成长混合型证券投资基金
全国社保基金六零二组合"
