,ts_code,name,industry,continuously_up,average_p_change,average_turnover_rate
705,002243.SZ,通产丽星,塑料,5.0,24.895,15.722
1382,002941.SZ,新疆交建,建筑施工,3.0,24.876,41.489
53,000070.SZ,特发信息,通信设备,3.0,20.972,14.65
2684,600677.SH,航天通信,通信设备,3.0,17.073,18.435
1649,300265.SZ,通光线缆,电气设备,3.0,16.289,8.412
166,000586.SZ,汇源通信,通信设备,4.0,15.505,15.354
1190,002733.SZ,雄韬股份,电气设备,4.0,13.665,6.2
2739,600734.SH,实达集团,电脑设备,3.0,13.268,17.828
2778,600776.SH,东方通信,通信设备,12.0,12.513,13.362
1007,002547.SZ,春兴精工,通信设备,6.0,11.218,17.864
479,002017.SZ,东信和平,通信设备,6.0,11.204,14.623
2085,300711.SZ,广哈通信,通信设备,3.0,9.089,24.288
912,002451.SZ,摩恩电气,电气设备,4.0,8.874,14.291
1035,002575.SZ,群兴玩具,文教休闲,4.0,8.844,8.997
2703,600696.SH,ST岩石,区域地产,3.0,8.468,1.107
965,002504.SZ,弘高创意,装修装饰,3.0,7.976,10.403
2829,600833.SH,第一医药,医药商业,3.0,7.964,3.058
2008,300632.SZ,光莆股份,半导体,3.0,7.786,17.438
586,002124.SZ,天邦股份,饲料,3.0,7.755,1.541
693,002231.SZ,奥维通信,通信设备,3.0,7.723,6.997
692,002230.SZ,科大讯飞,软件服务,3.0,7.622,2.827
3414,603663.SH,三祥新材,矿物制品,3.0,7.603,4.273
2121,300751.SZ,迈为股份,专用机械,3.0,7.599,8.569
2777,600775.SH,南京熊猫,通信设备,6.0,7.465,7.639
351,000851.SZ,高鸿股份,软件服务,3.0,7.364,7.46
1956,300578.SZ,会畅通讯,通信设备,3.0,7.239,13.186
1404,300018.SZ,中元股份,电气设备,3.0,7.232,13.976
1012,002552.SZ,*ST宝鼎,机械基件,3.0,7.215,1.641
1431,300045.SZ,华力创通,电脑设备,3.0,7.204,2.814
1884,300502.SZ,新易盛,通信设备,3.0,7.099,6.774
1066,002606.SZ,大连电瓷,电气设备,6.0,7.07,12.612
907,002446.SZ,盛路通信,通信设备,7.0,6.922,13.165
2075,300700.SZ,岱勒新材,矿物制品,3.0,6.905,9.181
3505,603861.SH,白云电器,电气设备,4.0,6.632,5.774
2627,600610.SH,*ST毅达,建筑施工,3.0,6.495,3.337
1749,300366.SZ,创意信息,软件服务,3.0,6.43,6.708
777,002316.SZ,亚联发展,软件服务,3.0,6.423,4.994
1039,002579.SZ,中京电子,元器件,3.0,6.351,3.45
140,000550.SZ,江铃汽车,汽车整车,6.0,6.327,1.202
1940,300560.SZ,中富通,通信设备,3.0,6.322,10.756
3199,603118.SH,共进股份,通信设备,3.0,6.273,2.742
1690,300306.SZ,远方信息,电器仪表,4.0,6.14,6.54
1020,002560.SZ,通达股份,电气设备,3.0,6.005,8.001
1483,300098.SZ,高新兴,通信设备,3.0,6.004,2.137
1737,300353.SZ,东土科技,通信设备,3.0,5.92,9.044
1965,300587.SZ,天铁股份,橡胶,3.0,5.905,4.139
1995,300619.SZ,金银河,专用机械,3.0,5.827,10.14
2332,600242.SH,中昌数据,软件服务,6.0,5.811,9.318
1991,300615.SZ,欣天科技,元器件,6.0,5.801,35.378
1505,300120.SZ,经纬辉开,电气设备,3.0,5.747,2.38
1838,300456.SZ,耐威科技,元器件,3.0,5.26,4.655
3428,603688.SH,石英股份,矿物制品,3.0,5.257,1.587
1004,002544.SZ,杰赛科技,软件服务,3.0,5.149,1.888
1939,300559.SZ,佳发教育,软件服务,3.0,5.114,0.91
1736,300352.SZ,北信源,软件服务,3.0,5.085,3.231
1971,300593.SZ,新雷能,电气设备,3.0,5.037,5.654
661,002199.SZ,东晶电子,元器件,3.0,5.03,1.011
924,002463.SZ,沪电股份,元器件,3.0,4.876,3.894
