,ts_code,symbol,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_WEIGHT_MIN_INDEX,COL_WEIGHT_MAX_INDEX,COL_LASTPRICE,concept
0,300773.SZ,300773,拉卡拉,软件服务,19.99,1.0,0.0,52.71,
1,300771.SZ,300771,智莱科技,电脑设备,14.94,4.0,0.0,63.77,
2,300770.SZ,300770,新媒股份,影视音像,14.93,5.0,1.0,68.92,
3,300769.SZ,300769,德方纳米,化工原料,14.59,9.0,1.0,107.1,
4,300768.SZ,300768,迪普科技,软件服务,14.36,9.0,0.0,41.97,
5,603317.SH,603317,天味食品,食品,14.09,8.0,0.0,39.39,
6,603068.SH,603068,博通集成,半导体,13.44,9.0,0.0,57.15,
7,300573.SZ,300573,兴齐眼药,化学制药,13.12,9.0,0.0,64.86,"医药, 化学药, 眼科, "
8,300405.SZ,300405,科隆股份,化工原料,11.17,2.0,0.0,11.72,"石油化工, "
9,002054.SZ,002054,德美化工,化工原料,10.92,5.0,0.0,11.65,"半导体, 国资入股, 壳公司, 创投, "
10,000815.SZ,000815,美利云,造纸,10.67,3.0,0.0,11.42,"大数据, 云计算, 造纸, 宁夏, "
11,600794.SH,600794,保税科技,仓储物流,10.27,2.0,0.0,6.36,"军工, 军民融合, 快递物流, "
12,600175.SH,600175,美都能源,综合类,10.11,8.0,1.0,4.66,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
13,600751.SH,600751,海航科技,水运,10.11,2.0,0.0,4.55,"破净股, 京津冀, 自贸区, 天津自贸区, 资产重组, 独角兽, "
14,600213.SH,600213,亚星客车,汽车整车,9.61,8.0,1.0,13.86,"新能源整车, 汽车整车, 山东国企改革, 新能源汽车, "
15,300216.SZ,300216,千山药机,医疗保健,9.01,1.0,0.0,3.81,"智能制造, 基因测序, 医疗器械, 机器视觉, "
16,002547.SZ,002547,春兴精工,通信设备,8.9,9.0,1.0,13.5,"5G, 特斯拉, 华为产业链, 3D玻璃, "
17,002793.SZ,002793,东音股份,专用机械,8.85,2.0,0.0,14.89,
18,300152.SZ,300152,科融环境,环境保护,8.76,8.0,1.0,4.51,"固废处理, 雄安-园林环保, 大气治理, 环保, 雄安新区, 污水处理, "
19,300051.SZ,300051,三五互联,互联网,7.88,2.0,0.0,8.88,"数字中国, 云计算, 区块链, 国产软件, 腾讯概念股, 游戏, 手游, 动漫, "
20,002695.SZ,002695,煌上煌,食品,6.75,2.0,0.0,14.29,"食品, 休闲食品, "
21,300145.SZ,300145,中金环境,专用机械,6.52,9.0,1.0,6.68,"固废处理, 回购, 环保, 污水处理, 股权转让, 国资入股, "
22,300238.SZ,300238,冠昊生物,医疗保健,6.08,8.0,1.0,19.94,"健康中国, 脑科学, 医药, 创新药, 医疗器械, 创投, "
23,300659.SZ,300659,中孚信息,软件服务,6.07,2.0,0.0,37.62,"网络安全, 国产软件, 资产重组, "
24,300279.SZ,300279,和晶科技,元器件,5.97,3.0,1.0,6.26,"阿里巴巴概念股, 教育, 物联网, 智慧城市, 腾讯概念股, 独角兽, 强势人气股, "
25,000702.SZ,000702,正虹科技,饲料,5.95,8.0,1.0,8.74,"饲料, 业绩预增, 湖南国企改革, 农垦, "
26,000792.SZ,000792,盐湖股份,化工原料,5.71,3.0,1.0,7.01,"PVC, 有色-镁, 社保重仓, 有色金属, 化肥, 锂电池, 新能源汽车, "
27,002600.SZ,002600,领益智造,元器件,5.46,8.0,1.0,6.32,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
28,002566.SZ,002566,益盛药业,中成药,5.44,3.0,1.0,7.66,"保健品, 食品, 医药, 中药, "
29,300146.SZ,300146,汤臣倍健,食品,5.38,1.0,0.0,21.46,"高股息, 大消费, 社保重仓, 饮料, 粤港澳大湾区, 保健品, 食品, 基因测序, 人工智能, 资产重组, "
30,002385.SZ,002385,大北农,饲料,5.29,8.0,1.0,7.05,"MSCI, 新进指数成份股, 转基因, 回购, 饲料, 养猪, 互联网金融, 农业种植, 国资入股, "
31,300022.SZ,300022,吉峰科技,农用机械,5.24,9.0,1.0,6.38,"乡村振兴, 农机, "
32,002140.SZ,002140,东华科技,建筑施工,5.14,8.0,0.0,12.82,"高股息, 固废处理, 国家队重仓, 央企改革, 供应链金融, 雄安-公共服务, 环保, 雄安新区, "
33,600322.SH,600322,天房发展,区域地产,5.12,2.0,1.0,4.04,"雄安-地产, 破净股, 房地产, 雄安新区, 京津冀, 自贸区, 天津国企改革, 天津自贸区, "
34,002274.SZ,002274,华昌化工,农药化肥,5.02,8.0,1.0,13.68,"甲醇, 纯碱, 业绩预增, 化肥, 燃料电池, 科创板概念股, "
35,001896.SZ,001896,豫能控股,火力发电,4.98,8.0,1.0,4.68,"火电, 电改, 破净股, 风电, 定增破发, "
36,002347.SZ,002347,泰尔股份,机械基件,4.92,3.0,1.0,6.16,"回购, 锂电池, 新能源汽车, 透明工厂, "
37,002631.SZ,002631,德尔未来,家居用品,4.82,8.0,1.0,9.87,"石墨烯, 家具家居, "
38,603399.SH,603399,吉翔股份,小金属,4.81,4.0,1.0,12.91,"有色金属, 有色-钼, 百度概念股, 游戏, 手游, 影视, "
39,300058.SZ,300058,蓝色光标,广告包装,4.79,2.0,0.0,5.64,"国家队重仓, 互联网金融, 大数据, 人工智能, 国资入股, "
40,002100.SZ,002100,天康生物,饲料,4.78,8.0,1.0,10.75,"转基因, 饲料, 养猪, 新疆, 新疆国企改革, 动物保健, "
41,002467.SZ,002467,二六三,电信运营,4.77,6.0,0.0,11.74,"教育, 业绩预增, 物联网, 谷歌概念股, 直播/短视频, 云计算, 高送转, 人工智能, "
