,ts_code,name,industry,biggest_jump,last_daily_p_change,circ_mv
444,000979.SZ,中弘退,,-0.758,-0.042,192945.1876
610,002147.SZ,ST新光,区域地产,-0.568,-0.036,201907.115
1256,002803.SZ,吉宏股份,广告包装,-0.553,-0.025,128367.8086
2462,600399.SH,*ST抚钢,特种钢,-0.545,0.072,268850.2264
1141,002680.SZ,*ST长生,生物制药,-0.495,0.051,159020.5438
785,002323.SZ,*ST百特,建筑施工,-0.49,0.0,41608.0399
1217,002761.SZ,多喜爱,纺织,-0.475,-0.01,360238.7634
3473,603811.SH,诚意药业,化学制药,-0.453,-0.021,129703.392
2232,600131.SH,岷江水电,水力发电,-0.453,-0.028,267016.5998
2185,600080.SH,金花股份,中成药,-0.447,-0.034,237214.8925
3441,603726.SH,朗迪集团,机械基件,-0.396,0.038,66071.936
2322,600235.SH,民丰特纸,造纸,-0.394,0.01,223075.5
2620,600604.SH,市北高新,园区开发,-0.39,0.019,924590.0026
1168,002708.SZ,光洋股份,汽车配件,-0.372,0.028,195071.8285
2229,600128.SH,弘业股份,商贸代理,-0.353,0.009,211232.98
724,002262.SZ,恩华药业,化学制药,-0.342,-0.04,810118.2071
921,002459.SZ,天业通联,工程机械,-0.342,0.009,367248.7223
196,000622.SZ,恒立实业,汽车配件,-0.329,0.017,298933.878
656,002193.SZ,如意集团,纺织,-0.328,-0.009,221890.6542
750,002288.SZ,超华科技,元器件,-0.318,0.019,340923.4897
974,002512.SZ,达华智能,元器件,-0.314,-0.052,433342.8781
3313,603389.SH,亚振家居,家居用品,-0.314,-0.016,64282.16
3329,603499.SH,翔港科技,广告包装,-0.307,0.012,51600.0
2820,600825.SH,新华传媒,出版业,-0.306,0.036,511995.0465
2348,600267.SH,海正药业,化学制药,-0.298,-0.083,856426.7439
947,002485.SZ,希努尔,服饰,-0.298,-0.014,488508.5652
1010,002549.SZ,凯美特气,环境保护,-0.29,0.0,342369.6786
3348,603555.SH,贵人鸟,服饰,-0.286,-0.038,385333.1137
521,002058.SZ,威尔泰,电器仪表,-0.286,-0.023,165969.7201
223,000666.SZ,经纬纺机,纺织机械,-0.286,-0.015,340775.2873
2187,600082.SH,海泰发展,园区开发,-0.284,0.013,296008.9783
2981,601162.SH,天风证券,证券,-0.282,-0.008,303030.0
2639,600624.SH,复旦复华,综合类,-0.281,-0.005,400556.5259
805,002343.SZ,慈文传媒,影视音像,-0.28,-0.028,387298.6649
