,ts_code,name,industry,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,last_ma20_gap,circ_mv
2010,300635.SZ,达安股份,建筑施工,6.0,7.059,49.871,-3.089,4.699999999999999,76072.626
166,000586.SZ,汇源通信,通信设备,4.0,9.984,46.326,-0.652,2.67,215685.6
2775,600776.SH,东方通信,通信设备,8.0,4.909,45.874,14.952,2.8999999999999995,997108.0668
1648,300265.SZ,通光线缆,电气设备,5.0,6.103,33.988,-4.885,1.919999999999999,298705.8317
913,002451.SZ,摩恩电气,电气设备,4.0,5.782,24.572,-11.576,2.219999999999999,515086.4289
3058,601700.SH,风范股份,电气设备,2.0,10.149,21.329,-0.348,0.4400000000000004,393231.504
662,002199.SZ,东晶电子,元器件,4.0,4.945,20.733,1.022,1.2700000000000014,215960.2467
1992,300617.SZ,安靠智电,电气设备,2.0,9.685,20.308,1.563,3.5700000000000003,88936.215
1379,002937.SZ,兴瑞科技,元器件,5.0,3.314,17.345,-1.474,2.870000000000001,115460.0
3226,603196.SH,日播时尚,服饰,2.0,8.109,16.839,-2.024,1.0700000000000003,73967.4
1120,002659.SZ,凯文教育,文教休闲,4.0,3.906,16.301,-4.7,0.7000000000000002,264034.5428
767,002305.SZ,南国置业,区域地产,2.0,7.383,15.234,-6.569,0.14000000000000012,478874.1879
2074,300700.SZ,岱勒新材,矿物制品,5.0,2.823,14.26,-3.833,1.990000000000002,115195.71
587,002124.SZ,天邦股份,饲料,3.0,4.529,14.026,-4.567,0.4500000000000002,731417.5767
1384,002942.SZ,新农股份,农药化肥,2.0,6.7,13.741,-0.763,4.330000000000002,102060.0
1924,300545.SZ,联得装备,专用机械,2.0,6.198,12.635,2.203,1.6699999999999982,87152.1322
3230,603200.SH,上海洗霸,环境保护,8.0,1.479,12.326,-5.579,2.1899999999999977,83593.16
1747,300365.SZ,恒华科技,软件服务,7.0,1.644,12.033,-11.864,0.6500000000000021,445675.469
3333,603507.SH,振江股份,钢加工,4.0,2.9,11.64,0.265,2.740000000000002,169595.5966
3405,603663.SH,三祥新材,矿物制品,5.0,2.227,11.616,-3.082,1.2799999999999994,84395.068
2215,600113.SH,浙江东日,区域地产,2.0,5.706,11.55,-4.776,0.1299999999999999,233852.4
469,002006.SZ,精功科技,专用机械,2.0,5.423,10.928,0.0,0.29000000000000004,244876.08
3214,603169.SH,兰石重装,专用机械,2.0,5.421,10.918,-1.467,0.2599999999999998,464191.1945
