,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688696.SH,688696,N极米,家居用品,530.01,1.0,30.0,130.0,54.76,,0.0
1,605298.SH,605298,必得科技,运输设备,27.86,3.0,6.0,106.0,7.52,,0.0
2,002647.SZ,002647,仁东控股,多元金融,13.13,2.0,5.0,105.0,73.52,,0.0
3,601038.SH,601038,一拖股份,农用机械,13.57,3.0,4.0,104.0,80.59,"交通银行股份有限公司-华安安顺灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金
招商银行股份有限公司-交银施罗德创新领航混合型证券投资基金
中国工商银行股份有限公司-交银施罗德趋势优先混合型证券投资基金
中国工商银行股份有限公司-华安安信消费服务混合型证券投资基金
中国建设银行股份有限公司-交银施罗德成长30混合型证券投资基金",7.0
4,603126.SH,603126,中材节能,环境保护,8.06,3.0,4.0,104.0,49.21,,0.0
5,002494.SZ,002494,华斯股份,服饰,4.61,3.0,3.0,103.0,13.6,北京海燕投资管理有限公司-海燕定向战略3号私募基金,1.0
6,002847.SZ,002847,盐津铺子,食品,124.52,3.0,3.0,103.0,136.44,"中国建设银行股份有限公司-南方景气驱动混合型证券投资基金
中国建设银行股份有限公司-汇添富消费行业混合型证券投资基金
中国工商银行-汇添富成长焦点混合型证券投资基金
汇添富基金管理股份有限公司-社保基金四二三组合
中国工商银行股份有限公司-汇添富蓝筹稳健灵活配置混合型证券投资基金
招商银行股份有限公司-鹏华新兴产业混合型证券投资基金",6.0
7,002378.SZ,002378,章源钨业,小金属,8.59,3.0,3.0,103.0,78.61,,0.0
8,002645.SZ,002645,华宏科技,专用机械,13.64,2.0,2.0,102.0,60.03,"中央汇金资产管理有限责任公司
全国社保基金一一六组合",2.0
9,000899.SZ,000899,赣能股份,火力发电,6.01,2.0,2.0,102.0,58.64,,0.0
10,600722.SH,600722,金牛化工,化工原料,7.43,2.0,2.0,102.0,50.55,,0.0
11,600295.SH,600295,鄂尔多斯,小金属,24.45,2.0,2.0,102.0,159.55,香港中央结算有限公司(陆股通),1.0
12,603186.SH,603186,华正新材,元器件,39.12,2.0,2.0,102.0,54.82,"中国工商银行股份有限公司-财通成长优选混合型证券投资基金
中国建设银行股份有限公司-交银施罗德蓝筹混合型证券投资基金
中国工商银行股份有限公司-财通价值动量混合型证券投资基金
兴业基金-杭州银行-兴业基金-兴诚1号特定多客户资产管理计划
中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金
中国农业银行股份有限公司-交银施罗德成长混合型证券投资基金
中国建设银行股份有限公司-交银施罗德稳健配置混合型证券投资基金",7.0
13,600381.SH,600381,青海春天,医疗保健,6.6,2.0,2.0,102.0,38.75,,0.0
