,COL_CONCEPT,COL_AVERAGE_EIGEN_SLOPE
0,央企改革,10.86
1,医药,10.59
2,无人驾驶,9.64
3,军工,9.18
4,新能源汽车,8.78
5,化学药,8.78
6,房地产,8.73
7,风电,8.72
8,创新药,8.59
9,复牌股,8.58
10,债转股-AMC,8.58
11,智能制造,8.54
12,MSCI,8.48
13,汽车整车,8.43
14,燃料电池,8.42
15,新能源整车,8.38
16,军民融合,8.34
17,汽车零部件,8.31
18,回购,8.28
19,光伏,8.27
20,壳公司,7.97
21,一带一路,7.83
22,快递物流,7.76
23,资产重组,7.71
24,混改,7.67
25,国家队重仓,7.61
26,破净股,7.54
27,天然气,7.53
28,股权转让,7.51
29,强势人气股,7.48
30,社保重仓,7.45
31,雄安新区,7.38
32,中药,7.28
33,业绩预增,7.25
34,华为产业链,7.23
35,创投,7.17
36,ST摘帽,7.16
37,定增破发,7.14
38,大数据,7.13
39,百度概念股,7.0
40,特色小镇,6.99
41,独角兽,6.98
42,电改,6.92
43,国资入股,6.92
44,特斯拉,6.86
45,机器人,6.84
46,环保,6.84
47,工业自动化,6.8
48,油服,6.77
49,食品,6.73
50,流感,6.72
51,高质押率,6.71
52,自贸区,6.65
53,农药,6.64
54,举牌股,6.6
55,共享经济,6.58
56,火电,6.56
57,教育,6.51
58,军工研究所,6.44
59,中字头,6.42
60,油气改革,6.42
61,云计算,6.39
62,无人机,6.37
63,高铁轨交,6.3
64,家电,6.26
65,3D打印,6.15
66,人工智能,6.15
67,小家电,6.14
68,物联网,6.06
69,宁夏,6.03
70,低价股,6.01
71,造纸,5.94
72,智慧物流,5.88
73,山东国企改革,5.86
74,大气治理,5.86
75,纺织服装,5.85
76,5G,5.85
77,游戏,5.84
78,安徽国企改革,5.84
79,ST股,5.83
80,国产软件,5.8
81,页岩气,5.79
82,体外诊断,5.78
83,核电,5.77
84,工业互联网,5.77
85,港口,5.76
86,自由贸易港,5.75
87,区块链,5.73
88,乡村振兴,5.72
89,锂电池,5.71
90,VR&AR,5.71
91,医疗器械,5.65
92,储能,5.65
93,半导体,5.65
94,医药商业,5.62
95,互联网金融,5.57
96,污水处理,5.55
97,国产芯片,5.54
98,苹果产业链,5.49
99,民营医院,5.48
100,网络安全,5.47
101,蔚来汽车概念股,5.44
102,特高压,5.43
103,高股息,5.39
104,北斗导航,5.38
105,阿里巴巴概念股,5.37
106,重庆国企改革,5.32
107,煤化工,5.27
108,京津冀,5.27
109,铁总混改,5.26
110,年报季报,5.25
111,粤港澳大湾区,5.21
112,动物保健,5.17
113,智慧城市,5.16
114,跨境电商,5.09
115,海工装备,5.05
116,军工混改,5.02
117,可燃冰,5.0
118,充电桩,4.99
119,保健品,4.98
120,智慧安防,4.97
121,土地流转,4.96
122,供应链金融,4.9
123,白马股,4.84
124,信托,4.84
125,LED,4.81
126,上海自由贸易港,4.73
127,光通信,4.72
128,维生素,4.67
129,小米概念股,4.66
130,宁德时代概念股,4.64
131,券商,4.63
132,中韩自贸区,4.62
133,基因测序,4.6
134,白糖,4.59
135,工业大麻,4.57
136,机械,4.57
137,知识产权,4.55
138,数字中国,4.55
139,有色金属,4.54
140,大消费,4.53
141,健康中国,4.53
142,雄安-园林环保,4.53
143,期货概念,4.52
144,养老产业,4.52
145,石墨烯,4.49
146,黄金,4.49
147,高送转-预期,4.47
148,新进指数成份股,4.46
149,人脸识别,4.45
150,广西,4.45
151,手游,4.41
152,北汽新能源,4.4
153,蚂蚁金服概念股,4.39
154,科创板概念股,4.38
155,PPP,4.38
156,煤炭,4.33
157,雄安-公共服务,4.32
158,海南自由贸易港,4.3
159,石油化工,4.29
160,旅游,4.29
161,国产操作系统,4.27
162,影视,4.27
163,海南,4.24
164,OLED,4.2
165,腾讯概念股,4.19
166,汽车销售,4.17
167,化肥,4.11
168,新零售,4.11
169,航母,4.08
170,疫苗,4.08
171,浙江国企改革,4.04
172,养猪,4.04
173,股权争夺,4.03
174,PCB板,4.01
175,固废处理,4.0
176,家具家居,3.99
177,养鸡,3.96
178,高校系,3.96
179,水电,3.96
180,大基建,3.94
181,高送转,3.93
182,电竞,3.89
183,智慧停车,3.87
184,装配式建筑,3.84
185,无人银行,3.81
186,量子通信,3.81
187,智能仪表,3.8
188,彩票,3.79
189,饲料,3.77
190,参股券商,3.76
191,移动支付,3.7
192,烧碱,3.69
193,内蒙古,3.62
194,眼科,3.56
195,安邦系,3.56
196,深圳本地股/深汕合作,3.56
197,电子车牌,3.51
198,碳交易,3.51
199,银行,3.5
200,体育产业,3.48
201,3D玻璃,3.48
202,雄安-智慧城市,3.44
203,农业种植,3.37
204,恒大概念股,3.28
205,药品信息化追溯,3.27
206,二胎,3.24
207,赛马,3.2
208,宝能系,3.18
209,白色家电,3.17
210,上海国企改革,3.16
211,PD-1抑制剂,3.15
212,东盟博览会,3.11
213,保险,3.11
214,雄安-工程基建,3.11
215,新疆,3.1
216,无线充电,3.1
217,京东金融概念股,3.1
218,动漫,3.03
219,兜底式增持,3.02
220,无人商店,3.01
221,金改,3.01
222,雄安-建材,2.97
223,高速公路,2.95
224,林业,2.88
225,新疆国企改革,2.88
226,冷链,2.86
227,万达系,2.85
228,湖南国企改革,2.85
229,包装印刷,2.84
230,虹膜识别,2.83
231,高价股,2.82
232,农机,2.8
233,甲醇,2.76
234,福建自贸区,2.75
235,乳业（奶粉）,2.73
236,天津国企改革,2.7
237,环杭州湾大湾区,2.7
238,大飞机,2.69
239,住房租赁,2.67
240,人民币升值受益,2.65
241,进口博览会,2.64
242,互联网医疗,2.61
243,人民币贬值受益,2.59
244,雄安-金融,2.57
245,PVC,2.54
246,医疗信息化,2.54
247,玻璃,2.53
248,有色-铝,2.52
249,广电,2.4
250,富勒烯,2.37
251,振兴东北,2.36
252,重卡,2.33
253,白酒,2.28
254,通用航空,2.28
255,有色-铜,2.22
256,足球,2.21
257,装修装饰,2.2
258,水务,2.19
259,碳纤维,2.14
260,谷歌概念股,2.12
261,直播/短视频,1.89
262,转基因,1.88
263,棉花,1.87
264,稀土磁材,1.84
265,园林,1.83
266,饮料,1.79
267,3D感应,1.77
268,雄安-周边,1.76
269,苹果期货,1.74
270,民爆,1.66
271,水利,1.64
272,滴滴出行概念股,1.63
273,有色-锆,1.63
274,轮胎,1.53
275,次新股,1.52
276,手势识别,1.49
277,指纹识别,1.48
278,石墨电极,1.45
279,雄安-地产,1.39
280,机器视觉,1.28
281,智能音箱,1.28
282,南北船合并,1.27
283,化妆品,1.21
284,有色-锌,1.21
285,创业板人气股,1.21
286,西藏,1.15
287,海绵城市,1.15
288,地下管廊,1.08
289,雄安-设计,1.07
290,地热,1.06
291,被动元件,1.01
292,山西国企改革,1.0
293,高送转-填权,0.93
294,航运,0.9
295,养老金持股,0.89
296,中科院系,0.89
297,北京城市规划,0.87
298,AH溢价股,0.84
299,河南自贸区,0.71
300,有色-钼,0.71
301,海底捞概念股,0.7
302,钢铁,0.65
303,有色-钴,0.58
304,精准医疗,0.58
305,农垦,0.52
306,纯碱,0.43
307,透明工厂,0.33
308,美团概念股,0.33
309,涤纶,0.26
310,调味品,0.26
311,空铁WiFi,0.16
312,主题公园,0.14
313,燃料乙醇,0.14
314,天津自贸区,0.08
315,休闲食品,0.03
316,机场,-0.1
317,筹码集中,-0.13
318,迈瑞医疗概念股,-0.13
319,有色-钒,-0.17
320,油品升级,-0.21
