,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LAST_PCT_CHG,COL_LASTPRICE
0,000958.SZ,000958,东方能源,火力发电,6.0,10.0127,8.68
1,600081.SH,600081,东风科技,汽车配件,4.0,9.9855,15.2
2,600710.SH,600710,苏美达,工程机械,3.0,10.0145,7.58
3,000800.SZ,000800,一汽轿车,汽车整车,2.0,10.0216,10.21
4,002761.SZ,002761,多喜爱,纺织,2.0,9.9834,19.83
5,600365.SH,600365,通葡股份,红黄药酒,2.0,9.9662,6.51
6,002783.SZ,002783,凯龙股份,化工原料,2.0,10.0,15.73
7,300598.SZ,300598,诚迈科技,软件服务,2.0,9.9931,47.55
8,002210.SZ,002210,飞马国际,仓储物流,2.0,9.9511,6.74
9,601777.SH,601777,力帆股份,摩托车,1.0,9.9467,6.19
10,601949.SH,601949,中国出版,出版业,1.0,10.0649,6.78
11,601126.SH,601126,四方股份,电气设备,1.0,10.0295,7.46
12,603033.SH,603033,三维股份,橡胶,1.0,10.004,27.38
13,300694.SZ,300694,蠡湖股份,汽车配件,1.0,9.996,27.29
14,600666.SH,600666,奥瑞德,元器件,1.0,10.0,5.06
15,600599.SH,600599,熊猫金控,多元金融,1.0,10.0141,15.6
16,600393.SH,600393,粤泰股份,全国地产,1.0,10.0324,3.4
17,603160.SH,603160,汇顶科技,元器件,1.0,9.9963,117.63
18,600218.SH,600218,全柴动力,农用机械,1.0,10.0195,16.91
19,603318.SH,603318,派思股份,专用机械,1.0,9.9807,22.81
20,300768.SZ,300768,迪普科技,软件服务,1.0,10.0186,17.79
21,300743.SZ,300743,天地数码,电脑设备,1.0,10.0056,59.37
22,300711.SZ,300711,广哈通信,通信设备,1.0,10.0194,22.73
23,600758.SH,600758,红阳能源,煤炭开采,1.0,9.9558,4.97
24,300489.SZ,300489,中飞股份,铝,1.0,9.9881,18.5
25,300573.SZ,300573,兴齐眼药,化学制药,1.0,10.0,27.5
26,000829.SZ,000829,天音控股,其他商业,1.0,10.0,7.26
27,000833.SZ,000833,粤桂股份,造纸,1.0,10.0313,7.02
28,000838.SZ,000838,财信发展,区域地产,1.0,9.9567,5.08
29,002547.SZ,002547,春兴精工,通信设备,1.0,10.0629,8.75
30,002571.SZ,002571,德力股份,玻璃,1.0,9.9668,6.62
31,002676.SZ,002676,顺威股份,塑料,1.0,10.0,4.62
32,002768.SZ,002768,国恩股份,塑料,1.0,9.9968,34.55
33,002855.SZ,002855,捷荣技术,塑料,1.0,10.0259,12.73
34,002878.SZ,002878,元隆雅图,文教休闲,1.0,9.974,33.85
35,300068.SZ,300068,南都电源,电气设备,1.0,9.9938,17.61
36,300173.SZ,300173,智慧松德,轻工机械,1.0,10.0813,6.77
37,300191.SZ,300191,潜能恒信,石油开采,1.0,9.9776,19.62
38,300194.SZ,300194,福安药业,化学制药,1.0,10.0654,8.42
39,300235.SZ,300235,方直科技,软件服务,1.0,9.9812,11.68
40,300267.SZ,300267,尔康制药,化学制药,1.0,9.9846,7.16
41,300322.SZ,300322,硕贝德,通信设备,1.0,10.0,16.39
42,603606.SH,603606,东方电缆,电气设备,1.0,10.0084,13.08
