,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688314.SH,688314,N康拓,医疗保健,92.05,1.0,43.0,143.0,10.87,,0.0
1,605089.SH,605089,味知香,食品,128.96,3.0,16.0,116.0,32.24,,0.0
2,600906.SH,600906,财达证券,证券,10.55,3.0,11.0,111.0,52.75,,0.0
3,001203.SZ,001203,大中矿业,普钢,22.89,3.0,10.0,110.0,50.12,,0.0
4,605196.SH,605196,华通线缆,电气设备,11.72,3.0,9.0,109.0,8.91,,0.0
5,001205.SZ,001205,盛航股份,水运,31.67,3.0,7.0,107.0,9.52,,0.0
6,605488.SH,605488,福莱新材,塑料,39.16,3.0,7.0,107.0,11.75,,0.0
7,002289.SZ,002289,宇顺电子,元器件,10.6,3.0,4.0,104.0,28.06,,0.0
8,600753.SH,600753,东方银星,商贸代理,27.32,3.0,4.0,104.0,48.96,"上海杰宇资产管理有限公司
深圳格律资产管理有限公司-格律连赢1号私募证券投资基金",2.0
9,001206.SZ,001206,N依依,造纸,64.22,1.0,4.0,104.0,15.15,,0.0
10,605339.SH,605339,N南侨,食品,24.45,1.0,4.0,104.0,15.53,,0.0
11,003027.SZ,003027,同兴环保,环境保护,39.66,3.0,3.0,103.0,12.89,"深圳市上潮资本管理有限责任公司-上潮2号私募基金
浙江九章资产管理有限公司-九章幻方皓月1号私募基金",2.0
12,600095.SH,600095,湘财股份,证券,10.42,3.0,3.0,103.0,48.74,"财通基金-长沙中盈先导一号股权投资合伙企业(有限合伙)-财通基金安吉117号单一资产管理计划
安信证券-兴业银行-安信证券定发宝3号集合资产管理计划
财通基金-中信建投龙兴662号定向资产管理计划-财通基金安吉91号单一资产管理计划
中国银行股份有限公司-南方中证全指证券公司交易型开放式指数证券投资基金
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金",6.0
