,ts_code,name,industry,continuously_limit_up,continuously_up,average_p_change,last_p_change,circ_mv
358,000862.SZ,银星能源,新型电力,5.0,5.0,10.077,10.0917,240649.3872
1636,300250.SZ,初灵信息,软件服务,4.0,4.0,9.996,10.0153,200012.8466
3003,601218.SH,吉鑫科技,机械基件,3.0,3.0,10.025,9.9644,306453.84
113,000518.SZ,四环生物,生物制药,2.0,3.0,7.446,10.0694,326362.8147
1962,300582.SZ,英飞特,半导体,2.0,2.0,10.001,9.9864,193281.1466
1060,002600.SZ,领益智造,元器件,2.0,4.0,5.681,10.0694,471661.454
2198,600086.SH,东方金钰,服饰,2.0,2.0,10.116,10.1266,367782.0656
1321,002875.SZ,安奈儿,服饰,2.0,2.0,9.999,10.0116,73476.585
957,002496.SZ,辉丰股份,农药化肥,2.0,6.0,5.097,9.8814,268575.3171
912,002451.SZ,摩恩电气,电气设备,2.0,3.0,7.345,10.0089,517168.4274
2782,600776.SH,东方通信,通信设备,2.0,2.0,10.018,10.0364,1446428.0968
2291,600192.SH,长城电工,电气设备,2.0,3.0,9.677,10.0503,290228.436
479,002017.SZ,东信和平,通信设备,2.0,3.0,7.793,10.0202,375138.6767
3175,603063.SH,禾望电气,电气设备,2.0,3.0,8.375,9.9585,202963.5
3497,603822.SH,嘉澳环保,环境保护,2.0,3.0,7.166,10.0156,143619.6551
3543,603912.SH,佳力图,专用机械,2.0,3.0,7.617,9.9851,159112.8
2366,600280.SH,中央商场,百货,1.0,3.0,4.461,10.1064,475410.637
2196,600084.SH,中葡股份,红黄药酒,1.0,3.0,4.831,9.9602,310148.6051
1947,300566.SZ,激智科技,元器件,1.0,3.0,5.769,9.9753,126174.0782
1927,300545.SZ,联得装备,专用机械,1.0,4.0,4.762,9.9805,104665.9578
2205,600095.SH,哈高科,区域地产,1.0,3.0,5.12,9.9217,152091.9609
2228,600119.SH,长江投资,仓储物流,1.0,2.0,6.381,9.8214,189051.0
2259,600157.SH,永泰能源,煤炭开采,1.0,3.0,5.855,10.0592,2311197.9306
2061,300684.SZ,中石科技,化工原料,1.0,3.0,5.612,10.0,232732.208
2579,600552.SH,凯盛科技,玻璃,1.0,3.0,5.162,10.0,319303.5133
2399,600318.SH,新力金融,多元金融,1.0,3.0,5.49,10.0,346060.0
2550,600518.SH,康美药业,中成药,1.0,3.0,8.051,10.0149,3240749.287
2561,600530.SH,交大昂立,医疗保健,1.0,3.0,4.872,9.9526,361920.0
1865,300481.SZ,濮阳惠成,化工原料,1.0,3.0,4.966,9.9759,347689.7517
2709,600698.SH,湖南天雁,汽车配件,1.0,3.0,4.184,10.0,259464.0784
2717,600707.SH,彩虹股份,元器件,1.0,3.0,4.834,10.0228,622087.805
2773,600766.SH,园城黄金,黄金,1.0,3.0,4.596,10.0437,169292.6464
2803,600800.SH,天津磁卡,综合类,1.0,3.0,5.111,10.0196,342135.3863
2887,600892.SH,大晟文化,影视音像,1.0,1.0,9.93,9.9303,340467.5948
2999,601208.SH,东材科技,化工原料,1.0,3.0,4.899,10.1299,265678.824
3427,603676.SH,卫信康,化学制药,1.0,3.0,6.196,10.0,75526.3238
3446,603707.SH,健友股份,化学制药,1.0,3.0,3.734,10.0203,615598.5818
1903,300519.SZ,新光药业,中成药,1.0,3.0,5.534,9.9846,141481.6
1515,300128.SZ,锦富技术,元器件,1.0,3.0,7.026,9.9359,365540.8219
1820,300436.SZ,广生堂,化学制药,1.0,4.0,3.959,9.987,285924.9936
1807,300423.SZ,鲁亿通,电气设备,1.0,3.0,5.902,10.0,226090.213
249,000700.SZ,模塑科技,汽车配件,1.0,3.0,4.914,9.9338,238113.0696
270,000725.SZ,京东方A,元器件,1.0,3.0,5.593,9.854,10191784.1883
292,000760.SZ,斯太尔,汽车配件,1.0,3.0,5.347,10.1504,191752.1705
322,000806.SZ,银河生物,生物制药,1.0,3.0,6.307,10.1266,243060.0087
329,000815.SZ,美利云,造纸,1.0,3.0,5.237,10.073,238867.2
355,000859.SZ,国风塑业,塑料,1.0,4.0,4.029,10.0324,251366.2432
478,002016.SZ,世荣兆业,区域地产,1.0,3.0,4.518,9.9562,690279.8602
689,002227.SZ,奥特迅,电气设备,1.0,3.0,5.077,9.9907,259045.1309
705,002243.SZ,通产丽星,塑料,1.0,2.0,7.792,9.9925,538299.7101
848,002387.SZ,维信诺,元器件,1.0,5.0,3.585,10.0,479792.8904
898,002437.SZ,誉衡药业,化学制药,1.0,3.0,6.051,9.894,673960.7899
989,002529.SZ,海源复材,专用机械,1.0,3.0,6.319,10.0629,140000.0
1025,002565.SZ,顺灏股份,造纸,1.0,2.0,7.652,9.9662,445828.8629
1052,002592.SZ,八菱科技,汽车配件,1.0,3.0,5.236,9.9828,471060.5856
1098,002638.SZ,勤上股份,半导体,1.0,3.0,6.687,9.8712,250718.6898
1120,002660.SZ,茂硕电源,电气设备,1.0,3.0,5.326,10.0379,122757.1933
1121,002661.SZ,克明面业,食品,1.0,4.0,3.211,10.0402,448476.4075
1217,002762.SZ,金发拉比,服饰,1.0,3.0,5.815,10.0775,107959.6208
1239,002786.SZ,银宝山新,专用机械,1.0,2.0,5.807,10.0358,351122.04
1276,002826.SZ,易明医药,中成药,1.0,3.0,5.308,10.0,140508.2343
1281,002831.SZ,裕同科技,广告包装,1.0,3.0,5.084,10.0112,588157.205
1293,002845.SZ,同兴达,元器件,1.0,3.0,4.904,10.0068,120087.23
1317,002870.SZ,香山股份,电器仪表,1.0,3.0,4.862,9.9798,65435.72
1329,002883.SZ,中设股份,建筑施工,1.0,4.0,3.702,9.9797,67339.3833
1409,300021.SZ,大禹节水,农业综合,1.0,3.0,4.741,10.0671,318961.0436
1484,300097.SZ,智云股份,电器仪表,1.0,3.0,5.725,10.0092,241809.1623
154,000566.SZ,海南海药,化学制药,1.0,3.0,5.667,10.0189,642059.7769
3580,603996.SH,中新科技,家用电器,1.0,4.0,5.143,9.9754,268033.95
