,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_UP_RANGE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688589.SH,688589,N力合微,半导体,79.07,True,True,0.0,,0.0
1,300856.SZ,300856,N科思,化工原料,44.01,True,True,0.0,,0.0
2,688580.SH,688580,伟思医疗,医疗保健,172.5,True,True,0.0,,0.0
3,688077.SH,688077,N大地,元器件,61.01,True,True,0.0,,0.0
4,688336.SH,688336,N三生,生物制药,54.1,True,True,0.0,,0.0
5,688069.SH,688069,N德林海,环境保护,101.7,True,True,0.0,,0.0
6,688508.SH,688508,N芯朋微,半导体,132.35,True,True,0.0,,0.0
7,688561.SH,688561,N奇安信-U,软件服务,133.55,True,True,0.0,,0.0
8,688418.SH,688418,N震有,通信设备,41.99,True,True,0.0,,0.0
9,688488.SH,688488,艾迪药业,生物制药,34.63,True,True,0.12,,0.0
10,600567.SH,600567,山鹰纸业,造纸,3.27,True,True,0.12,"香港中央结算有限公司(陆股通)
山鹰国际控股股份公司-创享激励基金合伙人第一期持股计划
新华信托股份有限公司-新华信托华睿系列·金沙2号证券投资集合资金信托计划",3.0
11,600151.SH,600151,航天机电,汽车配件,5.43,True,True,0.13,"中央汇金资产管理有限责任公司
中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金",3.0
12,300040.SZ,300040,九洲集团,电气设备,7.04,True,True,0.14,中央汇金资产管理有限责任公司,1.0
13,600596.SH,600596,新安股份,化工原料,9.1,True,True,0.15,"中央汇金资产管理有限责任公司
上海迎水投资管理有限公司-迎水钱塘1号私募证券投资基金
上海迎水投资管理有限公司-迎水钱塘2号私募证券投资基金
香港中央结算有限公司(陆股通)",4.0
14,600136.SH,600136,当代文体,影视音像,9.39,True,True,0.15,"全国社保基金一零二组合
全国社保基金一零六组合",2.0
15,002890.SZ,002890,弘宇股份,农用机械,40.9,True,True,0.16,,0.0
16,601928.SH,601928,凤凰传媒,出版业,7.73,True,True,0.16,"基本养老保险基金一零零三组合
凤凰集团-华泰联合证券-16凤凰EB担保及信托财产专户
天达资产管理有限公司-天达环球策略基金-全中国股票基金(交易所)
全国社保基金四一三组合
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
广发基金-农业银行-广发中证金融资产管理计划
全国社保基金一零一组合",8.0
17,600585.SH,600585,海螺水泥,水泥,60.97,True,True,0.16,"香港中央结算有限公司(陆股通)
高瓴资本管理有限公司-HCM中国基金
中国工商银行-上证50交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",4.0
18,000836.SZ,000836,富通鑫茂,通信设备,3.81,True,True,0.17,"汇安基金-浙商银行-汇安基金-湖畔1号资产管理计划
中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金
南华基金-浙商银行-南华基金鑫华1号资产管理计划",3.0
19,600435.SH,600435,北方导航,专用机械,8.79,True,True,0.17,"中兵投资-广发证券-17中兵EB担保及信托财产专户
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金
中国建设银行股份有限公司-富国中证军工龙头交易型开放式指数证券投资基金",5.0
20,300717.SZ,300717,华信新材,塑料,16.96,True,True,0.18,,0.0
21,600082.SH,600082,海泰发展,园区开发,3.89,True,True,0.18,,0.0
22,300584.SZ,300584,海辰药业,化学制药,28.44,True,True,0.18,"中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金
西藏信托有限公司-西藏信托-智臻33号集合资金信托计划",2.0
23,600882.SH,600882,妙可蓝多,乳制品,40.95,True,True,0.18,"兴业银行股份有限公司-兴全趋势投资混合型证券投资基金
兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金
兴业国际信托有限公司-兴业信托·广泽股份1号员工持股集合资金信托计划
深圳前海厚生资产管理有限公司-厚生稳赢七号私募投资基金",4.0
24,002361.SZ,002361,神剑股份,化工原料,5.02,True,True,0.19,,0.0
25,002141.SZ,002141,贤丰控股,元器件,3.63,True,True,0.19,"中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划
深圳市前海建泓时代资产管理有限公司-建泓盈富二号投资基金",2.0
26,002789.SZ,002789,建艺集团,装修装饰,16.76,True,True,0.19,"上海景富投资管理有限公司-景富和1期私募证券投资基金
上海长富投资管理有限公司-长富山5号私募基金",2.0
27,603839.SH,603839,安正时尚,服饰,14.86,True,True,0.19,"华泰证券股份有限公司-中庚价值领航混合型证券投资基金
光大永明资管-兴业银行-光大永明资产聚财121号定向资产管理产品
广发证券股份有限公司-中庚小盘价值股票型证券投资基金
兴业银行股份有限公司-兴全趋势投资混合型证券投资基金",4.0
28,000156.SZ,000156,华数传媒,影视音像,12.02,True,True,0.19,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中邮核心成长混合型证券投资基金
全国社保基金六零四组合
中国农业银行股份有限公司-中邮信息产业灵活配置混合型证券投资基金",4.0
29,600458.SH,600458,时代新材,塑料,7.64,True,True,0.2,中央汇金资产管理有限责任公司,1.0
30,000559.SZ,000559,万向钱潮,汽车配件,5.77,True,True,0.2,"中央汇金资产管理有限责任公司
国机资产管理有限公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",4.0
31,601003.SH,601003,柳钢股份,普钢,5.25,True,True,0.2,"中国建设银行股份有限公司-易方达中证国企一带一路交易型开放式指数证券投资基金
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国银行股份有限公司-富国中证国企一带一路交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金
中国建设银行股份有限公司-大成中证红利指数证券投资基金
建信基金公司-建行-中国建设银行股份有限公司
中国农业银行股份有限公司-汇添富中证国企一带一路交易型开放式指数证券投资基金",8.0
32,002137.SZ,002137,麦达数字,通信设备,8.77,True,True,0.2,,0.0
33,000488.SZ,000488,晨鸣纸业,造纸,5.73,True,True,0.2,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",3.0
34,300609.SZ,300609,汇纳科技,互联网,43.74,True,True,0.2,"嘉实基金-招商银行-嘉实基金睿见高增长1号资产管理计划
中国建设银行股份有限公司-融通互联网传媒灵活配置混合型证券投资基金
嘉实基金-招商银行-华润深国投信托-华润信托·恒盛集合资金信托计划
中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金",4.0
35,000910.SZ,000910,大亚圣象,家居用品,18.3,True,True,0.2,"中国建设银行股份有限公司-中欧价值发现股票型证券投资基金
中国工商银行股份有限公司-中欧潜力价值灵活配置混合型证券投资基金
平安基金-中国平安人寿保险股份有限公司-分红-个险分红-平安人寿-平安基金权益委托投资2号单一资产管理计划
香港中央结算有限公司(陆股通)
基本养老保险基金八零二组合
全国社保基金五零二组合
全国社保基金一一三组合
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金
中欧基金-民生银行-上海海通证券资产管理有限公司",9.0
36,600617.SH,600617,国新能源,供气供热,4.61,True,True,0.2,中央汇金资产管理有限责任公司,1.0
37,603766.SH,603766,隆鑫通用,摩托车,4.23,True,True,0.2,"香港中央结算有限公司(陆股通)
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",3.0
38,600250.SH,600250,南纺股份,商贸代理,6.46,True,True,0.2,"北京博达富通基金管理有限公司-博达鑫泰私募证券投资基金
中国证券投资者保护基金有限责任公司",2.0
39,600724.SH,600724,宁波富达,水泥,4.42,True,True,0.2,,0.0
40,600879.SH,600879,航天电子,航空,7.62,True,True,0.2,"中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金
中国建设银行股份有限公司-富国中证军工龙头交易型开放式指数证券投资基金
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金",3.0
41,600031.SH,600031,三一重工,工程机械,21.79,True,True,0.2,"全国社保基金一零四组合
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
全国社保基金一一二组合
全国社保基金一零二组合",5.0
42,002029.SZ,002029,七匹狼,服饰,5.95,True,True,0.2,"博时基金-农业银行-博时中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
基本养老保险基金一零零三组合
易方达基金-农业银行-易方达中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中央汇金资产管理有限责任公司
银华基金-农业银行-银华中证金融资产管理计划
华泰证券股份有限公司-中庚价值领航混合型证券投资基金
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划",13.0
43,000928.SZ,000928,中钢国际,建筑工程,4.71,True,True,0.21,"红土创新基金-银河证券-深圳市创新投资集团有限公司
中钢资产管理有限责任公司
香港中央结算有限公司(陆股通)
中航证券-宁波银行-中航祥瑞集合资产管理计划
交通银行股份有限公司-广发中证基建工程指数型发起式证券投资基金",5.0
44,601369.SH,601369,陕鼓动力,机械基件,7.18,True,True,0.21,中央汇金资产管理有限责任公司,1.0
45,000639.SZ,000639,西王食品,食品,6.66,True,True,0.21,"山东高速嵩信(天津)投资管理有限公司-山高嵩成私募股权投资基金
巨能资本管理有限公司-山东聚赢产业基金合伙企业(有限合伙)
泰达宏利基金-工商银行-泰达宏利价值成长定向增发726号
深圳市九派资本管理有限公司-九派定增1号私募股权投资基金",4.0
46,300848.SZ,300848,美瑞新材,化工原料,49.1,True,True,0.21,,0.0
47,603989.SH,603989,艾华集团,元器件,32.25,True,True,0.21,"挪威中央银行-自有资金
交通银行股份有限公司-国泰金鹰增长灵活配置混合型证券投资基金
中国农业银行股份有限公司-国泰智能汽车股票型证券投资基金
基本养老保险基金八零二组合
香港中央结算有限公司(陆股通)
全国社保基金一一三组合",6.0
48,600406.SH,600406,国电南瑞,电气设备,22.65,True,True,0.21,"香港中央结算有限公司(陆股通)
泰达宏利基金-招商银行-泰达宏利国创投资1号定增资产管理计划
中央汇金资产管理有限责任公司
中国国有企业结构调整基金股份有限公司",4.0
49,300577.SZ,300577,开润股份,纺织,32.85,True,True,0.22,"招商银行股份有限公司-鹏华新兴产业混合型证券投资基金
鹏华基金-建设银行-中国人寿-中国人寿委托鹏华基金公司混合型组合
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-大成睿享混合型证券投资基金
全国社保基金四零四组合
全国社保基金一零二组合
基本养老保险基金一二零三组合",7.0
50,300248.SZ,300248,新开普,软件服务,13.69,True,True,0.22,"基本养老保险基金八零八组合
中国建设银行股份有限公司-鹏华价值优势混合型证券投资基金(LOF)
全国社保基金一零一组合",3.0
51,600131.SH,600131,国网信通,通信设备,23.02,True,True,0.22,"中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
兴证证券资管-阿坝州投资发展公司-兴证资管阿尔法科睿3号单一资产管理计划
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
北京新华国泰水利资产管理有限公司",4.0
52,002360.SZ,002360,同德化工,化工原料,5.97,True,True,0.23,,0.0
53,300324.SZ,300324,旋极信息,软件服务,7.84,True,True,0.23,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金
北京达麟投资管理有限公司-北京汇达高新投资基金中心(有限合伙)",3.0
