,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT_5,COL_LOCAL_LIMIT_COUNT_10,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002610.SZ,002610,爱康科技,电气设备,1.87,6.0,0.0,1.0,82.02,中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金,1.0
1,601880.SH,601880,大连港,港口,2.08,7.0,0.0,2.0,160.91,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",2.0
2,300064.SZ,300064,豫金刚石,矿物制品,2.14,6.0,0.0,2.0,13.67,香港中央结算有限公司(陆股通),1.0
3,600691.SH,600691,阳煤化工,农药化肥,2.15,6.0,0.0,1.0,37.76,云南国际信托有限公司-源盛恒瑞21号集合资金信托计划,1.0
4,600317.SH,600317,营口港,港口,2.65,8.0,0.0,2.0,171.53,"广发基金-农业银行-广发中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
中央汇金资产管理有限责任公司
大成基金-农业银行-大成中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
华夏基金-农业银行-华夏中证金融资产管理计划",12.0
5,000506.SZ,000506,中润资源,黄金,2.72,8.0,0.0,1.0,25.26,共青城蕴沣资产管理有限公司-蕴沣创世3号证券投资私募基金,1.0
6,002305.SZ,002305,南国置业,区域地产,2.73,7.0,0.0,1.0,47.3,"东吴基金-上海银行-东吴鼎利6020号资产管理计划
东吴基金-上海银行-渤海国际信托股份有限公司",2.0
7,002263.SZ,002263,大东南,塑料,2.82,6.0,0.0,1.0,52.97,,0.0
8,600467.SH,600467,好当家,渔业,2.83,7.0,0.0,1.0,41.35,长安国际信托股份有限公司-银帆3期(长安投资78号)集合资金信托计划,1.0
9,002506.SZ,002506,协鑫集成,电气设备,2.87,7.0,0.0,1.0,145.62,"天津融境股权投资基金中心(有限合伙)
长城(德阳)超日项目基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)",3.0
10,000005.SZ,000005,世纪星源,环境保护,2.96,7.0,0.0,1.0,31.32,上海泽添资产管理中心(有限合伙)-泽熙投资基金1号私募投资基金,1.0
11,000659.SZ,000659,珠海中富,广告包装,3.0,0.0,1.0,2.0,38.57,,0.0
12,600393.SH,600393,粤泰股份,全国地产,3.09,7.0,0.0,1.0,30.54,"万家共赢-宁波银行-山东信托-山东信托恒赢18号集合资金信托计划
锐懿资产-宁波银行-山东信托-山东信托恒赢19号集合资金信托计划
云南国际信托有限公司-粤泰股份第二期员工持股计划集合资金信托计划",3.0
13,600558.SH,600558,大西洋,钢加工,3.13,6.0,0.0,1.0,28.1,中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金,1.0
14,601015.SH,601015,陕西黑猫,焦炭加工,3.15,7.0,0.0,1.0,45.95,长城(天津)股权投资基金管理有限责任公司-长城国泰-高端装备并购契约型私募投资基金,1.0
15,600567.SH,600567,山鹰纸业,造纸,3.27,2.0,1.0,1.0,150.27,"新华信托股份有限公司-新华信托华睿系列·金沙2号证券投资集合资金信托计划
山鹰国际控股股份公司-创享激励基金合伙人第一期持股计划
香港中央结算有限公司(陆股通)",3.0
16,601600.SH,601600,中国铝业,铝,3.4,9.0,1.0,1.0,444.68,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国信达资产管理股份有限公司",3.0
