,ts_code,name,industry,continuously_limit_up,continuously_up,average_p_change,last_p_change,circ_mv
358,000862.SZ,银星能源,新型电力,9.0,9.0,10.047,10.0156,352451.0817
1060,002600.SZ,领益智造,元器件,6.0,8.0,7.837,9.9526,690381.4342
2580,600552.SH,凯盛科技,玻璃,5.0,7.0,7.952,10.0539,468260.8938
1927,300545.SZ,联得装备,专用机械,5.0,8.0,7.384,10.01,153269.1406
3000,601208.SH,东材科技,化工原料,5.0,7.0,7.794,9.9291,388492.62
355,000859.SZ,国风塑业,塑料,5.0,8.0,6.993,9.9558,367438.3026
2920,600975.SH,新五丰,农业综合,3.0,7.0,6.834,10.0173,415754.347
1863,300479.SZ,神思电子,软件服务,3.0,8.0,5.016,9.9814,283840.0
1149,002689.SZ,远大智能,运输设备,3.0,7.0,5.369,10.0,480859.0752
2466,600396.SH,金山股份,火力发电,2.0,7.0,3.837,9.8039,329886.327
2681,600666.SH,奥瑞德,元器件,2.0,2.0,10.067,10.0977,271635.5698
809,002348.SZ,高乐股份,文教休闲,2.0,7.0,4.615,10.1124,291291.4874
18,000023.SZ,深天地A,其他建材,2.0,7.0,4.936,9.9707,208134.36
887,002426.SZ,胜利精密,元器件,2.0,2.0,10.136,10.1639,725014.9633
1453,300066.SZ,三川智慧,电器仪表,2.0,2.0,10.049,10.0719,457187.0023
1763,300379.SZ,东方通,软件服务,2.0,2.0,9.995,9.9767,362411.1047
2240,600131.SH,岷江水电,水力发电,2.0,2.0,10.001,9.9853,305336.5393
1667,300281.SZ,金明精机,专用机械,2.0,7.0,4.637,10.0346,166711.6902
3397,603609.SH,禾丰牧业,饲料,2.0,2.0,9.964,9.966,807072.3514
40,000050.SZ,深天马A,元器件,2.0,7.0,7.252,10.0366,2733426.1287
3225,603165.SH,荣晟环保,造纸,2.0,3.0,7.574,10.0201,96909.12
164,000584.SZ,哈工智能,化纤,2.0,7.0,4.424,10.069,487823.6092
1877,300493.SZ,润欣科技,通信设备,1.0,2.0,7.463,10.0,323400.0
3434,603683.SH,晶华新材,化工原料,1.0,1.0,10.0,10.0,67994.63
2034,300657.SZ,弘信电子,元器件,1.0,1.0,10.006,10.0055,246321.9394
2019,300641.SZ,正丹股份,化工原料,1.0,2.0,7.912,10.0935,131570.82
3439,603690.SH,至纯科技,专用机械,1.0,1.0,10.0,10.0,173383.056
1983,300604.SZ,长川科技,专用机械,1.0,1.0,9.993,9.9933,218736.7876
1967,300587.SZ,天铁股份,橡胶,1.0,9.0,2.408,9.9849,91779.4811
1928,300546.SZ,雄帝科技,元器件,1.0,1.0,10.008,10.0079,178114.4625
3471,603766.SH,隆鑫通用,摩托车,1.0,1.0,9.935,9.9352,1035385.4804
2092,300717.SZ,华信新材,塑料,1.0,2.0,5.21,9.9929,65953.792
3554,603929.SH,亚翔集成,装修装饰,1.0,7.0,3.958,10.0,167821.28
1852,300468.SZ,四方精创,软件服务,1.0,1.0,9.968,9.9676,252730.4225
1817,300433.SZ,蓝思科技,元器件,1.0,2.0,5.159,10.0413,3128274.7776
1781,300397.SZ,天和防务,通信设备,1.0,8.0,3.375,9.9631,184840.4898
1777,300393.SZ,中来股份,塑料,1.0,1.0,10.0,10.0,222827.5249
1769,300385.SZ,雪浪环境,环境保护,1.0,2.0,5.004,10.0073,87228.1811
1737,300351.SZ,永贵电器,元器件,1.0,2.0,5.637,9.9526,222200.2281
1711,300325.SZ,德威新材,塑料,1.0,8.0,3.426,10.0271,322676.322
2048,300671.SZ,富满电子,半导体,1.0,2.0,5.438,10.0058,150395.7041
3010,601231.SH,环旭电子,元器件,1.0,1.0,10.027,10.0269,2674210.0798
3030,601377.SH,兴业证券,证券,1.0,1.0,9.962,9.9624,3917552.9293
2661,600643.SH,爱建集团,多元金融,1.0,9.0,2.608,9.9893,1468475.9818
2997,601198.SH,东兴证券,证券,1.0,1.0,10.01,10.0097,3122011.4637
3134,603005.SH,晶方科技,半导体,1.0,2.0,5.686,10.0182,316431.6963
2843,600844.SH,丹化科技,化工原料,1.0,7.0,3.038,9.9379,291246.6444
2818,600816.SH,安信信托,多元金融,1.0,2.0,5.524,9.9099,2280184.4637
2783,600776.SH,东方通信,通信设备,1.0,6.0,8.994,9.9842,2000908.134
2716,600705.SH,中航资本,多元金融,1.0,1.0,9.935,9.9352,4568949.8149
3135,603006.SH,联明股份,汽车配件,1.0,1.0,9.962,9.9624,116951.0776
2662,600644.SH,乐山电力,水力发电,1.0,7.0,2.829,10.02,295581.9618
2608,600584.SH,长电科技,半导体,1.0,7.0,4.519,10.0365,1249313.2621
2251,600146.SH,商赢环球,服饰,1.0,7.0,4.053,10.0855,128800.0
3143,603015.SH,弘讯科技,电气设备,1.0,7.0,3.162,9.9379,284545.908
1709,300323.SZ,华灿光电,半导体,1.0,2.0,6.79,9.9612,597051.5736
2539,600505.SH,西昌电力,水力发电,1.0,7.0,4.02,9.9831,236968.875
3342,603477.SH,振静股份,纺织,1.0,7.0,4.014,9.949,97837.0
2357,600268.SH,国电南自,电气设备,1.0,1.0,10.11,10.1099,318258.4634
3354,603516.SH,淳中科技,通信设备,1.0,7.0,3.376,10.0191,203565.7935
2314,600218.SH,全柴动力,农用机械,1.0,3.0,7.041,10.0552,367279.98
2266,600163.SH,中闽能源,新型电力,1.0,1.0,9.917,9.9174,398786.6268
2557,600525.SH,长园集团,电气设备,1.0,8.0,3.787,10.099,726010.9845
1560,300173.SZ,智慧松德,轻工机械,1.0,7.0,3.676,10.1031,206853.5925
1683,300297.SZ,蓝盾股份,软件服务,1.0,1.0,10.018,10.0182,469626.253
760,002299.SZ,圣农发展,农业综合,1.0,3.0,4.179,10.0093,2625056.7
732,002271.SZ,东方雨虹,其他建材,1.0,1.0,10.025,10.0252,1733613.8296
714,002252.SZ,上海莱士,生物制药,1.0,7.0,5.582,9.987,4216755.556
711,002249.SZ,大洋电机,电气设备,1.0,1.0,10.053,10.0529,954145.9882
696,002234.SZ,民和股份,农业综合,1.0,3.0,4.832,10.0,349047.6769
647,002185.SZ,华天科技,半导体,1.0,8.0,2.949,10.0604,1165350.0871
646,002184.SZ,海得控制,软件服务,1.0,2.0,5.224,10.0109,137361.7695
