,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_AMPLITUDE,COL_FLOAT_HOLDERS
0,600022.SH,600022,山东钢铁,普钢,1.35,True,15.44715447154472,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中信银行股份有限公司-建信中证500指数增强型证券投资基金"
1,600569.SH,600569,安阳钢铁,普钢,2.14,True,13.33333333333333,中央汇金资产管理有限责任公司
2,601929.SH,601929,吉视传媒,影视音像,2.18,True,12.56281407035178,中央汇金资产管理有限责任公司
3,600231.SH,600231,凌钢股份,普钢,2.31,True,13.145539906103298,"宁波宁聚资产管理中心(有限合伙)-宁聚量化精选证券投资基金
宁波宁聚资产管理中心(有限合伙)-宁聚满天星2期对冲基金
宁波宁聚资产管理中心(有限合伙)-宁聚量化稳盈优享私募证券投资基金"
4,600397.SH,600397,安源煤业,煤炭开采,2.54,True,23.300970873786397,"中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金"
5,600808.SH,600808,马钢股份,普钢,2.69,True,18.181818181818187,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
福建滚雪球投资管理有限公司-嘉耀滚雪球1号证券投资基金
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国银行股份有限公司-富国中证国企一带一路交易型开放式指数证券投资基金
中国建设银行股份有限公司-易方达中证国企一带一路交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
6,600256.SH,600256,广汇能源,石油开采,2.73,True,13.223140495867792,"中央汇金资产管理有限责任公司
华龙证券-浦发银行-华龙证券金智汇31号集合资产管理计划
香港中央结算有限公司(陆股通)
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
7,601588.SH,601588,北辰实业,区域地产,2.84,True,7.984790874524705,"香港中央结算有限公司(陆股通)
基本养老保险基金一二零四组合"
8,600715.SH,600715,文投控股,影视音像,2.85,True,23.868312757201625,"中国民生信托有限公司-中国民生信托-至信516号证券投资集合资金信托计划
上海丰煜投资有限公司-丰煜-稳盈证券投资基金1号"
9,002431.SZ,002431,棕榈股份,建筑工程,3.04,True,25.1028806584362,中央汇金资产管理有限责任公司
10,000937.SZ,000937,冀中能源,煤炭开采,3.11,True,6.1224489795918435,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
11,600581.SH,600581,八一钢铁,普钢,3.15,True,9.459459459459474,中央汇金资产管理有限责任公司
12,600117.SH,600117,西宁特钢,特种钢,3.25,True,14.137931034482754,
13,000778.SZ,000778,新兴铸管,钢加工,3.47,True,6.060606060606055,"香港中央结算有限公司(陆股通)
全国社保基金四一三组合
安徽高新毅达皖江产业发展创业投资基金(有限合伙)
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
14,600684.SH,600684,珠江实业,全国地产,3.58,True,21.381578947368407,香港中央结算有限公司(陆股通)
15,603993.SH,603993,洛阳钼业,小金属,3.79,True,13.134328358208958,"中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
建信基金-工商银行-陕西省国际信托-陕国投·金玉6号定向投资集合资金信托计划
中国国有企业结构调整基金股份有限公司
民生加银基金-宁波银行-嘉兴民琉投资合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
全国社保基金一零八组合"
16,600959.SH,600959,江苏有线,影视音像,3.82,True,14.15929203539823,江苏紫金文化产业二期创业投资基金(有限合伙)
17,000060.SZ,000060,中金岭南,铅锌,3.82,True,12.023460410557174,"中信保诚基金-浦发银行-云南国际信托-云信智兴2017-510号单一资金信托
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
18,000548.SZ,000548,湖南投资,路桥,3.85,True,8.14606741573034,
19,600365.SH,600365,通葡股份,红黄酒,3.85,True,25.153374233128844,
20,000717.SZ,000717,韶钢松山,普钢,3.97,True,13.649025069637899,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金"
21,601001.SH,601001,大同煤业,煤炭开采,4.04,True,19.174041297935098,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金
中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金"
22,000543.SZ,000543,皖能电力,火力发电,4.04,True,6.315789473684208,"全国社保基金一零三组合
全国社保基金四一二组合
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
23,600657.SH,600657,信达地产,全国地产,4.17,True,21.57434402332361,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
24,002131.SZ,002131,利欧股份,互联网,4.18,True,18.508287292817684,"香港中央结算公司
中国农业银行-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
25,300148.SZ,300148,天舟文化,出版业,4.2,True,27.272727272727295,国金证券-浦发银行-国金天舟文化1号集合资产管理计划
26,000807.SZ,000807,云铝股份,铝,4.34,True,14.92146596858639,"全国社保基金四一二组合
华泰资产管理有限公司-策略投资产品
香港中央结算有限公司(陆股通)
基本养老保险基金九零二组合
易方达基金-工商银行-易方达基金臻选2号资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国工商银行股份有限公司-富国沪深300增强证券投资基金"
27,600811.SH,600811,东方集团,综合类,4.35,True,25.722543352601157,"昆仑信托有限责任公司-昆仑信托·东方集团定增一号集合资金信托计划
深圳市大华信安资产管理企业(有限合伙)-大华承运私募证券投资基金
中央汇金资产管理有限责任公司
中融金谷投资(北京)有限公司-中融金谷价值精选二号私募证券投资基金"
28,600302.SH,600302,标准股份,纺织机械,4.4,True,16.4490861618799,
29,000419.SZ,000419,通程控股,百货,4.47,True,12.878787878787868,
30,002765.SZ,002765,蓝黛传动,汽车配件,4.51,True,14.758269720101769,
31,002611.SZ,002611,东方精工,轻工机械,4.51,True,14.250614250614246,"华融证券-招商证券-华融优智1号集合资产管理计划
盛稷股权投资基金(上海)有限公司
香港中央结算有限公司(陆股通)"
32,600711.SH,600711,盛屯矿业,小金属,4.53,True,28.291316526610654,香港中央结算有限公司(陆股通)
33,600308.SH,600308,华泰股份,造纸,4.56,True,9.090909090909083,华泰证券股份有限公司-中庚价值领航混合型证券投资基金
34,000166.SZ,000166,申万宏源,证券,4.6,True,8.23529411764705,"中央汇金投资有限责任公司
中央汇金资产管理有限责任公司"
35,600478.SH,600478,科力远,元器件,4.61,True,25.95628415300546,"国泰君安创新投资有限公司-证券行业支持民企发展系列之国君通济一号私募股权投资基金
北信瑞丰基金-浦发银行-爱建信托-爱建信托云溪2号事务管理类集合资金信托计划
华融国际信托有限责任公司-华融·汇盈32号证券投资单一资金信托
佛山市金融投资控股有限公司-佛山市通助基金投资有限公司"
36,000607.SZ,000607,华媒控股,广告包装,4.63,True,22.194513715710727,
37,000155.SZ,000155,川能动力,新型电力,4.7,True,28.06539509536785,"中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金"
38,600165.SH,600165,新日恒力,钢加工,4.76,True,16.545012165450125,"国通信托有限责任公司-国通信托·同洲精进2号集合资金信托计划
国通信托有限责任公司-国通信托·紫金8号集合资金信托计划
华鑫国际信托有限公司-华鑫信托·华鹏66号集合资金信托计划"
39,600873.SH,600873,梅花生物,食品,4.9,True,16.86460807600949,"招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
北京隆慧投资有限公司-隆慧汇晨战略投资私募证券投资基金"
40,000638.SZ,000638,万方发展,软件服务,4.92,True,24.55696202531645,
41,000416.SZ,000416,民生控股,多元金融,4.96,True,18.377088305489252,
42,600997.SH,600997,开滦股份,煤炭开采,5.0,True,14.678899082568808,"中央汇金资产管理有限责任公司
中国信达资产管理股份有限公司
国联安德盛小盘精选证券投资基金
中融中证煤炭指数分级证券投资基金"
43,000983.SZ,000983,西山煤电,煤炭开采,5.07,True,11.23110151187905,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
全国社保基金一一七组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
44,002026.SZ,002026,山东威达,机械基件,5.1,True,6.25,中央汇金资产管理有限责任公司
45,000600.SZ,000600,建投能源,火力发电,5.1,True,19.437939110070257,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-富国中证500指数增强型证券投资基金(LOF)
华夏基金-农业银行-华夏中证金融资产管理计划
基本养老保险基金一三零一组合
富国基金管理有限公司-社保基金一五零一组合"
46,600971.SH,600971,恒源煤电,煤炭开采,5.13,True,12.608695652173907,"中央汇金资产管理有限责任公司
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金
安信证券-梁日文-安信证券创赢1号单一资产管理计划
中国农业银行股份有限公司-景顺长城沪深300指数增强型证券投资基金
中国建设银行股份有限公司-大成中证红利指数证券投资基金
香港中央结算有限公司(陆股通)"
47,600730.SH,600730,中国高科,综合类,5.16,True,24.586288416075618,
48,601727.SH,601727,上海电气,电气设备,5.19,True,19.036697247706424,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
上海君和立成投资管理中心(有限合伙)-上海临港东方君和科创产业股权投资基金合伙企业(有限合伙)"
49,002181.SZ,002181,粤传媒,出版业,5.24,True,23.370786516853936,
50,002485.SZ,002485,希努尔,服饰,5.29,True,23.04526748971194,"中国金谷国际信托有限责任公司-金谷·信惠51号证券投资集合资金信托计划
中国金谷国际信托有限责任公司-金谷·信盈6号证券投资集合资金信托计划
华鑫国际信托有限公司-华鑫信托·华升53号集合资金信托计划
华鑫国际信托有限公司-华鑫信托·华鹏71号集合资金信托计划
中国金谷国际信托有限责任公司-金谷·信惠37号证券投资集合资金信托计划
华鑫国际信托有限公司-华鑫信托·华鹏79号集合资金信托计划
华鑫国际信托有限公司-华鑫信托·华升85号集合资金信托计划"
51,000976.SZ,000976,华铁股份,运输设备,5.32,True,27.79043280182234,"苏州上达股权投资基金合伙企业(有限合伙)
金鹰基金-平安银行-金鹰穗通5号资产管理计划
义乌上达股权投资基金合伙企业(有限合伙)"
52,601968.SH,601968,宝钢包装,广告包装,5.36,True,22.374429223744308,浙商证券资管-光大银行-浙商汇金灵活定增集合资产管理计划
53,002687.SZ,002687,乔治白,服饰,5.42,True,14.229249011857714,
54,600757.SH,600757,长江传媒,出版业,5.46,True,9.580838323353301,"中央汇金资产管理有限责任公司
全国社保基金一零一组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
基本养老保险基金八零八组合
中国工商银行-南方宝元债券型基金"
55,600572.SH,600572,康恩贝,中成药,5.6,True,14.62450592885376,"渤海国际信托股份有限公司-渤海信托·恒利丰253号集合资金信托计划
香港中央结算有限公司(陆股通)
金元顺安基金-杭州银行-华润信托-华润信托·汇祥增利53号单一资金信托
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
56,300291.SZ,300291,华录百纳,影视音像,5.61,True,27.837259100642385,"博时基金-招商银行-博时基金-三新跃升1号资产管理计划
中央汇金资产管理有限责任公司"
57,603889.SH,603889,新澳股份,纺织,5.77,True,21.47368421052631,长春嘉信股权投资基金管理有限公司-嘉信六合策略精选3号
58,600199.SH,600199,金种子酒,白酒,5.78,True,16.532258064516125,"中央汇金资产管理有限责任公司
中国银行股份有限公司-招商中证白酒指数分级证券投资基金"
59,000301.SZ,000301,东方盛虹,化纤,5.82,True,22.01257861635222,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
60,300259.SZ,300259,新天科技,电器仪表,5.85,True,24.894514767932474,"中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
全国社保基金五零二组合
中国银行股份有限公司-华泰柏瑞量化增强混合型证券投资基金
中国银行股份有限公司-华泰柏瑞量化先行混合型证券投资基金
中国建设银行股份有限公司-泰康产业升级混合型证券投资基金"
61,601717.SH,601717,郑煤机,汽车配件,5.88,True,22.500000000000007,"河南资产管理有限公司
中央汇金资产管理有限责任公司
百瑞信托有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
62,002207.SZ,002207,ST准油,石油开采,5.89,True,17.564870259481037,"中投鼎鸿(北京)投资基金管理有限公司-中投鼎鸿2号私募证券投资基金
北京都市二号投资中心(有限合伙)-都市盛世大有四号私募证券投资基金
北京都市二号投资中心(有限合伙)-都市盛世大有五号私募证券投资基金"
63,002226.SZ,002226,江南化工,化工原料,5.93,True,27.526881720430097,"香港中央结算有限公司(陆股通)
兴业全球基金-上海银行-浙江中升港通贸易有限公司"
64,300255.SZ,300255,常山药业,生物制药,5.94,True,16.310679611650492,"珠海保联资产管理有限公司
中国建设银行股份有限公司-长城量化小盘股票型证券投资基金"
65,300359.SZ,300359,全通教育,文教休闲,5.95,True,22.86282306163021,北京顺业恒通资产管理有限公司
66,603128.SH,603128,华贸物流,仓储物流,5.98,True,17.543859649122815,"珠海回声资产管理有限公司-回声1号私募基金
香港中央结算有限公司(陆股通)"
67,601699.SH,601699,潞安环能,煤炭开采,5.99,True,11.992619926199266,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
68,300289.SZ,300289,利德曼,生物制药,6.05,True,22.65625,"成都力鼎银科股权投资基金中心(有限合伙)
上海赛领并购投资基金合伙企业(有限合伙)
湖南蠡源晟投资管理有限公司-蠡源晟价值平衡二号私募基金"
69,600740.SH,600740,山西焦化,焦炭加工,6.07,True,17.39961759082216,"华鑫国际信托有限公司
建信基金公司-民生-华鑫信托·慧智投资1号结构化集合资金信托计划
建信基金公司-民生-华鑫信托·慧智投资2号结构化集合资金信托计划
建信基金公司-民生-华鑫信托·慧智投资3号结构化集合资金信托计划"
70,603999.SH,603999,读者传媒,出版业,6.21,True,18.232044198895036,"广州市玄元投资管理有限公司-玄元科新12号私募证券投资基金
中国化工资产管理有限公司
中信证券-甘肃兴陇资本管理有限公司-中信证券兴陇1号单一资产管理计划"
71,601162.SH,601162,天风证券,证券,6.37,True,26.640159045725632,
72,002406.SZ,002406,远东传动,汽车配件,6.5,True,24.30426716141003,
73,000829.SZ,000829,天音控股,其他商业,6.56,True,27.131782945736415,"北京国际信托有限公司
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
阳光资管-工商银行-阳光资产-积极配置3号资产管理产品
阳光资产-工商银行-主动配置三号资产管理产品"
74,002443.SZ,002443,金洲管道,钢加工,6.6,True,18.06797853309481,"交通银行股份有限公司-长信量化先锋混合型证券投资基金
博时基金-北京诚通金控投资有限公司-博时基金-诚通金控1号单一资产管理计划"
75,300082.SZ,300082,奥克股份,化工原料,6.63,True,13.490725126475557,"中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划
中央汇金资产管理有限责任公司"
76,000783.SZ,000783,长江证券,证券,6.79,True,10.76672104404568,
77,600463.SH,600463,空港股份,园区开发,6.84,True,20.63492063492063,
78,601928.SH,601928,凤凰传媒,出版业,6.85,True,11.05769230769229,"凤凰集团-华泰联合证券-16凤凰EB担保及信托财产专户
天达资产管理有限公司-天达环球策略基金-全中国股票基金(交易所)
基本养老保险基金一零零三组合
中央汇金资产管理有限责任公司
全国社保基金四一三组合
全国社保基金一零一组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
广发基金-农业银行-广发中证金融资产管理计划"
79,600325.SH,600325,华发股份,区域地产,6.95,True,12.824675324675328,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
80,000719.SZ,000719,中原传媒,出版业,6.97,True,7.750759878419444,"中原出版传媒-国泰君安证券-18中原EB担保及信托财产专户
全国社保基金六零四组合
中央汇金资产管理有限责任公司
招商基金-国新投资有限公司-招商基金-国新1号单一资产管理计划
广发证券股份有限公司-中庚小盘价值股票型证券投资基金
华泰证券股份有限公司-中庚价值领航混合型证券投资基金"
81,000788.SZ,000788,北大医药,化学制药,7.01,True,20.16528925619834,"中央汇金资产管理有限责任公司
北京大学教育基金会
建投中信资产管理有限责任公司"
82,002522.SZ,002522,浙江众成,塑料,7.2,True,26.7605633802817,浙江银万斯特投资管理有限公司-全盈2号私募证券投资基金
83,002712.SZ,002712,思美传媒,广告包装,7.33,True,26.586620926243555,"金元顺安基金-浙商银行-爱建信托-爱建信托欣欣15号事务管理类单一资金信托
金鹰基金-浙商银行-西藏信托-西藏信托-瑞新9号单一资金信托
华润深国投信托有限公司-华润信托·开元3号集合资金信托计划
陕西省国际信托股份有限公司-陕国投·金玉32号证券投资集合资金信托计划"
84,603725.SH,603725,天安新材,塑料,7.35,True,18.21086261980831,
85,000537.SZ,000537,广宇发展,区域地产,7.51,True,19.017432646592724,"招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金
中国建设银行股份有限公司-中欧价值发现股票型证券投资基金
中国工商银行股份有限公司-中欧潜力价值灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
华润深国投信托有限公司-华润信托·捷昀25号集合资金信托计划"
86,300243.SZ,300243,瑞丰高材,化工原料,7.55,True,15.648286140089418,中央汇金资产管理有限责任公司
87,002769.SZ,002769,普路通,仓储物流,7.58,True,13.84388807069219,
88,000153.SZ,000153,丰原药业,化学制药,7.71,True,24.587706146926536,
89,000762.SZ,000762,西藏矿业,小金属,7.74,True,15.522388059701498,中央汇金资产管理有限责任公司
90,300175.SZ,300175,朗源股份,食品,7.84,True,26.751592356687894,中央汇金资产管理有限责任公司
91,601577.SH,601577,长沙银行,银行,7.91,True,4.473684210526319,湖南发展资产管理集团有限公司
92,300536.SZ,300536,农尚环境,建筑工程,7.93,True,21.6058394160584,上海盈嘉信投资管理合伙企业(有限合伙)-盈嘉信1号私募证券投资基金
