,ts_code,name,industry,COL_LASTPRICE,COL_MA_20_SLOPE,COL_ACCUMULATE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_DAILY_AGGRESSIVE_RATE
0,002351.SZ,漫步者,IT设备,15.36,6.05,2.37,37.09,5.12
1,300207.SZ,欣旺达,元器件,17.57,2.22,1.3,12.61,4.65
2,300341.SZ,麦克奥迪,电气设备,15.15,8.09,2.75,65.61,3.66
3,603229.SH,奥翔药业,化学制药,20.13,2.33,1.55,15.07,2.71
4,603005.SH,晶方科技,半导体,30.0,2.51,1.63,32.59,2.34
5,600615.SH,丰华股份,小金属,10.05,2.18,1.2,15.99,2.11
6,603501.SH,韦尔股份,半导体,125.2,3.8,3.29,28.86,1.92
7,300223.SZ,北京君正,半导体,63.12,3.36,2.94,15.83,1.84
8,300598.SZ,诚迈科技,软件服务,108.01,7.27,3.17,28.21,1.77
9,300319.SZ,麦捷科技,元器件,11.36,3.32,1.49,20.73,1.74
10,002605.SZ,姚记科技,文教休闲,16.06,2.21,1.59,11.45,1.72
11,300632.SZ,光莆股份,半导体,24.27,2.16,1.26,13.38,1.62
12,002655.SZ,共达电声,元器件,12.5,2.12,1.43,21.36,1.5
13,600745.SH,闻泰科技,通信设备,96.9,5.07,3.55,16.6,1.42
14,600640.SH,号百控股,影视音像,18.46,2.16,1.22,13.52,1.36
15,600584.SH,长电科技,半导体,20.72,2.69,1.45,13.48,1.34
16,603520.SH,司太立,化学制药,44.84,3.31,1.33,13.09,1.26
17,300277.SZ,海联讯,软件服务,10.72,2.7,1.52,19.99,1.12
18,002332.SZ,仙琚制药,生物制药,10.72,2.54,1.39,10.05,1.05
19,002861.SZ,瀛通通讯,通信设备,38.1,3.45,1.55,10.21,1.01
20,002045.SZ,国光电器,元器件,12.71,5.5,2.26,15.75,1.0
21,300256.SZ,星星科技,元器件,5.44,2.08,1.34,8.15,0.97
22,000673.SZ,当代东方,影视音像,4.79,2.11,1.51,20.13,0.95
23,603129.SH,春风动力,摩托车,36.42,2.75,1.7,10.0,0.93
24,002156.SZ,通富微电,半导体,12.93,2.28,1.29,9.99,0.86
25,000662.SZ,天夏智慧,软件服务,6.26,2.18,1.27,10.04,0.81
26,300552.SZ,万集科技,软件服务,73.8,4.16,4.53,15.31,0.73
27,603477.SH,振静股份,纺织,11.58,2.13,1.48,9.98,0.65
28,300558.SZ,贝达药业,化学制药,66.83,2.52,1.45,15.01,0.64
29,603879.SH,永悦科技,化工原料,11.68,2.21,1.3,10.0,0.58
30,300202.SZ,聚龙股份,专用机械,12.16,2.15,1.42,6.26,0.53
31,300661.SZ,圣邦股份,元器件,214.0,3.89,2.52,10.0,0.52
32,600812.SH,华北制药,化学制药,7.15,2.13,1.71,6.95,0.5
33,603121.SH,华培动力,汽车配件,26.03,2.15,1.23,7.51,0.47
34,002524.SZ,光正集团,医疗保健,11.07,3.71,2.21,10.04,0.47
35,002201.SZ,九鼎新材,玻璃,22.34,3.85,3.37,7.15,0.47
36,002552.SZ,宝鼎科技,机械基件,25.85,5.77,3.18,9.99,0.45
37,300655.SZ,晶瑞股份,化工原料,27.15,2.74,1.56,5.06,0.43
38,300468.SZ,四方精创,软件服务,29.8,3.21,1.62,6.37,0.34
39,603021.SH,山东华鹏,玻璃,9.25,2.16,1.29,0.0,0.0
40,603022.SH,新通联,广告包装,13.96,2.53,1.63,0.0,0.0
41,603378.SH,亚士创能,染料涂料,18.9,2.08,1.44,0.0,0.0
42,603976.SH,正川股份,医疗保健,24.34,2.15,1.38,0.0,0.0
43,000007.SZ,全新好,酒店餐饮,10.01,2.31,1.41,0.0,0.0
44,600703.SH,三安光电,半导体,16.63,2.13,1.23,0.0,0.0
45,300639.SZ,凯普生物,医疗保健,25.3,2.67,1.39,0.0,0.0
46,300548.SZ,博创科技,元器件,62.16,3.38,1.62,0.0,0.0
47,300492.SZ,山鼎设计,建筑工程,61.48,4.53,2.56,0.0,0.0
48,300379.SZ,东方通,软件服务,39.29,2.98,1.79,0.0,0.0
49,300360.SZ,炬华科技,电器仪表,12.23,2.45,1.34,0.0,0.0
50,300315.SZ,掌趣科技,互联网,5.43,2.69,1.46,0.0,0.0
51,300192.SZ,科斯伍德,文教休闲,14.94,2.35,1.5,0.0,0.0
52,002901.SZ,大博医疗,医疗保健,59.9,2.44,1.85,0.0,0.0
53,002791.SZ,坚朗五金,其他建材,27.75,2.49,2.56,0.0,0.0
54,002555.SZ,三七互娱,互联网,21.69,2.32,1.55,0.0,0.0
55,002241.SZ,歌尔股份,元器件,19.39,3.26,2.48,0.0,0.0
56,002123.SZ,梦网集团,互联网,22.14,2.54,2.76,0.0,0.0
57,603986.SH,兆易创新,半导体,165.4,2.79,1.44,0.0,0.0
