,ts_code,name,industry,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,000662.SZ,天夏智慧,软件服务,5.37,49.81,
1,002770.SZ,科迪乳业,乳制品,3.98,40.39,
2,000903.SZ,云内动力,机械基件,5.68,40.27,
3,002486.SZ,嘉麟杰,服饰,5.4,40.25,
4,600127.SH,金健米业,农业综合,11.3,40.11,"湖南发展资产管理集团有限公司
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)"
5,600855.SH,航天长峰,专用机械,26.07,40.02,
6,603997.SH,继峰股份,汽车配件,10.81,39.91,"中国工商银行股份有限公司-广发核心精选混合型证券投资基金
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金
中国银行股份有限公司-广发优企精选灵活配置混合型证券投资基金
中国工商银行股份有限公司-广发行业领先混合型证券投资基金
中国建设银行股份有限公司-中欧价值发现股票型证券投资基金
中国工商银行股份有限公司-中欧潜力价值灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)"
7,300048.SZ,合康新能,电气设备,5.15,39.91,
8,603200.SH,上海洗霸,环境保护,66.4,38.21,
9,600191.SH,华资实业,食品,9.55,36.07,
10,000908.SZ,景峰医药,化学制药,4.79,30.27,
11,002178.SZ,延华智能,建筑工程,5.0,30.26,
12,603067.SH,振华股份,化工原料,6.89,30.14,
13,603533.SH,掌阅科技,互联网,24.96,30.11,
14,600107.SH,美尔雅,服饰,10.1,30.05,
15,002401.SZ,中远海科,软件服务,14.82,30.03,中央汇金资产管理有限责任公司
16,002503.SZ,搜于特,服饰,4.5,30.02,
17,002846.SZ,英联股份,广告包装,32.0,30.01,
18,002838.SZ,道恩股份,塑料,48.05,30.0,
19,600540.SH,新赛股份,种植业,5.51,29.99,
20,300273.SZ,和佳医疗,医疗保健,8.01,29.98,
21,600467.SH,好当家,渔业,3.3,29.97,
22,600983.SH,惠而浦,家用电器,7.17,29.94,
23,000889.SZ,中嘉博创,通信设备,11.9,29.9,
24,603991.SH,至正股份,塑料,23.71,29.11,
25,600079.SH,人福医药,化学制药,17.82,28.29,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
全国社保基金一一三组合
中央汇金资产管理有限责任公司
基本养老保险基金八零二组合"
26,000021.SZ,深科技,IT设备,20.4,27.57,
27,300390.SZ,天华超净,元器件,10.87,27.06,
28,002537.SZ,海联金汇,汽车整车,6.15,26.24,
29,002156.SZ,通富微电,半导体,24.61,26.03,"国家集成电路产业投资基金股份有限公司
南通招商江海产业发展基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
全国社保基金一一四组合
招商银行股份有限公司-银河创新成长混合型证券投资基金
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金"
30,603890.SH,春秋电子,机械基件,15.8,25.98,
31,002123.SZ,梦网集团,互联网,16.53,25.21,
32,000615.SZ,京汉股份,全国地产,4.43,23.33,
33,002049.SZ,紫光国微,元器件,62.2,22.68,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
34,600026.SH,中远海能,水运,8.35,21.21,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划"
35,603360.SH,百傲化学,化工原料,29.34,21.08,
36,300433.SZ,蓝思科技,元器件,18.52,21.03,
37,300465.SZ,高伟达,软件服务,13.66,20.97,
38,300659.SZ,中孚信息,软件服务,88.14,20.31,"中国银行股份有限公司-海富通股票混合型证券投资基金
基本养老保险基金一二零二组合
中国对外经济贸易信托有限公司-鸿道3期
中国银行股份有限公司-嘉实逆向策略股票型证券投资基金
中国工商银行股份有限公司-嘉实主题新动力混合型证券投资基金
华润深国投信托有限公司-昀沣4号集合资金信托计划"
39,300063.SZ,天龙集团,互联网,4.84,20.24,
