,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,COL_CURRENT_PRICE,circ_mv
3072,601700.SH,风范股份,电气设备,1.0,-23.96,9.22,1044839.904
705,002243.SZ,通产丽星,塑料,1.0,-22.23,21.13,771137.144
2785,600776.SH,东方通信,通信设备,1.0,-20.82,30.42,2908152.1947
1317,002870.SZ,香山股份,电器仪表,1.0,-20.72,25.89,103870.68
1968,300587.SZ,天铁股份,橡胶,1.0,-19.81,24.4,102678.5574
819,002358.SZ,森源电气,电气设备,0.0,-19.55,16.15,1470336.8272
2201,600086.SH,东方金钰,服饰,1.0,-19.42,5.42,572809.9987
1877,300492.SZ,山鼎设计,建筑施工,1.0,-18.95,24.92,73133.6585
358,000862.SZ,银星能源,新型电力,2.0,-17.54,6.93,347437.5528
2316,600218.SH,全柴动力,农用机械,2.0,-17.23,13.18,486019.09
1938,300555.SZ,路通视信,通信设备,2.0,-16.79,11.88,110501.9531
355,000859.SZ,国风塑业,塑料,2.0,-16.48,7.5,554484.36
2638,600614.SH,鹏起科技,综合类,1.0,-16.32,6.11,923518.959
3534,603888.SH,新华网,互联网,1.0,-15.95,22.45,396175.1051
1128,002668.SZ,奥马电器,家用电器,2.0,-15.91,5.93,388000.6988
94,000426.SZ,兴业矿业,铅锌,3.0,-15.56,6.68,888744.5365
1412,300023.SZ,宝德股份,专用机械,2.0,-15.36,7.63,110183.948
2124,300751.SZ,迈为股份,专用机械,2.0,-15.22,172.86,224718.0
1598,300211.SZ,亿通科技,通信设备,1.0,-15.11,7.07,131292.7846
128,000536.SZ,华映科技,元器件,2.0,-14.71,3.92,785310.6767
195,000622.SZ,恒立实业,汽车配件,1.0,-14.56,7.29,309989.754
1669,300282.SZ,三盛教育,文教休闲,1.0,-13.98,14.61,325929.3005
1025,002565.SZ,顺灏股份,造纸,3.0,-13.7,10.4,712230.4415
1382,002941.SZ,新疆交建,建筑施工,2.0,-13.27,35.0,227500.0
1506,300118.SZ,东方日升,半导体,1.0,-13.15,9.51,649096.1058
1007,002547.SZ,春兴精工,通信设备,2.0,-13.09,9.03,720303.6115
1309,002862.SZ,实丰文化,文教休闲,2.0,-12.76,24.32,75781.12
1967,300586.SZ,美联新材,化工原料,1.0,-12.58,14.78,90342.75
2624,600599.SH,熊猫金控,多元金融,2.0,-12.5,14.49,240534.0
1062,002602.SZ,世纪华通,汽车配件,1.0,-12.5,20.33,3334287.9604
639,002177.SZ,御银股份,电脑设备,2.0,-12.36,4.17,268764.579
2923,600975.SH,新五丰,农业综合,2.0,-12.33,7.38,481674.581
40,000050.SZ,深天马A,元器件,3.0,-12.28,16.21,2949989.1842
2495,600438.SH,通威股份,饲料,2.0,-12.24,11.93,3530648.4151
375,000890.SZ,法尔胜,钢加工,1.0,-12.12,6.29,238783.4029
3197,603098.SH,森特股份,装修装饰,3.0,-12.09,15.1,113268.12
1169,002711.SZ,欧浦智网,仓储物流,1.0,-11.87,3.95,414815.9563
1963,300582.SZ,英飞特,半导体,1.0,-11.87,15.16,180984.6932
1149,002689.SZ,远大智能,运输设备,2.0,-11.78,5.22,543308.3057
2691,600677.SH,航天通信,通信设备,1.0,-11.78,15.18,632137.8345
2052,300674.SZ,宇信科技,软件服务,2.0,-11.63,35.66,142675.66
1711,300324.SZ,旋极信息,软件服务,1.0,-11.28,7.32,758997.2909
1715,300328.SZ,宜安科技,铝,2.0,-11.19,10.1,414385.224
3060,601619.SH,嘉泽新能,新型电力,1.0,-11.15,5.51,277568.8331
2100,300724.SZ,捷佳伟创,专用机械,3.0,-11.13,37.0,296000.0
802,002341.SZ,新纶科技,化工原料,2.0,-10.98,11.81,738381.0006
3465,603728.SH,鸣志电器,电气设备,2.0,-10.89,14.04,246767.04
912,002451.SZ,摩恩电气,电气设备,3.0,-10.81,13.95,580877.5815
1661,300274.SZ,阳光电源,电气设备,1.0,-10.46,11.71,1248201.8648
2893,600895.SH,张江高科,园区开发,1.0,-10.42,19.15,2965740.4883
3198,603099.SH,长白山,旅游景点,1.0,-10.39,10.09,269070.03
2545,600509.SH,天富能源,火力发电,2.0,-10.38,4.76,431111.5749
749,002288.SZ,超华科技,元器件,1.0,-10.36,5.81,464968.4214
1052,002592.SZ,八菱科技,汽车配件,2.0,-10.33,19.8,486541.4499
1367,002925.SZ,盈趣科技,元器件,1.0,-10.19,55.88,930516.9172
1216,002761.SZ,多喜爱,纺织,2.0,-10.18,17.28,350700.0468
1465,300077.SZ,国民技术,半导体,2.0,-10.14,8.54,461964.2118
907,002446.SZ,盛路通信,通信设备,1.0,-10.06,9.5,513541.3775
1239,002786.SZ,银宝山新,专用机械,1.0,-9.95,10.15,386958.6
2337,600240.SH,华业资本,全国地产,2.0,-9.91,3.53,502761.5208
2610,600584.SH,长电科技,半导体,1.0,-9.91,13.75,1424382.8651
1637,300250.SZ,初灵信息,软件服务,1.0,-9.9,15.38,213773.2857
1960,300579.SZ,数字认证,软件服务,1.0,-9.85,33.15,159205.9149
1842,300457.SZ,赢合科技,专用机械,2.0,-9.74,28.8,546476.0774
124,000531.SZ,穗恒运A,火力发电,2.0,-9.66,7.57,518606.1035
2003,300624.SZ,万兴科技,软件服务,2.0,-9.62,61.9,300338.7381
1485,300097.SZ,智云股份,电器仪表,3.0,-9.49,14.5,292673.8609
166,000586.SZ,汇源通信,通信设备,1.0,-9.32,11.95,231160.8
1652,300265.SZ,通光线缆,电气设备,1.0,-9.27,9.53,320931.9703
1516,300128.SZ,锦富技术,元器件,2.0,-9.25,5.09,542449.7911
1484,300096.SZ,易联众,软件服务,1.0,-9.18,11.57,435636.0454
1650,300263.SZ,隆华科技,专用机械,3.0,-9.15,5.71,322755.6915
1778,300393.SZ,中来股份,塑料,1.0,-9.14,21.21,255745.2275
2253,600146.SH,商赢环球,服饰,2.0,-9.0,7.79,155800.0
1112,002652.SZ,扬子新材,其他建材,2.0,-8.92,5.08,258839.5128
2663,600643.SH,爱建集团,多元金融,2.0,-8.91,12.81,1837029.0359
2169,600053.SH,九鼎投资,多元金融,1.0,-8.9,27.33,1184867.0064
272,000727.SZ,华东科技,元器件,3.0,-8.87,2.65,776623.5636
2829,600825.SH,新华传媒,出版业,1.0,-8.82,6.57,686491.3175
1468,300080.SZ,易成新能,半导体,1.0,-8.78,6.67,334825.0755
283,000750.SZ,国海证券,证券,2.0,-8.77,5.87,2474521.1564
1925,300541.SZ,先进数通,软件服务,1.0,-8.74,16.43,124317.1005
3003,601208.SH,东材科技,化工原料,3.0,-8.74,5.6,350896.56
3033,601377.SH,兴业证券,证券,2.0,-8.73,7.06,4727850.2018
1864,300479.SZ,神思电子,软件服务,2.0,-8.7,17.5,280000.0
464,002002.SZ,鸿达兴业,化工原料,2.0,-8.59,4.87,1241439.1103
2792,600783.SH,鲁信创投,矿物制品,1.0,-8.57,23.46,1746266.9037
2709,600695.SH,绿庭投资,多元金融,1.0,-8.47,6.1,223544.9627
591,002129.SZ,中环股份,半导体,3.0,-8.45,9.78,2586063.2637
2582,600552.SH,凯盛科技,玻璃,3.0,-8.45,6.26,478191.3859
1245,002792.SZ,通宇通讯,通信设备,1.0,-8.4,35.3,249621.4684
1994,300615.SZ,欣天科技,元器件,1.0,-8.37,20.84,84026.88
2302,600201.SH,生物股份,生物制药,2.0,-8.37,16.16,1820004.2295
3262,603232.SH,格尔软件,软件服务,2.0,-8.37,32.27,165125.59
2057,300679.SZ,电连技术,元器件,1.0,-8.36,36.78,371548.2388
1710,300323.SZ,华灿光电,半导体,1.0,-8.32,8.61,604778.1234
917,002456.SZ,欧菲科技,元器件,1.0,-8.29,14.2,3788408.1409
1422,300033.SZ,同花顺,软件服务,2.0,-8.27,82.53,2181287.3276
3470,603738.SH,泰晶科技,元器件,3.0,-8.26,15.92,93554.9642
2840,600837.SH,海通证券,证券,2.0,-8.24,13.07,10576415.4523
1130,002670.SZ,国盛金控,证券,2.0,-8.22,13.4,841085.7703
122,000529.SZ,广弘控股,食品,2.0,-8.21,6.28,357887.3888
1866,300481.SZ,濮阳惠成,化工原料,2.0,-8.13,16.48,419160.7248
1035,002575.SZ,群兴玩具,文教休闲,1.0,-8.11,9.83,578711.76
586,002124.SZ,天邦股份,饲料,1.0,-8.07,12.22,1293476.525
1743,300356.SZ,光一科技,电气设备,2.0,-8.07,7.86,289855.0058
2485,600421.SH,ST仰帆,机械基件,2.0,-8.06,8.89,173888.4
1784,300399.SZ,京天利,互联网,2.0,-8.06,11.39,152688.9446
647,002185.SZ,华天科技,半导体,1.0,-8.05,5.54,1180263.1595
2383,600297.SH,广汇汽车,汽车服务,1.0,-8.05,5.03,4079481.7803
2260,600155.SH,华创阳安,证券,2.0,-8.02,10.07,1136139.8884
3240,603186.SH,华正新材,元器件,0.0,-8.01,27.87,205448.6185
1762,300377.SZ,赢时胜,软件服务,2.0,-7.99,15.3,784411.2661
3078,601788.SH,光大证券,证券,1.0,-7.97,13.65,5332643.9152
740,002279.SZ,久其软件,软件服务,2.0,-7.96,8.05,481725.4685
2181,600066.SH,宇通客车,汽车整车,1.0,-7.93,14.05,3110584.6083
3041,601555.SH,东吴证券,证券,2.0,-7.92,9.45,2731995.0
502,002040.SZ,南京港,港口,1.0,-7.91,10.42,319632.1933
910,002449.SZ,国星光电,半导体,1.0,-7.91,13.06,793404.4345
2129,300757.SZ,罗博特科,专用机械,2.0,-7.88,70.99,141980.0
2944,600999.SH,招商证券,证券,2.0,-7.88,18.06,8856081.3096
1974,300593.SZ,新雷能,电气设备,3.0,-7.87,21.28,142385.1482
2863,600864.SH,哈投股份,证券,2.0,-7.84,5.99,945412.0944
3502,603822.SH,嘉澳环保,环境保护,2.0,-7.84,33.19,134767.7793
1996,300617.SZ,安靠智电,电气设备,1.0,-7.82,24.2,88826.1
1167,002708.SZ,光洋股份,汽车配件,1.0,-7.81,9.25,344375.7508
3039,601518.SH,吉林高速,路桥,1.0,-7.74,3.11,377305.2
1133,002673.SZ,西部证券,证券,2.0,-7.72,10.64,3725957.5153
3097,601878.SH,浙商证券,证券,2.0,-7.71,10.57,1277393.2107
207,000636.SZ,风华高科,元器件,1.0,-7.71,14.1,1262236.3865
1117,002657.SZ,中科金财,软件服务,2.0,-7.7,17.8,491983.3083
849,002388.SZ,新亚制程,元器件,1.0,-7.65,5.57,222577.2
632,002170.SZ,芭田股份,农药化肥,1.0,-7.64,4.23,276908.6025
1249,002797.SZ,第一创业,证券,2.0,-7.57,7.65,1467613.4957
3573,603976.SH,正川股份,医疗保健,3.0,-7.55,18.2,69705.8872
698,002236.SZ,大华股份,电器仪表,1.0,-7.54,16.49,3024775.7884
2025,300647.SZ,超频三,元器件,2.0,-7.54,17.08,133790.202
562,002100.SZ,天康生物,饲料,2.0,-7.53,7.29,702322.2516
3069,601688.SH,华泰证券,证券,2.0,-7.5,23.76,12934286.1331
3203,603106.SH,恒银金融,电脑设备,2.0,-7.45,12.73,165935.55
3004,601211.SH,国泰君安,证券,2.0,-7.45,20.01,15039746.9454
1057,002597.SZ,金禾实业,化工原料,1.0,-7.44,16.95,939115.267
60,000100.SZ,TCL集团,家用电器,1.0,-7.43,3.45,4411784.1166
1971,300590.SZ,移为通信,通信设备,3.0,-7.41,34.69,336493.0
1073,002613.SZ,北玻股份,专用机械,1.0,-7.41,3.3,207764.8264
719,002258.SZ,利尔化学,农药化肥,2.0,-7.41,15.63,817358.3194
750,002289.SZ,宇顺电子,元器件,2.0,-7.39,7.19,186462.0505
2934,600986.SH,科达股份,互联网,1.0,-7.36,5.33,677894.9254
3293,603319.SH,湘油泵,汽车配件,1.0,-7.33,23.2,131498.2589
2157,600030.SH,中信证券,证券,2.0,-7.31,24.49,24036106.5033
298,000776.SZ,广发证券,证券,2.0,-7.3,17.06,10098311.2376
3000,601198.SH,东兴证券,证券,2.0,-7.3,13.59,3748068.5329
3189,603081.SH,大丰实业,专用机械,1.0,-7.28,16.15,125527.8938
1027,002567.SZ,唐人神,饲料,2.0,-7.22,9.17,694356.1973
2285,600183.SH,生益科技,元器件,1.0,-7.21,11.99,2538871.6011
1051,002591.SZ,恒大高新,化工原料,1.0,-7.2,7.61,138419.1811
3491,603803.SH,瑞斯康达,通信设备,1.0,-7.18,12.58,276497.7724
1100,002640.SZ,跨境通,服饰,2.0,-7.17,11.77,1200398.4222
222,000666.SZ,经纬纺机,纺织机械,2.0,-7.16,14.68,430885.5485
3503,603823.SH,百合花,染料涂料,1.0,-7.09,17.06,120005.4702
1639,300252.SZ,金信诺,电气设备,2.0,-6.98,14.04,549132.2048
2655,600635.SH,大众公用,供气供热,1.0,-6.97,6.15,1487556.8801
1402,300013.SZ,新宁物流,仓储物流,1.0,-6.94,14.03,382581.4534
3038,601515.SH,东风股份,广告包装,2.0,-6.9,9.34,1038608.0
85,000416.SZ,民生控股,多元金融,2.0,-6.9,5.53,293997.5272
304,000783.SZ,长江证券,证券,2.0,-6.89,7.35,4064112.1113
1548,300160.SZ,秀强股份,玻璃,2.0,-6.87,4.29,254376.5895
1503,300115.SZ,长盈精密,元器件,1.0,-6.84,11.55,1045953.9113
3107,601901.SH,方正证券,证券,2.0,-6.8,7.73,6363414.3783
3371,603558.SH,健盛集团,纺织,2.0,-6.78,10.36,321414.5369
