,ts_code,symbol,name,industry,COL_MA_5,COL_MA_10,COL_MA_20,COL_LASTPRICE,concept
0,300116.SZ,300116,坚瑞沃能,电气设备,2.09,2.06,2.01,1.9,"锂电池, 新能源汽车, 低价股, "
1,000982.SZ,000982,*ST中绒,纺织,2.25,2.22,1.97,2.04,"纺织服装, 低价股, ST股, 宁夏, "
2,002505.SZ,002505,大康农业,农业综合,2.44,2.36,2.3,2.1,"阿里巴巴概念股, 养猪, 业绩预增, 食品, 乳业（奶粉）, 高质押率, 低价股, "
3,600186.SH,600186,莲花健康,食品,2.2,2.15,2.14,2.13,"调味品, 食品, 低价股, 壳公司, "
4,600691.SH,600691,阳煤化工,农药化肥,3.36,3.26,3.23,2.95,"甲醇, 煤化工, 化肥, 山西国企改革, "
5,600863.SH,600863,内蒙华电,火力发电,3.26,3.2,3.07,3.2,"火电, MSCI, 内蒙古, 电改, 央企改革, 业绩预增, 风电, 低价股, "
6,002147.SZ,002147,ST新光,区域地产,3.49,3.46,3.38,3.26,"破净股, 债转股-AMC, 高质押率, 房地产, 共享经济, 资产重组, ST股, "
7,600966.SH,600966,博汇纸业,造纸,4.01,3.92,3.86,3.72,"破净股, 造纸, "
8,600393.SH,600393,粤泰股份,全国地产,4.03,3.88,3.47,3.89,"粤港澳大湾区, 高质押率, 房地产, 低价股, "
9,000868.SZ,000868,*ST安凯,汽车整车,3.94,3.89,3.79,3.92,"新能源整车, 汽车整车, 安徽国企改革, 无人驾驶, 定增破发, PPP, 新能源汽车, "
10,300152.SZ,300152,科融环境,环境保护,4.39,3.92,3.48,4.06,"固废处理, 雄安-园林环保, 大气治理, 环保, 雄安新区, 污水处理, "
11,600175.SH,600175,美都能源,综合类,4.36,3.77,3.26,4.19,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
12,001896.SZ,001896,豫能控股,火力发电,4.82,4.51,4.3,4.21,"火电, 电改, 破净股, 风电, 定增破发, "
13,600759.SH,600759,洲际油气,石油开采,4.6,4.56,4.06,4.29,"油服, 油气改革, 海南自由贸易港, 互联网金融, 自贸区, 自由贸易港, 资产重组, 海南, "
14,600246.SH,600246,万通地产,区域地产,4.75,4.73,4.64,4.35,"高质押率, 房地产, 锂电池, 新能源汽车, 京津冀, "
15,600853.SH,600853,龙建股份,建筑施工,5.11,5.0,4.82,4.35,"振兴东北, 大基建, PPP, "
16,600868.SH,600868,梅雁吉祥,水力发电,5.24,5.13,4.74,4.46,"有色-锑, 有色金属, 粤港澳大湾区, 恒大概念股, 举牌股, 股权争夺, "
17,300198.SZ,300198,纳川股份,塑料,4.91,4.8,4.47,4.56,"核电, 地下管廊, 海绵城市, 锂电池, PPP, 新能源汽车, 共享经济, "
18,002329.SZ,002329,皇氏集团,乳制品,4.76,4.75,4.66,4.6,"二胎, 教育, 食品, 乳业（奶粉）, 万达系, 广西, 影视, 知识产权, 动漫, "
19,600248.SH,600248,延长化建,建筑施工,5.5,5.38,5.17,4.92,"中科院系, 大基建, 资产重组, "
20,002666.SZ,002666,德联集团,化工原料,5.91,5.64,5.41,5.09,"蔚来汽车概念股, "
21,000716.SZ,000716,黑芝麻,食品,5.42,5.41,5.31,5.16,"食品, 休闲食品, 锂电池, 新能源汽车, 广西, "
22,300158.SZ,300158,振东制药,中成药,5.55,5.51,5.35,5.19,"破净股, 保健品, 食品, 医药, 中药, 创新药, 化学药, "
23,002436.SZ,002436,兴森科技,元器件,5.7,5.69,5.56,5.2,"PCB板, 互联网金融, 半导体, 国资入股, "
24,600110.SH,600110,诺德股份,电气设备,5.56,5.49,5.28,5.28,"中科院系, 宁德时代概念股, "
