,ts_code,name,industry,COL_LASTPRICE,concept,circ_mv
0,002385.SZ,大北农,饲料,6.78,"MSCI, 新进指数成份股, 转基因, 回购, 饲料, 养猪, 互联网金融, 农业种植, 国资入股, 人造肉, ",181.39亿
1,600175.SH,美都能源,综合类,3.29,"油气改革, 天然气, 石油化工, 高质押率, 锂电池, 燃料电池, 互联网金融, 新能源汽车, 石墨烯, 充电桩, 强势人气股, ",80.64亿
2,603609.SH,禾丰牧业,饲料,12.39,"饲料, 养猪, ",102.98亿
3,603617.SH,君禾股份,专用机械,22.1,,6.73亿
4,603906.SH,龙蟠科技,化工原料,11.46,"社保重仓, 石油化工, ",10.7亿
5,603226.SH,菲林格尔,家居用品,22.05,"家具家居, ",8.4亿
6,603806.SH,福斯特,塑料,36.2,"光伏, ",189.18亿
7,603637.SH,镇海股份,建筑施工,18.62,"大气治理, 环保, 举牌股, 股权争夺, ",8.05亿
8,002311.SZ,海大集团,饲料,30.08,"MSCI, 新进指数成份股, 社保重仓, 饲料, 养猪, 供应链金融, ",467.29亿
9,002234.SZ,民和股份,农业综合,32.09,"养鸡, ",61.34亿
10,600529.SH,山东药玻,医疗保健,26.99,"社保重仓, 山东国企改革, 医疗器械, 玻璃, ",97.25亿
11,603886.SH,元祖股份,食品,23.69,"食品, 休闲食品, ",28.71亿
12,002260.SZ,*ST德奥,航空,3.15,"通用航空, 农机, 小家电, 家电, ST股, 壳公司, ",
13,000596.SZ,古井贡酒,白酒,109.1,"高价股, MSCI, 安徽国企改革, 白酒, ",418.51亿
14,601588.SH,北辰实业,区域地产,3.86,"北京城市规划, 房地产, 京津冀, ",102.68亿
15,002695.SZ,煌上煌,食品,13.75,"食品, 休闲食品, ",62.35亿
16,600779.SH,水井坊,白酒,46.9,"MSCI, 新进指数成份股, 白酒, 业绩预增, ",229.13亿
17,002140.SZ,东华科技,建筑施工,8.99,"高股息, 固废处理, 国家队重仓, 央企改革, 供应链金融, 雄安-公共服务, 环保, 雄安新区, VR&AR, ",39.52亿
18,300633.SZ,开立医疗,医疗保健,28.99,"医疗器械, ",56.98亿
19,002411.SZ,延安必康,化学制药,19.6,"高质押率, 医药, 中药, 化学药, 锂电池, 新能源汽车, 股权转让, 国资入股, ",292.69亿
20,603368.SH,柳药股份,医药商业,34.81,"医药商业, 回购, 医药, 中药, 互联网医疗, 广西, ",90.18亿
21,000568.SZ,泸州老窖,白酒,70.65,"MSCI, 白酒, ",1031.56亿
22,600769.SH,祥龙电业,建筑施工,5.2,"电改, ",19.5亿
23,600070.SH,浙江富润,纺织,8.66,"华为产业链, 回购, 大数据, 印染, 独角兽, ",34.77亿
24,300628.SZ,亿联网络,通信设备,95.6,"高价股, MSCI, 社保重仓, 云计算, 高送转, ",71.39亿
25,300285.SZ,国瓷材料,陶瓷,15.72,"有色-锆, 被动元件, 有色金属, 业绩预增, 高送转-填权, 医疗器械, 年报季报, ",108.26亿
26,002727.SZ,一心堂,医药商业,28.35,"医药商业, 医药, 医疗信息化, ",82.86亿
27,000715.SZ,中兴商业,百货,9.37,"新零售, 股权转让, ",
28,600011.SH,华能国际,火力发电,6.54,"火电, 高股息, 白马股, MSCI, 电改, 央企改革, 风电, ",686.7亿
29,002690.SZ,美亚光电,专用机械,26.15,"社保重仓, 智能制造, 医疗器械, 机器视觉, ",85.69亿
30,600993.SH,马应龙,中成药,16.53,"民营医院, 医药, 中药, 基因测序, ",71.12亿
31,002595.SZ,豪迈科技,专用机械,20.52,"轮胎, ",108.15亿
32,603703.SH,盛洋科技,通信设备,11.5,"量子通信, LED, ",12.53亿
33,600682.SH,南京新百,百货,12.85,"健康中国, 养老产业, 定增破发, 高质押率, 医药, 创新药, 精准医疗, ",128.77亿
34,002895.SZ,川恒股份,化工原料,13.35,"高质押率, 磷化工, ",11.89亿
35,000999.SZ,华润三九,中成药,26.65,"高股息, MSCI, 央企改革, 社保重仓, 业绩预增, 保健品, 食品, 医药, 中药, 流感, ",260.74亿
36,603658.SH,安图生物,医疗保健,62.6,"医疗器械, 体外诊断, ",85.47亿
