,trade_date,ts_code,name,close,pct_change,net_amount,amount_rate,float_values,reason,buy_sell_rate,amount_in_values
0,20200113,002973.SZ,侨银环保,13.32,9.9917,5138950.0,102.01,544654800.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,48.68,0.01
1,20200113,002971.SZ,和远气体,15.58,43.9926,2263191.0,105.65,623200000.0,无价格涨跌幅限制的证券,16.7,0.0
2,20200113,300811.SZ,铂科新材,89.05,10.0062,34647092.0,83.76,1282320000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,38.17,0.03
3,20200113,002866.SZ,传艺科技,19.03,10.0,80451244.0,26.41,1534301171.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.06,0.05
4,20200113,603138.SH,海量数据,23.16,10.0238,51574462.0,24.64,1554866980.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.87,0.03
5,20200113,603776.SH,永安行,19.72,9.9833,11016696.0,74.2,2366631453.0,单只标的证券的当日融资买入数量达到当日该证券总交易量的50％以上,,0.0
6,20200113,603901.SH,永创智能,12.82,10.0429,10073570.0,58.61,2863847313.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.24,0.0
7,20200113,300623.SZ,捷捷微电,31.24,10.0,76432376.0,32.73,3776302977.0,日涨幅偏离值达到7%的前五只证券,1.35,0.02
8,20200113,603826.SH,坤彩科技,20.68,10.0,57255213.0,39.19,3917982588.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.73,0.01
9,20200113,600890.SH,中房股份,7.22,10.061,11348295.0,74.05,4181787358.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.35,0.0
10,20200113,000417.SZ,合肥百货,5.61,10.0,4616427.0,22.09,4370344000.0,日涨幅偏离值达到7%的前五只证券,0.2,0.0
11,20200113,000700.SZ,模塑科技,6.52,9.9494,37145088.0,13.51,4676216691.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.39,0.01
12,20200113,000700.SZ,模塑科技,6.52,9.9494,39861958.0,18.86,4676216691.0,日涨幅偏离值达到7%的前五只证券,0.8,0.01
13,20200113,300409.SZ,道氏技术,15.37,10.0215,69439189.0,40.71,4845152051.0,日涨幅偏离值达到7%的前五只证券,1.78,0.01
14,20200113,300552.SZ,万集科技,111.63,10.002,22185319.0,35.12,5275464345.0,日涨幅偏离值达到7%的前五只证券,0.44,0.0
15,20200113,002235.SZ,安妮股份,11.36,9.971,126614318.0,10.67,6128245174.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.99,0.02
16,20200113,002235.SZ,安妮股份,11.36,9.971,62745250.0,16.1,6128245174.0,日涨幅偏离值达到7%的前五只证券,0.65,0.01
17,20200113,002277.SZ,友阿股份,4.51,10.0,16601384.0,14.1,6287719328.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.2,0.0
18,20200113,688012.SH,中微公司,134.0,16.0173,31832500.0,24.71,6489160782.0,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,0.39,0.0
19,20200113,000875.SZ,吉电股份,3.86,9.9715,56478310.0,32.35,8284688297.0,日涨幅偏离值达到7%的前五只证券,1.38,0.01
20,20200113,002291.SZ,星期六,26.07,10.0,112267249.0,18.38,10399893802.0,日涨幅偏离值达到7%的前五只证券,1.1,0.01
21,20200113,002131.SZ,利欧股份,3.16,10.1045,162278742.0,30.39,17087309247.0,日涨幅偏离值达到7%的前五只证券,1.14,0.01
22,20200113,002373.SZ,千方科技,22.09,10.01,25018044.0,30.33,21060632662.0,日涨幅偏离值达到7%的前五只证券,0.13,0.0
23,20200113,002594.SZ,比亚迪,51.61,9.9957,98358401.0,38.1,58869546930.0,日涨幅偏离值达到7%的前五只证券,0.21,0.0
24,20200113,603160.SH,汇顶科技,260.27,9.9996,216884823.0,39.5,116821559386.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.28,0.0
