,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT_5,COL_LOCAL_LIMIT_COUNT_10,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002610.SZ,002610,爱康科技,电气设备,2.06,0.0,1.0,2.0,90.36,中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金,1.0
1,601880.SH,601880,大连港,港口,2.09,8.0,0.0,1.0,161.68,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",2.0
2,300064.SZ,300064,豫金刚石,矿物制品,2.1,7.0,0.0,2.0,13.41,香港中央结算有限公司(陆股通),1.0
3,600691.SH,600691,阳煤化工,农药化肥,2.11,7.0,0.0,1.0,37.06,云南国际信托有限公司-源盛恒瑞21号集合资金信托计划,1.0
4,600317.SH,600317,营口港,港口,2.67,9.0,0.0,1.0,172.83,"广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
嘉实基金-农业银行-嘉实中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
中央汇金资产管理有限责任公司",12.0
5,002305.SZ,002305,南国置业,区域地产,2.68,8.0,0.0,1.0,46.44,"东吴基金-上海银行-东吴鼎利6020号资产管理计划
东吴基金-上海银行-渤海国际信托股份有限公司",2.0
6,002263.SZ,002263,大东南,塑料,2.7,7.0,0.0,1.0,50.71,,0.0
7,600467.SH,600467,好当家,渔业,2.8,8.0,0.0,1.0,40.91,长安国际信托股份有限公司-银帆3期(长安投资78号)集合资金信托计划,1.0
8,000659.SZ,000659,珠海中富,广告包装,2.85,1.0,1.0,1.0,36.64,,0.0
9,000005.SZ,000005,世纪星源,环境保护,2.94,8.0,0.0,1.0,31.1,上海泽添资产管理中心(有限合伙)-泽熙投资基金1号私募投资基金,1.0
10,600393.SH,600393,粤泰股份,全国地产,3.0,8.0,0.0,1.0,29.65,"锐懿资产-宁波银行-山东信托-山东信托恒赢19号集合资金信托计划
万家共赢-宁波银行-山东信托-山东信托恒赢18号集合资金信托计划
云南国际信托有限公司-粤泰股份第二期员工持股计划集合资金信托计划",3.0
11,600558.SH,600558,大西洋,钢加工,3.2,7.0,0.0,1.0,28.72,中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金,1.0
12,600567.SH,600567,山鹰纸业,造纸,3.23,3.0,1.0,1.0,148.44,"山鹰国际控股股份公司-创享激励基金合伙人第一期持股计划
新华信托股份有限公司-新华信托华睿系列·金沙2号证券投资集合资金信托计划
香港中央结算有限公司(陆股通)",3.0
13,300108.SZ,300108,吉药控股,中成药,3.27,1.0,2.0,2.0,14.5,"上海国药股权投资基金合伙企业(有限合伙)
吉林省现代农业和新兴产业投资基金有限公司
汇安基金-浦发银行-江海证券有限公司",3.0
14,002622.SZ,002622,融钰集团,综合类,3.48,1.0,2.0,2.0,29.23,"创隆资产管理有限公司
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣78号证券投资集合资金信托计划",2.0
15,600208.SH,600208,新湖中宝,全国地产,3.49,8.0,0.0,1.0,300.08,"华澳国际信托有限公司-华澳·臻智56号-新湖中宝员工持股计划集合资金信托计划
香港中央结算有限公司(陆股通)",2.0
16,002141.SZ,002141,贤丰控股,元器件,3.51,3.0,1.0,2.0,22.34,"深圳市前海建泓时代资产管理有限公司-建泓盈富二号投资基金
中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划",2.0
17,300309.SZ,300309,吉艾科技,多元金融,3.51,7.0,0.0,1.0,26.91,,0.0
