,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LASTPRICE,concept,circ_mv
0,300782.SZ,300782,卓胜微,元器件,10.0,131.79,,32.95亿
1,603863.SH,603863,松炀资源,造纸,7.0,27.93,,14.38亿
2,603797.SH,603797,联泰环保,环境保护,4.0,16.4,"粤港澳大湾区, 环保, 污水处理, ",12.25亿
3,300648.SZ,300648,星云股份,电器仪表,4.0,25.06,"华为产业链, 宁德时代概念股, 储能, 锂电池, 燃料电池, 新能源汽车, ",15.05亿
4,603867.SH,603867,N新化,化工原料,3.0,31.23,,10.93亿
5,600968.SH,600968,海油发展,石油开采,3.0,4.3,,80.2亿
6,002645.SZ,002645,华宏科技,专用机械,3.0,8.83,"稀土磁材, 垃圾分类, ",
7,300403.SZ,300403,汉宇集团,家用电器,2.0,6.78,"供应链金融, 厨卫家电, 家电, 智能制造, 新能源汽车, 机器人, 充电桩, ",25.83亿
8,300565.SZ,300565,科信技术,通信设备,2.0,18.24,"5G, 光通信, ",13.1亿
9,300545.SZ,300545,联得装备,专用机械,2.0,28.83,"OLED, 华为产业链, 工业自动化, 智能制造, 强势人气股, ",14.0亿
10,300526.SZ,300526,中潜股份,专用机械,2.0,17.66,"纺织服装, 智能制造, 机器人, 体育产业, ",10.61亿
11,002915.SZ,002915,中欣氟材,化工原料,2.0,26.49,,9.1亿
12,002653.SZ,002653,海思科,化学制药,2.0,17.18,"回购, 医药, 创新药, 化学药, 医疗器械, 西藏, ",78.23亿
13,300040.SZ,300040,九洲电气,电气设备,1.0,6.94,"风电, 光伏, 储能, 新能源汽车, 充电桩, ",16.29亿
14,002611.SZ,002611,东方精工,轻工机械,1.0,4.3,"北汽新能源, 宁德时代概念股, 锂电池, 燃料电池, 新能源汽车, 包装印刷, ",47.77亿
15,000812.SZ,000812,陕西金叶,广告包装,1.0,4.73,"教育, 信托, 包装印刷, ",31.71亿
16,002204.SZ,002204,大连重工,专用机械,1.0,4.08,"振兴东北, 航母, 破净股, ",78.8亿
17,603698.SH,603698,航天工程,专用机械,1.0,13.97,"国家队重仓, 央企改革, 军工研究所, 军工, ",74.88亿
18,603197.SH,603197,保隆科技,汽车配件,1.0,21.35,"特斯拉, 蔚来汽车概念股, 汽车零部件, ",21.01亿
19,002274.SZ,002274,华昌化工,农药化肥,1.0,7.54,"甲醇, 纯碱, 业绩预增, 化肥, 燃料电池, 高送转-填权, 科创板概念股, ",70.73亿
20,600599.SH,600599,熊猫金控,多元金融,1.0,16.89,"光伏, 互联网金融, 资产重组, ",28.04亿
21,600095.SH,600095,哈高科,区域地产,1.0,6.18,"雄安-园林环保, 雄安新区, 壳公司, 人造肉, ",22.33亿
22,300738.SZ,300738,奥飞数据,电信运营,1.0,29.73,"高送转-预期, 业绩预增, 网络安全, 高送转-填权, 大数据, 云计算, ",17.91亿
23,300157.SZ,300157,恒泰艾普,石油开采,1.0,5.64,"油服, 油气改革, 可燃冰, 回购, 破净股, 页岩气, 天然气, 雄安-公共服务, 燃料电池, 雄安新区, 大数据, 地热, 创投, ",33.57亿
24,002650.SZ,002650,加加食品,食品,1.0,4.27,"调味品, 食品, 资产重组, ",40.44亿
25,002858.SZ,002858,力盛赛车,文教休闲,1.0,21.44,"体育产业, ",13.22亿
26,300543.SZ,300543,朗科智能,电气设备,1.0,23.25,"锂电池, 新能源汽车, ",9.9亿
27,300527.SZ,300527,中国应急,专用机械,1.0,12.4,"南北船合并, 中字头, 央企改革, 军工研究所, 核电, 回购, 军工, 军民融合, ",31.45亿
28,000655.SZ,000655,金岭矿业,普钢,1.0,7.36,"山东国企改革, 铁矿石, 股权转让, ST摘帽, ",43.82亿
29,300516.SZ,300516,久之洋,电器仪表,1.0,27.35,"军工研究所, 军工, 军民融合, 高送转, 智慧安防, ",49.23亿
30,000038.SZ,000038,深大通,广告包装,1.0,8.2,"高质押率, 区块链, 国资入股, 工业大麻, ",15.98亿
