,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,301012.SZ,301012,N扬电,电气设备,48.85,1.0,51.0,151.0,9.73,,0.0
1,688425.SH,688425,N铁建重,专用机械,8.22,1.0,19.0,119.0,86.23,,0.0
2,688517.SH,688517,金冠电气,电气设备,16.64,2.0,11.0,111.0,5.15,,0.0
3,600905.SH,600905,三峡能源,新型电力,7.26,3.0,10.0,110.0,504.53,,0.0
4,603529.SH,603529,爱玛科技,摩托车,64.6,3.0,9.0,109.0,41.99,,0.0
5,601665.SH,601665,齐鲁银行,银行,9.34,3.0,6.0,106.0,42.78,,0.0
6,002767.SZ,002767,先锋电子,电器仪表,18.79,3.0,6.0,106.0,23.5,,0.0
7,000982.SZ,000982,中银绒业,纺织,2.81,2.0,3.0,103.0,119.76,北京中融鼎新投资管理有限公司-中融鼎新-天平1号基金,1.0
8,601567.SH,601567,三星医疗,电器仪表,20.48,2.0,3.0,103.0,283.97,"金鹰基金-浦发银行-金鹰穗通定增136号资产管理计划
上海雷根资产管理有限公司-雷根CTA复合策略3号私募基金
上海雷根资产管理有限公司-雷根添宝全天候三号私募证券投资基金",3.0
9,002530.SZ,002530,金财互联,软件服务,11.7,3.0,3.0,103.0,74.52,香港中央结算有限公司(陆股通),1.0
10,600696.SH,600696,岩石股份,区域地产,46.96,2.0,3.0,103.0,157.07,"华宝信托有限责任公司-天高资本20号单一资金信托
五牛股权投资基金管理有限公司",2.0
11,600327.SH,600327,大东方,汽车服务,8.83,2.0,3.0,103.0,78.13,"招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
基本养老保险基金一零零六组合
中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金
上海国际集团资产管理有限公司
中国建设银行股份有限公司-大成中证红利指数证券投资基金
中国银行股份有限公司-易方达中证红利交易型开放式指数证券投资基金
基本养老保险基金一零零五组合",7.0
12,603303.SH,603303,得邦照明,家用电器,15.65,2.0,2.0,102.0,74.64,"中国建设银行股份有限公司-博时军工主题股票型证券投资基金
中国建设银行股份有限公司-博时产业新趋势灵活配置混合型证券投资基金",2.0
13,002772.SZ,002772,众兴菌业,种植业,10.6,2.0,2.0,102.0,27.21,"甘肃资产管理有限公司
安徽省铁路发展基金股份有限公司
安徽中安资本投资基金有限公司",3.0
14,002167.SZ,002167,东方锆业,小金属,7.3,2.0,2.0,102.0,41.48,,0.0
15,002870.SZ,002870,香山股份,汽车配件,32.47,2.0,2.0,102.0,15.72,,0.0
16,600203.SH,600203,福日电子,元器件,10.11,2.0,2.0,102.0,46.15,平安基金-平安银行-平安大华永智1号特定客户资产管理计划,1.0
17,600391.SH,600391,航发科技,航空,21.85,2.0,2.0,102.0,72.13,"中国银行股份有限公司-国投瑞银国家安全灵活配置混合型证券投资基金
招商证券股份有限公司-前海开源中航军工指数型证券投资基金
上海青沣资产管理中心(普通合伙)-青沣有和2期私募证券投资基金",3.0
18,601908.SH,601908,京运通,新型电力,9.43,2.0,2.0,102.0,187.94,"中国银行股份有限公司-华泰柏瑞中证光伏产业交易型开放式指数证券投资基金
上海甄投资产管理有限公司-甄投创鑫40号私募证券投资基金
安徽省铁路发展基金股份有限公司
上海甄投资产管理有限公司-甄投创鑫28号私募证券投资基金
上海甄投资产管理有限公司-甄投创鑫31号私募证券投资基金
中国银河证券股份有限公司-华泰柏瑞中证稀土产业交易型开放式指数证券投资基金",6.0
19,600582.SH,600582,天地科技,工程机械,4.25,2.0,2.0,102.0,175.89,"招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国建设银行股份有限公司-华安幸福生活混合型证券投资基金",4.0
