,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_FLOAT_HOLDERS
0,600075.SH,新疆天业,化工原料,9.9251,5.87,"万家共赢-中信银行-万家共赢安泰1号专项资产管理计划
海富通基金-民生银行-五矿信托-民生保腾投资集合资金信托计划
景顺长城基金-工商银行-景顺长城基金工行500增强资产管理计划
万家共赢-中信银行-万家共赢安泰1号专项资产管理计划
海富通基金-民生银行-五矿信托-民生保腾投资集合资金信托计划
中国银行股份有限公司-华泰柏瑞量化先行混合型证券投资基金"
1,601777.SH,力帆股份,摩托车,9.9338,4.98,
2,601099.SH,太平洋,证券,9.9432,3.87,"陕西省国际信托股份有限公司-陕国投·财富72号单一资金信托
易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
3,600864.SH,哈投股份,证券,9.9698,7.28,"中国华融资产管理股份有限公司
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司"
4,300843.SZ,胜蓝股份,元器件,9.9931,15.85,
5,002960.SZ,青鸟消防,专用机械,10.0,29.15,
6,300294.SZ,博雅生物,生物制药,10.0,45.54,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
北信瑞丰基金-渤海银行-北信瑞丰基金宏瑞2号资产管理计划
香港中央结算有限公司(陆股通)
全国社保基金一一四组合
中意资管-招商银行-中意资产-招商银行-定增精选87号资产管理产品"
7,603429.SH,集友股份,广告包装,10.0089,36.93,
8,601066.SH,中信建投,证券,10.0092,47.7,"香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
中国工商银行-上证50交易型开放式指数证券投资基金
中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金"
9,002769.SZ,普路通,仓储物流,10.0125,8.79,
10,600961.SH,株冶集团,铅锌,10.0154,7.14,
11,600109.SH,国金证券,证券,10.0158,13.95,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
中欧基金-农业银行-中欧中证金融资产管理计划
中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金"
12,600827.SH,百联股份,超市连锁,10.0183,18.01,"全国社保基金一零三组合
中央汇金资产管理有限责任公司
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
13,600999.SH,招商证券,证券,10.0207,26.57,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
14,601519.SH,大智慧,软件服务,10.0225,9.77,
15,000698.SZ,沈阳化工,化工原料,10.0295,3.73,"领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
中央汇金资产管理有限责任公司"
16,000732.SZ,泰禾集团,区域地产,10.0346,6.36,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
17,600918.SH,中泰证券,证券,10.0351,15.68,
18,002958.SZ,青农商行,银行,10.0402,5.48,
19,002500.SZ,山西证券,证券,10.0551,7.99,"山西省科技基金发展有限公司
中吉金投资产管理有限公司-中吉金投-稳赢2号投资基金
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
20,000426.SZ,兴业矿业,铅锌,10.0671,8.2,"北信瑞丰基金-民生银行-四川信托-辰星2号证券投资集合资金信托计划
上海中汇金锐投资管理有限公司-中汇金锐定增2期私募投资基金"
