,ts_code,symbol,name,industry,COL_CHG,COL_ACCUMULATE_ODDS,COL_CIRC_MV
0,601567.SH,601567,三星医疗,电器仪表,33.088235294117666,97.23987999999996,250.97
1,002622.SZ,002622,融钰集团,综合类,57.71971496437054,96.54809999999999,55.77
2,603020.SH,603020,爱普股份,食品,17.549999999999997,93.16147999999997,75.23
3,000718.SZ,000718,苏宁环球,区域地产,21.798029556650267,93.06080999999992,226.4
4,600753.SH,600753,东方银星,商贸代理,54.17445482866044,69.99399999999997,88.69
5,300339.SZ,300339,润和软件,软件服务,45.46159813809154,69.64501000000001,144.65
6,300755.SZ,300755,华致酒行,其他商业,12.038140643623363,69.59843,56.22
7,002759.SZ,002759,天际股份,家用电器,39.65436711816908,69.42596000000005,120.24
8,600327.SH,600327,大东方,汽车服务,47.32334047109206,68.35303000000003,76.09
9,300350.SZ,300350,华鹏飞,仓储物流,9.986504723346833,67.82533000000001,26.57
10,000650.SZ,000650,仁和药业,中成药,14.15432199251181,66.98099999999994,150.57
11,002679.SZ,002679,福建金森,林业,74.84008528784649,66.84903,58.0
12,000158.SZ,000158,常山北明,纺织,24.80719794344475,66.47951999999997,152.79
13,600744.SH,600744,华银电力,火力发电,11.798396334478811,63.34698000000001,80.78
14,002667.SZ,002667,鞍重股份,工程机械,34.8914858096828,62.77105999999997,37.33
15,002709.SZ,002709,天赐材料,化工原料,23.138086403392542,60.508250000000004,600.7
16,002738.SZ,002738,中矿资源,小金属,9.609526446967598,57.77278,102.34
17,300595.SZ,300595,欧普康视,医疗保健,5.571847507331373,57.570129999999985,617.56
18,000799.SZ,000799,酒鬼酒,白酒,4.746175243393602,57.23983999999999,783.08
19,000762.SZ,000762,西藏矿业,小金属,3.123625164980215,57.09118999999998,122.07
20,002612.SZ,002612,朗姿股份,服饰,15.040862458702842,56.59283000000002,172.91
21,300268.SZ,300268,佳沃股份,农业综合,83.47260909935005,55.98455999999998,26.44
22,600095.SH,600095,湘财股份,证券,9.622193340205264,54.762440000000026,57.21
23,300530.SZ,300530,*ST达志,化工原料,26.00985221674876,53.637209999999996,24.77
24,600976.SH,600976,健民集团,中成药,8.16576753310445,50.428420000000024,67.15
25,002386.SZ,002386,天原股份,化工原料,52.91607396870555,49.550450000000026,83.91
26,600963.SH,600963,岳阳林纸,造纸,44.700576296667506,47.68620000000002,166.79
27,300769.SZ,300769,德方纳米,化工原料,5.804349047592305,46.847949999999976,80.62
28,002256.SZ,002256,*ST兆新,新型电力,38.095238095238095,46.57519,40.34
29,300079.SZ,300079,数码视讯,通信设备,46.1916461916462,43.91687999999999,75.36
30,600293.SH,600293,三峡新材,互联网,2.547770700636942,43.71274000000001,37.36
31,300149.SZ,300149,睿智医药,生物制药,-0.34802784222737193,43.202130000000054,69.18
32,300546.SZ,300546,雄帝科技,元器件,16.733755031627375,42.89224,17.36
33,002908.SZ,002908,德生科技,元器件,1.8378378378378413,42.624869999999994,27.83
34,000683.SZ,000683,远兴能源,化工原料,24.079320113314463,42.49260000000002,148.99
35,000663.SZ,000663,*ST永林,林业,31.124807395993837,40.640800000000006,23.85
36,002004.SZ,002004,华邦健康,化学制药,5.547226386806603,38.41885999999999,128.07
37,300736.SZ,300736,百邦科技,通信设备,23.2123212321232,38.22086,14.27
38,300014.SZ,300014,亿纬锂能,电气设备,5.034965034965033,38.11966,1922.02
39,600773.SH,600773,西藏城投,区域地产,2.0900321543408262,37.00632,94.76
40,300518.SZ,300518,盛讯达,软件服务,17.19586157688191,36.97474,33.96
