code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
002694,顾地科技,4.99,-50.119,0.391,-54.303,0.35,
600112,天成控股,5.09,-41.845,0.172,-17.316,0.154,
002188,*ST巴士,2.15,-41.166,0.169,-50.251,0.312,
000820,神雾节能,2.88,-39.315,0.132,-71.642,0.354,
002760,凤形股份,0.72,-38.095,0.13,-31.792,0.21,
002012,凯恩股份,4.67,-36.42,0.196,-31.578,0.198,
002112,三变科技,1.84,-35.893,0.195,-39.404,0.198,
002297,博云新材,3.98,-31.518,0.151,-20.511,0.149,
002178,延华智能,7.1,-30.358,0.088,-38.707,0.262,
000806,银河生物,6.98,-28.009,0.148,-31.245,0.284,
000502,绿景控股,1.83,-26.855,0.089,-3.822,0.14,
000593,大通燃气,2.8,-25.794,0.114,-13.857,0.176,
002606,大连电瓷,4.04,-25.412,0.102,-40.198,0.263,
000633,合金投资,3.85,-25.364,0.114,-37.567,0.294,
000422,*ST宜化,8.98,-25.2,0.08,-12.799,0.135,
600265,ST景谷,1.3,-24.547,0.127,73.539,0.14,
002806,华锋股份,0.58,-23.939,0.104,15.94,0.304,
002278,神开股份,3.44,-23.857,0.144,-36.206,0.237,
000034,神州数码,3.58,-23.837,0.087,-16.095,0.172,
000590,启迪古汉,2.23,-23.08,0.104,-29.147,0.197,
002291,星期六,3.97,-21.661,0.091,-5.745,0.128,
600765,中航重机,7.78,-20.789,0.1,-12.094,0.144,
002684,猛狮科技,3.9,-20.636,0.112,-52.686,0.315,
000506,中润资源,9.29,-20.345,0.067,-52.451,0.428,
000615,京汉股份,6.44,-19.375,0.123,-40.628,0.22,
002508,老板电器,9.35,-19.197,0.11,-45.608,0.227,
000737,*ST南风,5.49,-18.948,0.058,-25.189,0.149,
600891,秋林集团,3.84,-18.484,0.073,-3.501,0.096,
600318,新力金融,4.84,-18.235,0.247,-36.631,0.205,
002598,山东章鼓,2.7,-17.872,0.084,-6.734,0.091,
000019,深深宝Ａ,4.16,-16.839,0.058,-29.073,0.144,
600701,*ST工新,7.76,-16.719,0.074,-72.757,0.492,
000766,通化金马,5.73,-16.359,0.081,-45.592,0.299,
600506,香梨股份,1.48,-16.221,0.067,-34.27,0.189,
002778,高科石化,0.56,-16.129,0.051,-28.814,0.16,
002872,天圣制药,2.11,-15.934,0.046,-53.125,0.451,
002251,步 步 高,8.03,-15.618,0.062,-48.127,0.242,
000662,天夏智慧,3.74,-15.601,0.097,-25.055,0.326,
002069,獐子岛,6.89,-15.39,0.035,-18.378,0.093,
000409,*ST地矿,4.06,-15.261,0.064,-4.318,0.185,
