,industry,count
0,其他建材,1.0
1,元器件,2.0
2,农业综合,1.0
3,综合类,1.0
4,建筑施工,5.0
5,汽车整车,1.0
6,中成药,2.0
7,啤酒,1.0
8,公路,1.0
9,环境保护,3.0
10,专用机械,2.0
11,运输设备,2.0
12,工程机械,1.0
13,区域地产,3.0
14,家用电器,2.0
15,化纤,1.0
16,通信设备,4.0
17,汽车配件,3.0
18,食品,2.0
19,塑料,1.0
20,铜,1.0
21,广告包装,1.0
22,电器仪表,1.0
23,机械基件,4.0
24,电气设备,5.0
25,服饰,2.0
26,装修装饰,2.0
27,生物制药,2.0
28,家居用品,3.0
29,石油加工,1.0
30,电脑设备,1.0
31,全国地产,1.0
32,软件服务,2.0
33,旅游服务,1.0
34,化学制药,1.0
35,影视音像,1.0
36,红黄药酒,1.0
37,钢加工,1.0
38,陶瓷,1.0
39,银行,1.0
40,染料涂料,1.0
41,矿物制品,1.0
42,化工原料,2.0
43,软饮料,1.0
