,ts_code,symbol,name,industry,COL_CHG,COL_LAST_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600906.SH,600906,财达证券,证券,61.176470588235276,9.9771,47.95,,0.0
1,605089.SH,605089,味知香,食品,61.066080505563924,10.0019,29.31,,0.0
2,001203.SZ,001203,大中矿业,普钢,60.94354215003865,9.9894,45.56,,0.0
3,300273.SZ,300273,和佳医疗,医疗保健,46.551724137931046,13.0319,53.36,"深圳德威资本投资管理有限公司-德威资本盛安1号私募证券投资基金
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划",2.0
4,605196.SH,605196,华通线缆,电气设备,46.49243466299864,10.0207,8.09,,0.0
5,300339.SZ,300339,润和软件,软件服务,45.10451045104511,-4.9027,101.76,"香港中央结算有限公司(陆股通)
服务贸易创新发展引导基金(有限合伙)
南京国资混改基金有限公司",3.0
6,600753.SH,600753,东方银星,商贸代理,42.431192660550444,10.0089,44.51,"上海杰宇资产管理有限公司
深圳格律资产管理有限公司-格律连赢1号私募证券投资基金",2.0
7,688662.SH,688662,富信科技,半导体,41.64251207729468,-3.5526,8.82,,0.0
8,601999.SH,601999,出版传媒,出版业,41.47812971342384,9.9648,51.68,中央汇金资产管理有限责任公司,1.0
9,300049.SZ,300049,福瑞股份,医疗保健,37.86764705882353,1.0782,25.92,,0.0
10,603020.SH,603020,爱普股份,食品,37.56030323914543,0.1003,63.87,,0.0
11,300547.SZ,300547,川环科技,橡胶,35.90963139120093,10.9709,21.38,,0.0
12,002289.SZ,002289,宇顺电子,元器件,35.774647887323965,10.0457,25.52,,0.0
13,605300.SH,605300,佳禾食品,食品,35.1113172541744,-0.9184,11.65,,0.0
14,688085.SH,688085,三友医疗,医疗保健,34.481637959051035,8.4666,34.6,"中国银行股份有限公司-广发医疗保健股票型证券投资基金
国泰君安证券资管-建设银行-国泰君安君得鑫两年持有期混合型集合资产管理计划
招商银行股份有限公司-万家经济新动能混合型证券投资基金
招商银行股份有限公司-中欧启航三年持有期混合型证券投资基金
中国邮政储蓄银行有限责任公司-中欧中小盘股票型证券投资基金(LOF)
交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
中国工商银行股份有限公司-中欧创新成长灵活配置混合型证券投资基金
国泰君安证券资管-光大银行-国泰君安君得明混合型集合资产管理计划",8.0
15,600007.SH,600007,中国国贸,园区开发,34.42830069488314,-7.0336,214.35,"易方达基金管理有限公司-社保基金1104组合
香港中央结算有限公司(陆股通)",2.0
