,ts_code,name,industry,continuous_raise,average_p_change,accumulate_p_change,circ_mv
2122,300750.SZ,宁德时代,电气设备,2.0,0.837,2.528,1832885.3753
3490,603806.SH,福斯特,塑料,2.0,2.104,6.412,1717263.6
3233,603179.SH,新泉股份,汽车配件,2.0,1.158,3.503,168300.7467
2736,600725.SH,ST云维,焦炭加工,2.0,1.874,5.668,321674.67
2165,600050.SH,中国联通,电信运营,2.0,1.155,3.472,12633171.4514
1692,300306.SZ,远方信息,电器仪表,2.0,1.025,3.008,125721.6179
1338,002892.SZ,科力尔,电气设备,2.0,2.129,6.441,83564.128
1322,002876.SZ,三利谱,元器件,2.0,1.566,4.755,237353.3848
1311,002864.SZ,盘龙药业,中成药,2.0,3.132,9.572,167158.123
1028,002568.SZ,百润股份,红黄药酒,2.0,2.692,8.25,596623.336
966,002505.SZ,大康农业,农业综合,2.0,2.318,6.977,1009308.4848
855,002394.SZ,联发股份,纺织,2.0,0.6,1.772,353156.7
669,002207.SZ,ST准油,石油开采,2.0,2.215,6.786,127020.7336
3534,603890.SH,春秋电子,机械基件,2.0,0.504,1.518,123009.922
140,000550.SZ,江铃汽车,汽车整车,2.0,2.512,7.622,915023.9374
162,000581.SZ,威孚高科,汽车配件,2.0,0.933,2.823,1675489.452
301,000779.SZ,三毛派神,纺织,2.0,1.066,3.173,175813.8819
2744,600733.SH,北汽蓝谷,汽车整车,3.0,1.085,4.396,339349.5
1651,300265.SZ,通光线缆,电气设备,3.0,1.575,6.431,334402.3573
3088,601858.SH,中国科传,出版业,3.0,1.442,5.775,198882.0
1917,300534.SZ,陇神戎发,中成药,3.0,0.743,2.886,122790.8736
1941,300559.SZ,佳发教育,软件服务,3.0,1.598,6.542,307825.1125
2535,600499.SH,科达洁能,专用机械,3.0,1.091,4.409,735372.9118
927,002466.SZ,天齐锂业,小金属,3.0,1.241,4.985,3852040.3905
2306,600208.SH,新湖中宝,全国地产,3.0,1.92,7.692,2888985.7655
697,002235.SZ,安妮股份,互联网,3.0,1.584,6.316,303197.3318
197,000625.SZ,长安汽车,汽车整车,3.0,1.445,5.861,3260683.8842
1430,300042.SZ,朗科科技,电脑设备,3.0,1.905,7.623,187942.3056
1664,300278.SZ,华昌达,专用机械,3.0,1.984,8.17,163248.568
2966,601069.SH,西部黄金,黄金,3.0,1.779,7.132,936192.0
2571,600539.SH,*ST狮头,水泥,4.0,0.716,3.622,151340.0
2629,600605.SH,汇通能源,商贸代理,4.0,1.229,6.231,153238.3757
2639,600616.SH,金枫酒业,红黄药酒,4.0,1.099,5.579,262970.4071
2460,600388.SH,龙净环保,环境保护,4.0,1.768,9.139,1327760.1
2471,600400.SH,红豆股份,服饰,4.0,0.742,3.733,971082.9306
2463,600391.SH,航发科技,航空,4.0,1.877,9.65,435110.5057
2439,600365.SH,通葡股份,红黄药酒,4.0,1.156,5.852,166400.0
2416,600335.SH,国机汽车,汽车配件,4.0,1.647,8.383,745529.47
2374,600287.SH,江苏舜天,商贸代理,4.0,1.332,6.744,241985.025
2372,600284.SH,浦东建设,建筑施工,4.0,0.673,3.371,535581.312
2366,600278.SH,东方创业,商贸代理,4.0,1.855,9.563,484640.3338
2361,600272.SH,开开实业,中成药,4.0,0.866,4.359,126400.0
2501,600455.SH,博通股份,软件服务,4.0,1.413,7.238,146214.178
2653,600634.SH,*ST富控,互联网,4.0,1.37,6.923,160053.5185
588,002126.SZ,银轮股份,汽车配件,4.0,1.084,5.486,648336.0703
2741,600730.SH,中国高科,综合类,4.0,1.26,6.366,303887.809
3492,603809.SH,豪能股份,汽车配件,4.0,1.01,5.096,130524.072
3464,603729.SH,龙韵股份,广告包装,4.0,1.312,6.63,145607.28
3448,603706.SH,东方环宇,供气供热,4.0,0.736,3.687,99000.0
3402,603616.SH,韩建河山,其他建材,4.0,0.596,2.977,324749.52
3277,603298.SH,杭叉集团,专用机械,4.0,1.703,8.736,237796.3808
147,000558.SZ,莱茵体育,文教休闲,4.0,1.469,7.443,427719.909
3183,603077.SH,和邦生物,化工原料,4.0,1.539,7.831,1580793.7908
3158,603030.SH,全筑股份,装修装饰,4.0,1.734,8.947,331601.3521
2718,600706.SH,曲江文旅,旅游服务,4.0,0.865,4.376,199435.6247
3129,601998.SH,中信银行,银行,4.0,1.018,5.16,18855951.9577
3069,601699.SH,潞安环能,煤炭开采,4.0,0.876,4.371,2285436.6288
3044,601579.SH,会稽山,红黄药酒,4.0,0.732,3.642,375600.0
2987,601155.SH,新城控股,区域地产,4.0,1.138,5.742,7072604.2017
2898,600903.SH,贵州燃气,供气供热,4.0,1.171,5.98,951645.8584
2893,600896.SH,*ST海投,水运,4.0,1.444,7.329,262016.2359
2846,600846.SH,同济科技,综合类,4.0,1.61,8.169,512929.2046
2821,600818.SH,中路股份,文教休闲,4.0,1.609,8.278,270796.1016
2815,600811.SH,东方集团,综合类,4.0,1.251,6.383,1309389.3276
3125,601991.SH,大唐发电,火力发电,4.0,0.514,2.564,3198195.2
2354,600262.SH,北方股份,汽车整车,4.0,1.165,5.872,318750.0
88,000419.SZ,通程控股,百货,4.0,1.437,7.311,247196.9423
2226,600115.SH,东方航空,空运,4.0,1.868,9.608,5482943.4962
946,002485.SZ,希努尔,服饰,4.0,1.339,6.792,402013.1733
948,002487.SZ,大金重工,钢加工,4.0,0.942,4.687,217080.0
817,002356.SZ,赫美集团,其他商业,4.0,1.615,8.263,308313.6961
693,002231.SZ,奥维通信,通信设备,4.0,1.625,8.32,215033.0776
284,000751.SZ,锌业股份,铅锌,4.0,1.127,5.743,441287.8636
1147,002687.SZ,乔治白,服饰,4.0,1.639,8.405,201874.704
1214,002759.SZ,天际股份,家用电器,4.0,1.607,8.18,144275.2833
1279,002829.SZ,星网宇达,通信设备,4.0,1.363,6.949,111649.062
1310,002863.SZ,今飞凯达,汽车配件,4.0,1.228,6.23,123545.562
265,000719.SZ,中原传媒,出版业,4.0,1.283,6.522,588424.1329
579,002117.SZ,东港股份,广告包装,4.0,1.205,6.086,589494.1001
691,002229.SZ,鸿博股份,广告包装,4.0,1.556,7.95,318657.2884
255,000708.SZ,大冶特钢,特种钢,4.0,1.406,7.18,462890.7344
233,000679.SZ,大连友谊,百货,4.0,1.886,9.694,153230.7675
1476,300089.SZ,文化长城,陶瓷,4.0,1.197,6.044,160455.7612
1329,002883.SZ,中设股份,建筑施工,4.0,1.185,6.016,69417.5678
624,002162.SZ,悦心健康,医疗保健,4.0,1.197,6.109,281497.2587
2167,600052.SH,浙江广厦,区域地产,4.0,0.586,2.951,273741.7749
2155,600029.SH,南方航空,空运,4.0,1.76,9.028,5512780.25
2147,600020.SH,中原高速,路桥,4.0,1.896,9.677,993338.3497
3503,603826.SH,坤彩科技,染料涂料,4.0,1.491,7.55,318478.1785
1982,300603.SZ,立昂技术,通信设备,4.0,1.522,7.727,127218.6959
1489,300102.SZ,乾照光电,半导体,4.0,1.756,8.885,476855.5466
1749,300364.SZ,中文在线,出版业,4.0,1.616,8.243,267750.3836
1857,300473.SZ,德尔股份,汽车配件,4.0,0.996,5.047,362432.5305
1546,300159.SZ,新研股份,农用机械,4.0,1.676,8.498,573581.8851
1626,300240.SZ,飞力达,仓储物流,4.0,1.266,6.429,271951.227
1520,300133.SZ,华策影视,影视音像,4.0,1.922,9.824,1035387.4078
343,000833.SZ,粤桂股份,造纸,5.0,0.533,3.213,194336.4338
863,002402.SZ,和而泰,元器件,5.0,1.331,8.108,578192.6648
480,002018.SZ,*ST华信,农药化肥,5.0,1.022,6.25,271061.4632
955,002494.SZ,华斯股份,服饰,5.0,0.78,4.735,163146.081
3285,603309.SH,维力医疗,医疗保健,5.0,0.732,4.451,211200.0
1880,300496.SZ,中科创达,软件服务,5.0,1.245,7.565,747082.8648
2977,601113.SH,华鼎股份,化纤,5.0,0.969,5.949,623121.4
1567,300180.SZ,华峰超纤,化纤,5.0,0.817,4.996,848030.1261
1073,002613.SZ,北玻股份,专用机械,5.0,1.423,8.711,196432.1995
1512,300125.SZ,易世达,电气设备,6.0,1.145,8.25,265372.2798
1351,002907.SZ,华森制药,化学制药,6.0,0.932,6.641,179748.66
225,000669.SZ,金鸿控股,供气供热,6.0,1.247,8.998,357076.1609
3027,601366.SH,利群股份,百货,9.0,0.734,7.529,312093.5116
3151,603022.SH,新通联,广告包装,9.0,0.914,9.477,154800.0
2869,600871.SH,*ST油服,石油开采,10.0,0.39,4.348,2312190.911
2851,600853.SH,龙建股份,建筑施工,10.0,0.863,9.832,209891.7943
1455,300068.SZ,南都电源,电气设备,10.0,0.803,9.137,942174.6904
1013,002553.SZ,南方轴承,汽车配件,10.0,0.768,8.704,137530.696
3107,601918.SH,新集能源,煤炭开采,12.0,0.718,9.655,823792.2924
2661,600642.SH,申能股份,火力发电,12.0,0.418,5.556,2421684.3841
2320,600223.SH,鲁商置业,区域地产,12.0,0.678,9.15,334323.312
