,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600317.SH,600317,营口港,港口,2.9,True,True,"中央汇金资产管理有限责任公司
大成基金-农业银行-大成中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
博时基金-农业银行-博时中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划",12.0
1,601952.SH,601952,苏垦农发,种植业,12.18,True,True,"广发证券股份有限公司-大成睿景灵活配置混合型证券投资基金
平安信托有限责任公司-平安财富.淡水泉成长一期集合资金信托
淡水泉(北京)投资管理有限公司-淡水泉成长基金1期
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-南方品质优选灵活配置混合型证券投资基金
淡水泉(北京)投资管理有限公司-淡水泉成长7期私募基金
中国对外经济贸易信托有限公司-外贸信托-淡水泉精选3期私募证券投资基金
中国对外经济贸易信托有限公司-淡水泉精选1期
平安信托有限责任公司-投资精英之淡水泉",9.0
2,688368.SH,688368,晶丰明源,半导体,107.2,True,True,"中国建设银行股份有限公司-摩根士丹利华鑫卓越成长混合型证券投资基金
中国建设银行股份有限公司-嘉实泰和混合型证券投资基金
交通银行股份有限公司-博时新兴成长混合型证券投资基金
中国银行股份有限公司-嘉实先进制造股票型证券投资基金
中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金
招商银行股份有限公司-嘉实科技创新混合型证券投资基金
中国银行股份有限公司-中金科创主题3年封闭运作灵活配置混合型证券投资基金
中国银行-嘉实增长开放式证券投资基金
中国工商银行股份有限公司-博时科创主题3年封闭运作灵活配置混合型证券投资基金",9.0
3,600415.SH,600415,小商品城,商品城,8.15,True,True,"中央汇金资产管理有限责任公司
大成基金-农业银行-大成中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划",9.0
4,688258.SH,688258,卓易信息,软件服务,122.2,True,True,"中国建设银行股份有限公司-南方现代教育股票型证券投资基金
交通银行股份有限公司-诺安和鑫保本混合型证券投资基金
中国建设银行股份有限公司-华润元大信息传媒科技混合型证券投资基金
兴业银行股份有限公司-兴全精选混合型证券投资基金
中国对外经济贸易信托有限公司-外贸信托·昀沣6号证券投资集合资金信托计划
中国对外经济贸易信托有限公司-外贸信托·昀沣3号证券投资集合资金信托计划
华润深国投信托有限公司-华润信托·昀沣9号集合资金信托计划
中国银行股份有限公司-海富通股票混合型证券投资基金
中国对外经济贸易信托有限公司-外贸信托-宽星9号证券投资集合资金信托计划",9.0
5,688058.SH,688058,宝兰德,软件服务,182.98,True,True,"中国工商银行股份有限公司-南方3年封闭运作战略配售灵活配置混合型证券投资基金(LOF)
中国银行股份有限公司-海富通先进制造股票型证券投资基金
中国工商银行股份有限公司-金鹰核心资源混合型证券投资基金
中国工商银行股份有限公司-海富通科技创新混合型证券投资基金
中国建设银行股份有限公司-博时回报灵活配置混合型证券投资基金
中国工商银行股份有限公司-汇添富移动互联股票型证券投资基金
兴业银行股份有限公司-金鹰转型动力灵活配置混合型证券投资基金
中国建设银行股份有限公司-南方信息创新混合型证券投资基金
中国银行股份有限公司-海富通股票混合型证券投资基金",9.0
6,002968.SZ,002968,新大正,房产服务,71.8,True,True,"中国银行股份有限公司-华宝先进成长混合型证券投资基金
中国建设银行股份有限公司-南方品质优选灵活配置混合型证券投资基金
中国光大银行股份有限公司-国投瑞银创新动力混合型证券投资基金
中国建设银行股份有限公司-华宝事件驱动混合型证券投资基金
中国农业银行股份有限公司-工银瑞信消费行业股票型证券投资基金
易方达资产-工商银行-易方达资产华瑞8号资产管理计划
中国建设银行-宝康消费品证券投资基金
中国工商银行股份有限公司-汇添富多策略定期开放灵活配置混合型发起式证券投资基金
交通银行股份有限公司-工银瑞信双利债券型证券投资基金",9.0
7,000860.SZ,000860,顺鑫农业,白酒,70.46,True,True,"全国社保基金一一零组合
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-汇添富消费行业混合型证券投资基金
全国社保基金四一四组合
全国社保基金四零六组合
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
深圳大禾投资管理有限公司-大禾投资-掘金5号私募投资基金",9.0
8,601698.SH,601698,中国卫通,电信运营,23.66,True,True,"中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金
招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金",9.0
9,688036.SH,688036,传音控股,通信设备,94.0,True,True,"基本养老保险基金一二零一组合
全国社保基金一一三组合
基本养老保险基金八零二组合
中国建设银行股份有限公司-大成科创主题3年封闭运作灵活配置混合型证券投资基金
中国银行股份有限公司-宝盈核心优势灵活配置混合型证券投资基金
全国社保基金四一一组合
中国农业银行-大成创新成长混合型证券投资基金
中国农业银行-大成精选增值混合型证券投资基金
中国农业银行股份有限公司-宝盈转型动力灵活配置混合型证券投资基金",9.0
10,688002.SH,688002,睿创微纳,通信设备,73.79,True,True,"中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划
中国银行股份有限公司-泰信中小盘精选股票型证券投资基金
招商银行股份有限公司-睿远成长价值混合型证券投资基金
全国社保基金一一八组合
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
平安基金-中国平安人寿保险股份有限公司-分红-个险分红-平安人寿-平安基金权益委托投资2号单一资产管理计划
中国工商银行股份有限公司-嘉实企业变革股票型证券投资基金
中国银行股份有限公司-景顺长城优选混合型证券投资基金",9.0
11,002920.SZ,002920,德赛西威,汽车配件,76.82,True,True,"宁波梅山保税港区智石资产管理有限公司-智石私募证券投资基金
香港中央结算有限公司(陆股通)
中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
大家资产-民生银行-大家资产-盛世精选2号集合资产管理产品(第二期)
广发基金管理有限公司-社保基金四二零组合
招商银行股份有限公司-兴全轻资产投资混合型证券投资基金(LOF)
基本养老保险基金一二零七组合
招商银行股份有限公司-兴全合润分级混合型证券投资基金",9.0
12,600522.SH,600522,中天科技,通信设备,13.66,True,True,"中央汇金资产管理有限责任公司
中融国际信托有限公司-中融信托-融耀定增32号单一资金信托
香港中央结算有限公司(陆股通)
平安基金-浦发银行-云南国际信托-云信智兴2017-213号单一资金信托
皓熙股权投资管理(上海)有限公司-南京高科皓熙定增私募证券投资基金
中信银行股份有限公司-交银施罗德新生活力灵活配置混合型证券投资基金
中国工商银行股份有限公司-富国创新科技混合型证券投资基金
长城国泰(舟山)产业并购重组基金合伙企业(有限合伙)",8.0
13,600779.SH,600779,水井坊,白酒,80.41,True,True,"交通银行-鹏华中国50开放式证券投资基金
香港中央结算有限公司(陆股通)
天津礼仁投资管理合伙企业(有限合伙)-卓越长青私募证券投资基金
易方达基金-工商银行-外贸信托-外贸信托·稳富FOF单一资金信托
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国农业银行股份有限公司-景顺长城沪深300指数增强型证券投资基金
中国光大银行股份有限公司-泓德优选成长混合型证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金",8.0
14,600760.SH,600760,中航沈飞,航空,58.5,True,True,"中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金
中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-易方达国防军工混合型证券投资基金
中国华融资产管理股份有限公司
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国建设银行股份有限公司-富国中证军工龙头交易型开放式指数证券投资基金
中国银行股份有限公司-国投瑞银国家安全灵活配置混合型证券投资基金",8.0
15,000848.SZ,000848,承德露露,软饮料,8.39,True,True,"中央汇金资产管理有限责任公司
全国社保基金四一三组合
基本养老保险基金一一零一组合
香港中央结算有限公司(陆股通)
中信信托有限责任公司-中信信托锐进43期高毅晓峰投资集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国工商银行-富国中证红利指数增强型证券投资基金
全国社保基金六零四组合",8.0
