,ts_code,symbol,name,industry,COL_LASTPRICE,COL_FITNESS,COL_MAXGAP,concept
0,000813.SZ,000813,德展健康,化学制药,11.62,4528.99,76.46,"新疆, 医药, 化学药, 工业大麻, "
1,600352.SH,600352,浙江龙盛,染料涂料,20.6,3866.62,134.23,"MSCI, 业绩预增, 染料, 滴滴出行概念股, 独角兽, "
2,002798.SZ,002798,帝欧家居,家居用品,22.98,2736.95,67.79,"业绩预增, 家具家居, "
3,603823.SH,603823,百合花,染料涂料,23.19,2312.58,87.17,"染料, "
4,600093.SH,600093,易见股份,仓储物流,14.9,2178.74,80.7,"供应链金融, 区块链, 股权转让, "
5,601678.SH,601678,滨化股份,化工原料,8.09,2064.06,67.72,"烧碱, 环氧丙烷, 制冷剂, 军工, 军民融合, 煤化工, 燃料电池, "
6,601311.SH,601311,骆驼股份,电气设备,13.58,1813.82,69.45,"回购, 汽车零部件, 锂电池, 燃料电池, 新能源汽车, "
7,002496.SZ,002496,辉丰股份,农药化肥,3.69,1556.01,76.21,"农药, 草铵膦, ST摘帽, "
8,600146.SH,600146,商赢环球,服饰,13.51,1459.73,129.26,"纺织服装, 高质押率, 互联网金融, 区块链, 跨境电商, 宁夏, 强势人气股, "
9,300174.SZ,300174,元力股份,化工原料,30.96,1264.34,160.92,"业绩预增, 游戏, 手游, "
10,002869.SZ,002869,金溢科技,通信设备,28.24,1249.81,81.19,"粤港澳大湾区, 物联网, 智慧停车, 人工智能, 区块链, 智慧城市, 国产软件, 电子车牌, "
11,300079.SZ,300079,数码科技,通信设备,6.77,1240.88,106.7,"5G, 业绩预增, 谷歌概念股, 网络安全, 互联网金融, 移动支付, 区块链, 彩票, VR&AR, 广电, 影视, 知识产权, "
12,000993.SZ,000993,闽东电力,水力发电,8.08,1227.95,91.56,"水电, 电改, 风电, 宁德时代概念股, 债转股-AMC, 锂电池, 新能源汽车, 强势人气股, "
13,002235.SZ,002235,安妮股份,互联网,9.95,1040.79,89.74,"教育, 大数据, 造纸, 区块链, 彩票, 体育产业, 知识产权, 动漫, "
14,002099.SZ,002099,海翔药业,化学制药,9.21,1034.59,96.09,"回购, 业绩预增, 染料, 医药, 化学药, "
15,002370.SZ,002370,亚太药业,化学制药,17.8,969.98,87.11,"医药, 创新药, 化学药, "
16,002177.SZ,002177,御银股份,电脑设备,6.24,876.07,97.52,"业绩预增, 互联网金融, 区块链, 腾讯概念股, 国产操作系统, 虹膜识别, 人脸识别, 无人银行, "
17,603729.SH,603729,龙韵股份,广告包装,21.51,859.0,74.97,"主题公园, 赛马, 强势人气股, "
18,300579.SZ,300579,数字认证,软件服务,48.33,801.41,73.94,"雄安-智慧城市, 网络安全, 雄安新区, 高送转, 区块链, 国产软件, 彩票, 知识产权, "
19,002824.SZ,002824,和胜股份,铝,13.91,788.93,80.06,"有色-铝, 有色金属, 锂电池, 新能源汽车, "
20,300686.SZ,300686,智动力,元器件,17.5,691.15,71.59,"OLED, 小米概念股, "
21,000590.SZ,000590,启迪古汉,中成药,15.81,688.71,136.67,"保健品, 食品, 医药, 中药, 雄安新区, 高校系, 资产重组, "
22,603309.SH,603309,维力医疗,医疗保健,20.19,653.75,90.65,"医疗器械, "
23,600928.SH,600928,西安银行,银行,10.51,607.43,109.87,"银行, 次新股, "
