,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_UP_RANGE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688580.SH,688580,N伟思,医疗保健,True,181.0,True,True,0.0,,0.0
1,600767.SH,600767,ST运盛,医疗保健,True,3.79,True,False,0.09,四川蓝润资产管理有限公司,1.0
2,603963.SH,603963,大理药业,化学制药,True,9.1,True,False,0.1,,0.0
3,000952.SZ,000952,广济药业,化学制药,True,9.44,True,False,0.12,盛稷股权投资基金(上海)有限公司,1.0
4,300181.SZ,300181,佐力药业,中成药,True,6.39,True,False,0.12,长信基金-工商银行-长信-朗程-工行定增1号资产管理计划,1.0
5,600530.SH,600530,*ST交昂,医疗保健,True,3.17,True,False,0.15,,0.0
6,000788.SZ,000788,北大医药,化学制药,True,7.85,True,False,0.16,"建投中信资产管理有限责任公司
中央汇金资产管理有限责任公司
北京大学教育基金会",3.0
7,600518.SH,600518,ST康美,中成药,True,2.81,True,False,0.18,"大成基金-农业银行-大成中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
五矿国际信托有限公司-五矿信托-优质精选上市公司投资单一资金信托",3.0
8,600851.SH,600851,海欣股份,化学制药,True,8.55,True,False,0.18,"中央汇金资产管理有限责任公司
深圳市惠和投资基金管理有限公司-深圳市惠和基金惠和2号证券投资基金
重庆国际信托股份有限公司-兴国1号集合资金信托计划
重庆国际信托股份有限公司-兴国2号集合资金信托",4.0
9,600896.SH,600896,览海医疗,医疗保健,True,5.07,True,False,0.18,,0.0
10,603351.SH,603351,威尔药业,化学制药,True,27.2,True,False,0.19,"江苏人才创新创业投资二期基金(有限合伙)
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
招商银行股份有限公司-国泰聚优价值灵活配置混合型证券投资基金",3.0
11,300108.SZ,300108,吉药控股,中成药,True,3.19,True,True,0.2,"上海国药股权投资基金合伙企业(有限合伙)
汇安基金-浦发银行-江海证券有限公司
吉林省现代农业和新兴产业投资基金有限公司",3.0
12,603716.SH,603716,塞力斯,医药商业,True,17.26,True,False,0.2,"深圳市华润资本股权投资有限公司-华润医药(汕头)产业投资基金合伙企业(有限合伙)
上海高能投资管理有限公司-高能汇实专项私募股权投资基金1号
财通基金-招商银行-财通基金-长昕1号资产管理计划
中国银行股份有限公司-广发中证养老产业指数型发起式证券投资基金",4.0
13,600673.SH,600673,东阳光,化学制药,True,7.76,True,False,0.21,"中国银行股份有限公司-景顺长城优选混合型证券投资基金
香港中央结算有限公司(陆股通)",2.0
14,688488.SH,688488,艾迪药业,生物制药,True,37.5,True,True,0.21,,0.0
15,300146.SZ,300146,汤臣倍健,医疗保健,True,22.58,True,False,0.22,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
前海开源再融资主题精选股票型证券投资基金
易方达创业板交易型开放式指数证券投资基金",4.0
16,002675.SZ,002675,东诚药业,化学制药,True,22.67,True,False,0.23,"交通银行股份有限公司-国泰金鹰增长灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金六零二组合",3.0
17,000503.SZ,000503,国新健康,医疗保健,True,13.87,True,True,0.26,香港中央结算有限公司(陆股通),1.0
18,603669.SH,603669,灵康药业,化学制药,True,9.49,True,False,0.27,香港中央结算有限公司(陆股通),1.0
19,002940.SZ,002940,昂利康,化学制药,True,63.6,True,True,0.27,"中国银行股份有限公司-国泰鑫利一年持有期混合型证券投资基金
中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金
深圳前海行健资本管理有限公司-前海行健玄策二号私募证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金",5.0
