,ts_code,symbol,name,industry,COL_JUMP_OFF_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600086.SH,600086,退金钰,,-83.49514563106796,1.8,"嘉实基金-农业银行-嘉实中证金融资产管理计划
上海国际信托有限公司-上信-浦银股益4号集合资金信托计划
广发基金-农业银行-广发中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
天风证券-湖北省国有资本运营有限公司-天风证券天权50号定向资产管理计划
博时基金-农业银行-博时中证金融资产管理计划",7.0
1,603222.SH,603222,济民制药,化学制药,-75.4850922858495,61.12,深圳前海正帆投资管理有限公司-正帆敏行4号私募证券投资基金,1.0
2,000662.SZ,000662,天夏退,,-75.20661157024793,3.28,,0.0
3,002647.SZ,002647,仁东控股,多元金融,-69.72972972972973,88.92,,0.0
4,002071.SZ,002071,*ST长城,影视音像,-67.14285714285714,2.4,,0.0
5,002862.SZ,002862,实丰文化,文教休闲,-62.961409395973156,11.42,深圳安泰量子资产管理有限公司-安泰汉唐云界一号私募证券投资基金,1.0
6,000007.SZ,000007,全新好,酒店餐饮,-62.42774566473989,11.18,,0.0
7,300038.SZ,300038,ST数知,互联网,-60.572337042925284,35.29,"国寿安保基金-渤海银行-民生信托-中国民生信托-至信349号集合资金信托计划
建信基金-兴业银行-中融国际信托-中融-宏金114号单一资金信托
鹏华资产-工商银行-中建投信托-中建投信托·京杭单一资金信托
华创证券-证券行业支持民企发展系列之华创证券1号FOF单一资产管理计划-华创证券有限责任公司支持民企发展13号单一资产
华宝信托有限责任公司-华宝-平安前海1号单一资金信托",5.0
8,002781.SZ,002781,奇信股份,装修装饰,-60.19159127195316,19.84,"深圳市前海宏泰恒信基金管理有限公司-宏泰牛刀1号私募证券投资基金
深圳雪杉基金管理有限公司-雪杉潜渊2号私募证券投资基金
深圳市前海宏泰恒信基金管理有限公司-靖宣二号私募基金
深圳市旭达基金管理有限公司-旭达三角梅1号私募证券投资基金
深圳市旭达基金管理有限公司-旭达紫罗兰1号私募证券投资基金",5.0
9,300940.SZ,300940,南极光,元器件,-59.68122229557673,14.4,,0.0
10,600247.SH,600247,*ST成城,商贸代理,-59.62732919254658,2.19,,0.0
11,688607.SH,688607,康众医疗,医疗保健,-58.52941176470588,6.6,,0.0
12,688063.SH,688063,派能科技,电气设备,-57.50581395348837,60.84,,0.0
13,300946.SZ,300946,恒而达,机械基件,-55.93220338983051,12.48,,0.0
14,688628.SH,688628,优利德,电器仪表,-55.53072625698323,8.09,,0.0
15,300325.SZ,300325,ST德威,塑料,-55.294117647058826,17.64,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
16,603665.SH,603665,康隆达,纺织,-55.08100147275405,29.4,"华宝信托有限责任公司-辉煌1047号单一资金信托
金鹰基金-浦发银行-云南国际信托-云信富春12号单一资金信托",2.0
17,600191.SH,600191,华资实业,食品,-54.93333333333334,21.0,,0.0
18,000667.SZ,000667,美好置业,全国地产,-54.59057071960298,55.31,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",2.0
19,603332.SH,603332,苏州龙杰,化纤,-54.410574588616136,6.19,"上海古骓投资管理合伙企业(有限合伙)-古骓六号私募证券投资基金
上海翎巧资产管理有限公司-翎巧4号私募证券投资基金
上海古骓投资管理合伙企业(有限合伙)-古骓十号私募证券投资基金
上海翎巧资产管理有限公司-速赢二号私募证券投资基金
上海翎巧资产管理有限公司-翎巧7号私募证券投资基金
上海翎巧资产管理有限公司-翎巧12号私募证券投资基金",6.0
20,300118.SZ,300118,东方日升,电气设备,-54.28663862827563,89.87,"中央汇金资产管理有限责任公司
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
香港中央结算有限公司(陆股通)
交通银行股份有限公司-汇丰晋信智造先锋股票型证券投资基金
交通银行股份有限公司-平安研究睿选混合型证券投资基金
中国农业银行股份有限公司-平安低碳经济混合型证券投资基金
红塔资产-中信银行-中信信托-中信·宏商金融投资项目1603期
交通银行股份有限公司-汇丰晋信低碳先锋股票型证券投资基金",8.0
21,300939.SZ,300939,秋田微,元器件,-53.91161130936042,14.76,,0.0
22,600978.SH,600978,*ST宜生,家居用品,-53.153153153153156,7.71,,0.0
23,300064.SZ,300064,ST金刚,矿物制品,-53.082191780821915,23.88,,0.0
24,600340.SH,600340,华夏幸福,区域地产,-52.64214046822742,302.12,"中央汇金资产管理有限责任公司
华夏控股-光大证券-20华EB02担保及信托财产专户
华夏控股-光大证券-20华夏EB担保及信托财产专户
香港中央结算有限公司(陆股通)",4.0
25,002096.SZ,002096,南岭民爆,化工原料,-52.508143322475576,30.41,中央汇金资产管理有限责任公司,1.0
26,688788.SH,688788,科思科技,通信设备,-52.25833333333334,19.21,,0.0
27,603655.SH,603655,朗博科技,汽车配件,-52.128435903673065,26.22,"益家资本管理有限公司-益家聚美1号私募证券投资基金
益家资本管理有限公司-益家聚美3号私募证券投资基金",2.0
28,300938.SZ,300938,信测标准,综合类,-52.092534174553094,7.76,,0.0
29,300807.SZ,300807,天迈科技,软件服务,-52.01921366304928,8.76,"中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0
30,600121.SH,600121,郑州煤电,煤炭开采,-51.716738197424895,71.52,中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金,1.0
31,300928.SZ,300928,华安鑫创,汽车服务,-50.93645869240492,8.88,,0.0
32,600616.SH,600616,金枫酒业,红黄酒,-50.79365079365079,45.63,,0.0
33,600333.SH,600333,长春燃气,供气供热,-50.5933117583603,33.44,,0.0
34,300220.SZ,300220,金运激光,元器件,-50.546075085324226,23.01,,0.0
35,300530.SZ,300530,达志科技,化工原料,-50.33847820200379,20.75,"深圳市君如资产管理顾问有限公司-君如木兰1号私募证券投资基金
深圳市前海小龙资产管理有限公司-小龙趋势1号私募证券投资基金",2.0
36,300318.SZ,300318,博晖创新,医疗保健,-49.9412455934195,65.32,"中央汇金资产管理有限责任公司
中国银行股份有限公司-国泰中证生物医药交易型开放式指数证券投资基金",2.0
