code,name,past_p_change,past_positive,pe,past_average_turnover
000820,神雾节能,-42.727,,21.05,7.55
300064,豫金刚石,-41.604,,44.58,5.853
600634,富控互动,-38.905,,73.29,17.83
000506,中润资源,-37.076,,0.0,6.91
000663,永安林业,-37.006,,117.56,8.593
002321,华英农业,-32.045,,69.28,1.413
300156,神雾环保,-31.069,,14.99,6.853
300225,金力泰,-30.068,,105.79,1.627
600715,文投控股,-28.97,,47.77,4.887
000509,华塑控股,-28.705,,0.0,6.03
300312,邦讯技术,-28.604,,0.0,3.56
601700,风范股份,-26.289,,32.53,2.8
002512,达华智能,-24.487,,136.66,5.827
002085,万丰奥威,-23.294,,28.7,0.593
002161,远 望 谷,-22.238,,0.0,3.0
002213,特 尔 佳,-21.648,,171.23,1.157
600401,*ST海润,-20.192,,0.0,0.46
002212,南洋股份,-20.101,,399.12,0.75
300266,兴源环境,-19.906,,35.1,0.303
002168,深圳惠程,-19.635,,0.0,1.04
000693,*ST华泽,-19.41,,0.0,11.907
300238,冠昊生物,-18.587,,74.87,2.983
600241,时代万恒,-18.4,,102.68,0.527
002366,台海核电,-18.104,,26.28,2.213
300278,华昌达,-17.891,,110.09,4.17
002661,克明面业,-17.301,,34.52,1.337
002437,誉衡药业,-17.297,,32.68,1.323
002113,天润数娱,-17.104,,329.37,2.117
600735,新华锦,-17.016,,52.9,2.37
000932,华菱钢铁,-16.974,,6.09,1.89
002143,印纪传媒,-16.169,,38.33,0.55
300290,荣科科技,-15.76,,139.68,1.99
000007,全新好,-15.697,,352.47,2.267
000006,深振业Ａ,-15.639,,23.53,1.883
002862,实丰文化,-15.572,★,50.44,3.413
002427,ST尤夫,-15.353,,38.96,2.117
000830,鲁西化工,-15.346,,18.31,5.313
002122,天马股份,-15.266,,202.19,0.59
300317,珈伟股份,-14.95,,28.03,3.59
300444,双杰电气,-14.79,,135.36,2.237
300090,盛运环保,-14.677,,2458.88,2.033
600512,腾达建设,-14.656,,33.23,1.117
600695,绿庭投资,-14.277,,118.62,1.51
000606,神州易桥,-13.791,,0.0,0.773
002384,东山精密,-13.757,,56.33,1.817
600485,信威集团,-13.567,,74.33,2.637
002721,金一文化,-13.262,,106.89,6.503
000793,华闻传媒,-13.042,,29.15,1.833
002509,天广中茂,-13.002,,36.59,0.583
002662,京威股份,-12.997,,28.79,0.723
600148,长春一东,-12.819,,111.45,0.833
600596,新安股份,-12.71,,30.33,3.42
600439,瑞贝卡,-12.532,,31.14,1.42
000825,太钢不锈,-12.418,,12.28,1.55
600069,银鸽投资,-12.41,,427.78,1.133
000816,智慧农业,-12.409,,0.0,5.697
600682,南京新百,-12.408,,74.06,1.047
002413,雷科防务,-12.317,,92.83,1.613
600179,安通控股,-12.3,,44.71,0.75
002451,摩恩电气,-12.263,,214.14,0.317
002198,嘉应制药,-12.142,,288.56,0.28
000156,华数传媒,-12.101,,25.94,0.457
000517,荣安地产,-11.978,,20.88,1.57
000564,供销大集,-11.967,,20.84,0.88
601699,潞安环能,-11.94,,12.69,2.22
300086,康芝药业,-11.834,,88.42,0.47
000511,*ST烯碳,-11.72,,0.0,
600568,中珠医疗,-11.68,,38.6,0.797
600856,中天能源,-11.569,,28.22,6.713
600971,恒源煤电,-11.544,,7.23,2.013
300089,文化长城,-11.54,,54.07,4.24
600188,兖州煤业,-11.449,,10.53,1.167
300325,德威新材,-11.448,,121.24,1.803
000732,泰禾集团,-11.248,,18.09,1.837
600581,八一钢铁,-11.121,,9.71,5.037
600255,梦舟股份,-10.988,,109.23,1.607
300492,山鼎设计,-10.941,,292.49,6.16
000537,广宇发展,-10.936,,127.22,1.78
002839,张家港行,-10.899,,21.5,4.503
600290,华仪电气,-10.844,,190.08,0.777
000812,陕西金叶,-10.813,,380.05,1.793
