,ts_code,name,industry,continuously_limit_up,continuously_up,average_p_change,last_p_change,circ_mv
1402,300018.SZ,中元股份,电气设备,4.0,5.0,8.037,9.9548,265911.3857
1190,002733.SZ,雄韬股份,电气设备,4.0,12.0,5.405,9.9879,594591.9875
1463,300080.SZ,易成新能,半导体,4.0,8.0,5.961,10.0,320267.4636
81,000410.SZ,沈阳机床,机床制造,2.0,3.0,7.536,9.9857,570809.3751
2307,600218.SH,全柴动力,农用机械,2.0,9.0,3.553,9.9278,224571.795
731,002270.SZ,华明装备,电气设备,2.0,2.0,10.079,10.0952,395686.4493
2629,600614.SH,鹏起科技,综合类,1.0,2.0,6.438,10.0683,974909.5394
1927,300549.SZ,优德精密,专用机械,1.0,1.0,10.034,10.0337,90379.9283
1675,300293.SZ,蓝英装备,专用机械,1.0,1.0,10.068,10.068,218430.0
2956,601066.SH,中信建投,证券,1.0,2.0,5.787,9.9908,480000.0
1735,300353.SZ,东土科技,通信设备,1.0,1.0,9.97,9.9704,391117.9863
1817,300437.SZ,清水源,化工原料,1.0,4.0,4.706,10.0,192570.7232
2805,600809.SH,山西汾酒,白酒,1.0,1.0,10.009,10.0087,3273772.2937
1888,300508.SZ,维宏股份,软件服务,1.0,1.0,10.02,10.0204,63896.7079
1914,300535.SZ,达威股份,化工原料,1.0,1.0,9.969,9.9693,75894.123
1962,300586.SZ,美联新材,化工原料,1.0,1.0,10.037,10.0368,73148.9375
2616,600600.SH,青岛啤酒,啤酒,1.0,1.0,10.003,10.003,2533125.5659
2006,300632.SZ,光莆股份,半导体,1.0,2.0,8.529,10.0,95117.8967
2060,300687.SZ,赛意信息,软件服务,1.0,1.0,9.98,9.9795,134597.0169
2801,600804.SH,鹏博士,电信运营,1.0,1.0,9.963,9.9631,1280527.9259
2267,600172.SH,黄河旋风,矿物制品,1.0,3.0,3.841,10.0295,436205.4423
2706,600702.SH,舍得酒业,白酒,1.0,1.0,10.023,10.0227,818289.8
2578,600559.SH,老白干酒,白酒,1.0,1.0,9.976,9.9762,851851.8121
2579,600560.SH,金自天正,电气设备,1.0,5.0,3.142,9.9548,217383.426
1603,300221.SZ,银禧科技,塑料,1.0,1.0,10.036,10.0358,259950.7162
1432,300048.SZ,合康新能,电气设备,1.0,1.0,10.15,10.1504,295020.0967
1462,300079.SZ,数码科技,通信设备,1.0,4.0,2.685,9.887,470335.705
620,002158.SZ,汉钟精机,工程机械,1.0,1.0,10.052,10.0522,446062.9538
161,000576.SZ,广东甘化,造纸,1.0,2.0,5.167,10.0,287487.0154
181,000605.SZ,渤海股份,水务,1.0,4.0,6.331,10.0298,302470.1411
226,000670.SZ,盈方微,元器件,1.0,1.0,9.946,9.9462,245243.1632
317,000799.SZ,酒鬼酒,白酒,1.0,1.0,9.975,9.9751,573174.7207
448,000987.SZ,越秀金控,多元金融,1.0,1.0,10.024,10.0244,484518.231
525,002063.SZ,远光软件,软件服务,1.0,4.0,3.335,10.0671,495989.3571
535,002073.SZ,软控股份,软件服务,1.0,1.0,10.0,10.0,423392.7038
578,002116.SZ,中国海诚,建筑施工,1.0,3.0,4.599,10.0135,337570.5714
623,002161.SZ,远望谷,通信设备,1.0,1.0,10.018,10.0176,437315.4388
145,000555.SZ,神州信息,软件服务,1.0,1.0,9.957,9.9572,960157.0179
766,002305.SZ,南国置业,区域地产,1.0,2.0,7.39,10.1695,527573.2579
887,002426.SZ,胜利精密,元器件,1.0,1.0,10.15,10.1504,632230.3103
1040,002580.SZ,圣阳股份,电气设备,1.0,1.0,9.928,9.9278,181669.4587
1043,002583.SZ,海能达,通信设备,1.0,1.0,10.06,10.0599,964615.9242
1056,002596.SZ,海南瑞泽,其他建材,1.0,3.0,4.493,10.0629,603846.9206
1134,002674.SZ,兴业科技,纺织,1.0,1.0,10.058,10.0585,226238.1136
1348,002903.SZ,宇环数控,机床制造,1.0,1.0,10.0,10.0,119790.0
1384,002943.SZ,宇晶股份,机床制造,1.0,1.0,10.009,10.0089,92325.0
3086,601882.SH,海天精工,机床制造,1.0,3.0,4.302,10.0662,104656.14
