,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_LAST_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,003035.SZ,003035,南网能源,环境保护,True,10.084,39.7,,0.0
1,003036.SZ,003036,泰坦股份,纺织机械,True,10.0301,5.92,,0.0
2,600803.SH,600803,新奥股份,供气供热,True,10.0248,218.58,"中央汇金资产管理有限责任公司
全国社保基金四一八组合
香港中央结算有限公司(陆股通)
中信证券股份有限公司-社保基金1106组合",4.0
3,002430.SZ,002430,杭氧股份,化工机械,True,10.0103,309.27,"中国华融资产管理股份有限公司
全国社保基金一一六组合
兴业银行股份有限公司-工银瑞信文体产业股票型证券投资基金
交通银行股份有限公司-工银瑞信养老产业股票型证券投资基金
中央汇金资产管理有限责任公司
全国社保基金一一四组合
中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)",8.0
4,000338.SZ,000338,潍柴动力,汽车配件,True,10.0091,1021.61,"大成基金-农业银行-大成中证金融资产管理计划
交通银行-融通行业景气证券投资基金
华夏基金-农业银行-华夏中证金融资产管理计划
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",5.0
5,002318.SZ,002318,久立特材,特种钢,True,10.0076,137.3,"全国社保基金四一三组合
中国工商银行股份有限公司-嘉实周期优选混合型证券投资基金
中泰证券资管-招商银行-中泰星河12号集合资产管理计划
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-易方达价值精选混合型证券投资基金
中国银行股份有限公司-富国创新趋势股票型证券投资基金
中国农业银行股份有限公司-交银施罗德瑞思三年封闭运作混合型证券投资基金
中国工商银行股份有限公司-富国高新技术产业混合型证券投资基金",8.0
6,605376.SH,605376,博迁新材,小金属,True,10.0021,34.02,,0.0
7,603236.SH,603236,移远通信,通信设备,True,9.9991,183.59,"重庆信展股权投资基金管理有限公司-重庆信展云达投资中心(有限合伙)
香港中央结算有限公司(陆股通)
重庆信展股权投资基金管理有限公司-重庆信展保达投资中心(有限合伙)
兴业银行股份有限公司-工银瑞信文体产业股票型证券投资基金",4.0
8,605155.SH,605155,西大门,化工原料,True,9.9938,8.45,,0.0
9,002331.SZ,002331,皖通科技,软件服务,True,9.9932,62.39,,0.0
10,002360.SZ,002360,同德化工,化工原料,True,9.9888,29.25,,0.0
11,002390.SZ,002390,信邦制药,中成药,True,9.9884,147.59,香港中央结算有限公司(陆股通),1.0
12,605005.SH,605005,合兴股份,汽车配件,True,9.9831,7.82,,0.0
13,600392.SH,600392,盛和资源,小金属,True,9.9746,303.82,香港中央结算有限公司(陆股通),1.0
