,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_UP_RANGE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688981.SH,688981,N中芯-U,半导体,82.92,True,True,0.0,,0.0
1,688500.SH,688500,N慧辰,互联网,109.01,True,True,0.0,,0.0
2,688309.SH,688309,恒誉环保,环境保护,62.9,True,True,0.0,,0.0
3,605108.SH,605108,N同庆楼,酒店餐饮,24.05,True,True,0.0,,0.0
4,688568.SH,688568,中科星图,软件服务,83.8,True,True,0.0,,0.0
5,688165.SH,688165,埃夫特,专用机械,29.26,True,True,0.0,,0.0
6,688180.SH,688180,君实生物,生物制药,126.3,True,True,0.0,,0.0
7,002890.SZ,002890,弘宇股份,农用机械,36.18,True,True,0.01,,0.0
8,600246.SH,600246,万通地产,区域地产,8.09,True,True,0.01,"上海富诚海富通资产-宁波银行-富诚海富通福瑞通达1号专项资产管理计划
华宝信托有限责任公司-华宝信托-万通地产员工持股一期集合资金信托
西藏博恩资产管理有限公司-博恩添富7号私募证券投资基金",3.0
9,300264.SZ,300264,佳创视讯,通信设备,4.75,True,True,0.07,中央汇金资产管理有限责任公司,1.0
10,600558.SH,600558,大西洋,钢加工,3.07,True,True,0.08,中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金,1.0
11,002254.SZ,002254,泰和新材,化纤,13.28,True,True,0.08,"基本养老保险基金三零三组合
中央汇金资产管理有限责任公司
上海方圆达创投资合伙企业(有限合伙)-方圆-东方38号私募投资基金",3.0
12,603099.SH,603099,长白山,旅游景点,8.32,True,True,0.09,中国华融资产管理股份有限公司,1.0
13,603199.SH,603199,九华旅游,旅游景点,22.68,True,True,0.09,"中国银行-易方达积极成长证券投资基金
全国社保基金一零九组合",2.0
14,002695.SZ,002695,煌上煌,食品,25.5,True,True,0.1,"中国建设银行股份有限公司-汇添富价值创造定期开放混合型证券投资基金
中信证券-建行-中信证券股债双赢集合资产管理计划
全国社保基金四一八组合
中国银行股份有限公司-平安匠心优选混合型证券投资基金
中国工商银行股份有限公司-汇添富民营活力混合型证券投资基金",5.0
15,600593.SH,600593,大连圣亚,旅游服务,43.75,True,True,0.1,"磐京股权投资基金管理(上海)有限公司-磐京稳赢6号私募证券投资基金
磐京股权投资基金管理(上海)有限公司",2.0
16,300081.SZ,300081,恒信东方,文教休闲,9.21,True,True,0.1,"交通银行股份有限公司-浦银安盛增长动力灵活配置混合型证券投资基金
金鹰基金-工商银行-万向信托-万向信托-星辰50号事务管理类单一资金信托",2.0
17,600706.SH,600706,曲江文旅,旅游服务,7.8,True,True,0.1,,0.0
18,000514.SZ,000514,渝开发,区域地产,4.19,True,True,0.1,中央汇金资产管理有限责任公司,1.0
19,600281.SH,600281,太化股份,综合类,4.23,True,True,0.11,,0.0
20,300735.SZ,300735,光弘科技,通信设备,19.68,True,True,0.11,"招商银行股份有限公司-兴全合泰混合型证券投资基金
平安基金-中国平安人寿保险股份有限公司-分红-个险分红-平安人寿-平安基金权益委托投资2号单一资产管理计划
中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF)
兴全基金-农业银行-中国太平洋人寿保险-中国太平洋人寿股票主动管理型产品(个分红)委托投资
中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金
兴业全球基金-兴业银行-兴全-股票红利特定多客户资产管理计划",6.0
21,002277.SZ,002277,友阿股份,百货,4.38,True,True,0.11,中央汇金资产管理有限责任公司,1.0
22,300591.SZ,300591,万里马,服饰,6.91,True,True,0.11,,0.0
23,002159.SZ,002159,三特索道,旅游服务,11.48,True,True,0.11,"招商银行股份有限公司-东方红京东大数据灵活配置混合型证券投资基金
中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
中国工商银行-国联安德盛小盘精选证券投资基金",3.0
24,600771.SH,600771,广誉远,中成药,14.86,True,True,0.11,"国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合
兴业国际信托有限公司-兴享进取明达1号证券投资集合资金信托计划
华能贵诚信托有限公司-华能信托·悦晟3号单一资金信托",3.0
25,300490.SZ,300490,华自科技,电气设备,8.82,True,True,0.11,"上海含德股权投资基金管理有限公司-含德盛世2号定增投资私募基金
玄元(横琴)股权投资有限公司-玄元横琴3号私募股权投资基金
江苏新华沣裕资本管理有限公司-新华·沣裕1号私募投资基金",3.0
26,600054.SH,600054,黄山旅游,旅游景点,8.87,True,True,0.11,,0.0
27,002940.SZ,002940,昂利康,化学制药,54.78,True,True,0.12,"深圳前海行健资本管理有限公司-前海行健玄策二号私募证券投资基金
中国银行股份有限公司-国泰鑫利一年持有期混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金",5.0
28,002435.SZ,002435,长江健康,化学制药,4.08,True,True,0.13,"华安资产管理(香港)有限公司-客户资金专户1号(交易所)
西藏信托有限公司-西藏信托-莱沃50号集合资金信托计划",2.0
29,600691.SH,600691,阳煤化工,农药化肥,2.15,True,True,0.13,云南国际信托有限公司-源盛恒瑞21号集合资金信托计划,1.0
30,000978.SZ,000978,桂林旅游,旅游景点,5.03,True,True,0.13,"华夏基金-中国银行-中银国际证券有限责任公司
华夏基金华兴8号股票型养老金产品
华夏基金华益3号股票型养老金产品
华夏基金华兴2号股票型养老金产品",4.0
31,000610.SZ,000610,西安旅游,旅游服务,8.91,True,True,0.13,,0.0
32,603477.SH,603477,振静股份,纺织,14.03,True,True,0.14,,0.0
33,688186.SH,688186,广大特材,特种钢,38.62,True,True,0.14,,0.0
34,000617.SZ,000617,中油资本,多元金融,7.95,True,True,0.14,"海峡能源产业基金管理(厦门)有限公司
中国长城资产管理股份有限公司
中国国有资本风险投资基金股份有限公司",3.0
35,000430.SZ,000430,张家界,旅游景点,5.25,True,True,0.14,诺德基金-兴业银行-上海建工集团投资有限公司,1.0
36,300267.SZ,300267,尔康制药,化学制药,4.5,True,True,0.15,,0.0
37,600605.SH,600605,汇通能源,房产服务,12.48,True,True,0.15,中央汇金资产管理有限责任公司,1.0
38,002253.SZ,002253,川大智胜,软件服务,15.06,True,True,0.15,中央汇金资产管理有限责任公司,1.0
39,002561.SZ,002561,徐家汇,百货,8.97,True,True,0.15,中央汇金资产管理有限责任公司,1.0
40,688202.SH,688202,美迪西,医疗保健,128.01,True,True,0.16,"中国银行股份有限公司-博时医疗保健行业混合型证券投资基金
中国工商银行股份有限公司-博时科创主题3年封闭运作灵活配置混合型证券投资基金
博时基金-国新投资有限公司-博时基金-国新2号单一资产管理计划
中国建设银行股份有限公司-长城医疗保健混合型证券投资基金
中国建设银行股份有限公司-华宝医药生物优选混合型证券投资基金
中国建设银行股份有限公司-南方医药保健灵活配置混合型证券投资基金
中国工商银行股份有限公司-融通健康产业灵活配置混合型证券投资基金
中国建设银行股份有限公司-工银瑞信前沿医疗股票型证券投资基金",8.0
41,300064.SZ,300064,豫金刚石,矿物制品,2.15,True,True,0.16,香港中央结算有限公司(陆股通),1.0
42,603421.SH,603421,鼎信通讯,通信设备,11.68,True,True,0.16,,0.0
43,601990.SH,601990,南京证券,证券,16.01,True,True,0.16,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,1.0
44,000428.SZ,000428,华天酒店,酒店餐饮,3.83,True,True,0.17,深圳昭阳投资管理有限公司-昭阳1号私募证券投资基金,1.0
45,603398.SH,603398,邦宝益智,文教休闲,10.16,True,True,0.17,,0.0
46,603517.SH,603517,绝味食品,食品,73.25,True,True,0.17,"招商银行股份有限公司-交银施罗德新成长混合型证券投资基金
广发基金管理有限公司-社保基金四二零组合
中信银行股份有限公司-交银施罗德新生活力灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-交银施罗德瑞丰三年封闭运作混合型证券投资基金
全国社保基金一零一组合",6.0
47,600749.SH,600749,西藏旅游,旅游景点,9.71,True,True,0.17,,0.0
48,002751.SZ,002751,易尚展示,家居用品,25.25,True,True,0.18,"中央汇金资产管理有限责任公司
兴业国际信托有限公司-兴业信托·易尚展示1号员工持股集合资金信托计划
华富基金-民生银行-天津信托-天津信托·优选定增6号集合资金信托计划
民生加银基金-建设银行-华鑫国际信托-华鑫信托·智选8号证券投资集合资金信托计划",4.0
49,300283.SZ,300283,温州宏丰,电气设备,4.8,True,True,0.18,中央汇金资产管理有限责任公司,1.0
50,002141.SZ,002141,贤丰控股,元器件,3.61,True,True,0.18,"中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划
深圳市前海建泓时代资产管理有限公司-建泓盈富二号投资基金",2.0
51,002721.SZ,002721,金一文化,服饰,4.28,True,True,0.18,"北京海鑫资产管理有限公司
泰达宏利基金-平安银行-泰达宏利价值成长定向增发699号资产管理计划
云南国际信托有限公司-云信智兴2017-2057号单一资金信托",3.0
52,601038.SH,601038,一拖股份,农用机械,10.29,True,True,0.18,"香港中央结算有限公司(陆股通)
北京天乙合资本管理有限公司-天乙3期证券投资基金",2.0
53,000635.SZ,000635,英力特,化工原料,7.91,True,True,0.19,,0.0
54,000510.SZ,000510,新金路,化工原料,4.85,True,True,0.19,华创证券-证券行业支持民企发展系列之华创证券1号FOF单一资产管理计划-华创证券有限责任公司支持民企发展,1.0
55,000498.SZ,000498,山东路桥,建筑工程,5.73,True,True,0.19,"交通银行股份有限公司-广发中证基建工程指数型发起式证券投资基金
易方达基金-工商银行-易方达基金臻选2号资产管理计划
中国银行股份有限公司-信诚中证基建工程指数型证券投资基金(LOF)
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)",4.0
56,300092.SZ,300092,科新机电,专用机械,8.67,True,True,0.19,中央汇金资产管理有限责任公司,1.0
57,600985.SH,600985,淮北矿业,煤炭开采,9.27,True,True,0.2,"香港中央结算有限公司(陆股通)
中国信达资产管理股份有限公司",2.0
58,600409.SH,600409,三友化工,化工原料,5.15,True,True,0.2,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-中欧价值发现股票型证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金",5.0
59,002953.SZ,002953,日丰股份,电气设备,27.37,True,True,0.2,上海浦东发展银行股份有限公司-国泰中证全指家用电器交易型开放式指数证券投资基金,1.0
60,002915.SZ,002915,中欣氟材,化工原料,20.01,True,True,0.2,"中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划
中信信托有限责任公司-中信信托鑫涌成泉金融投资集合资金信托计划",2.0
61,300662.SZ,300662,科锐国际,综合类,48.32,True,True,0.2,"中国农业银行股份有限公司-华夏复兴混合型证券投资基金
广发基金管理有限公司-社保基金四二零组合
全国社保基金四零三组合
中国工商银行股份有限公司-易方达新兴成长灵活配置混合型证券投资基金
中国国际金融香港资产管理有限公司-客户资金
中国建设银行股份有限公司-富国天博创新主题混合型证券投资基金",6.0
62,000589.SZ,000589,贵州轮胎,汽车配件,4.81,True,True,0.2,深圳抱朴容易资产管理有限公司-抱朴容易7号私募证券投资基金,1.0
63,300566.SZ,300566,激智科技,元器件,30.92,True,True,0.21,"中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划
中国农业银行股份有限公司-宝盈转型动力灵活配置混合型证券投资基金
上海泉汐投资管理有限公司-泉汐名扬多策略组合投资私募基金1号",3.0
64,002845.SZ,002845,同兴达,元器件,24.02,True,True,0.21,中国工商银行股份有限公司-南方大数据100指数证券投资基金,1.0
