,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600916.SH,600916,中国黄金,黄金,11.58,3.0,9.0,109.0,20.84,,0.0
1,605077.SH,605077,华康股份,食品,98.97,3.0,7.0,107.0,28.84,,0.0
2,002532.SZ,002532,天山铝业,铝,11.12,2.0,6.0,106.0,47.48,"中国工商银行股份有限公司-万家科创板2年定期开放混合型证券投资基金
中国建设银行股份有限公司-万家精选混合型证券投资基金",2.0
3,000711.SZ,000711,京蓝科技,软件服务,3.01,3.0,6.0,106.0,24.74,华润深国投信托有限公司-华润信托·开元3号集合资金信托计划,1.0
4,003038.SZ,003038,鑫铂股份,铝,31.5,3.0,6.0,106.0,8.38,,0.0
5,600722.SH,600722,金牛化工,化工原料,6.25,3.0,5.0,105.0,42.52,,0.0
6,002378.SZ,002378,章源钨业,小金属,6.92,3.0,4.0,104.0,63.32,,0.0
7,603399.SH,603399,吉翔股份,小金属,4.76,3.0,4.0,104.0,24.18,"杭州太乙投资管理有限公司-太乙多策略1号私募证券投资基金
温州德裕资产管理有限公司-德裕钱江一号证券私募投资基金
上海天倚道投资管理有限公司-天倚道昕弘成长7号私募证券投资基金
上海天倚道投资管理有限公司-天倚道昕弘成长5号私募证券投资基金
日照汇银股权投资基金管理合伙企业(有限合伙)
上海具力资产管理有限公司-具力进取6号私募证券投资基金
华融融达期货-陕国投·聚宝盆66号证券投资集合资金信托计划-华信金玉一号定向资产管理计划
温州德裕资产管理有限公司-德裕价值7号私募证券投资基金",8.0
8,600589.SH,600589,广东榕泰,塑料,3.17,3.0,3.0,103.0,22.32,,0.0
9,600066.SH,600066,宇通客车,汽车整车,17.25,3.0,3.0,103.0,381.9,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
Avanda投资管理私人有限公司-Avanda亚洲优势母基金(交易所)
香港中央结算有限公司(陆股通)
易方达基金管理有限公司-社保基金1104组合
中国银行股份有限公司-易方达中小盘混合型证券投资基金",5.0
10,605006.SH,605006,山东玻纤,玻璃,13.15,3.0,3.0,103.0,13.15,,0.0
11,002109.SZ,002109,兴化股份,化工原料,4.04,2.0,2.0,102.0,42.54,,0.0
12,002464.SZ,002464,众应互联,互联网,2.76,2.0,2.0,102.0,14.4,上海方圆达创投资合伙企业(有限合伙)-方圆-东方9号私募投资基金,1.0
13,000960.SZ,000960,锡业股份,小金属,15.17,2.0,2.0,102.0,253.15,"农银汇理(上海)资产-农业银行-华宝信托-投资(6)号集合资金信托计划
全国社保基金一零九组合
香港中央结算有限公司(陆股通)
农银汇理(上海)资产-农业银行-华宝信托-投资【6】号集合资金信托计划
中国银行-易方达积极成长证券投资基金",5.0
14,603214.SH,603214,爱婴室,百货,22.47,2.0,2.0,102.0,17.48,"中国农业银行股份有限公司-广发趋势优选灵活配置混合型证券投资基金
首域投资管理(英国)有限公司-首域中国A股基金
全国社保基金四一四组合
基本养老保险基金一六零四一组合
广发基金管理有限公司-社保基金四二零组合",5.0
15,002092.SZ,002092,中泰化学,化工原料,11.26,2.0,2.0,102.0,241.67,"广州市玄元投资管理有限公司-玄元六度元宝8号私募投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",3.0
16,000007.SZ,000007,全新好,酒店餐饮,3.05,2.0,2.0,102.0,9.42,,0.0
17,002145.SZ,002145,中核钛白,化工原料,10.31,2.0,2.0,102.0,164.04,"珠海汇尚创业投资有限公司-橡树湾8号私募证券投资基金
香港中央结算有限公司(陆股通)",2.0
18,002206.SZ,002206,海利得,化纤,5.42,2.0,2.0,102.0,52.21,"西藏山南硅谷天堂昌吉投资管理有限公司-硅谷天堂恒昌私募基金
基本养老保险基金一零零三组合
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金
上海齐银股权投资基金管理有限公司-上海同煤齐银投资管理中心(有限合伙)
中国建设银行股份有限公司-中欧价值发现股票型证券投资基金",5.0
19,600766.SH,600766,园城黄金,黄金,3.84,2.0,2.0,102.0,8.6,,0.0
