,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_NO_LIMIT,COL_FLOAT_HOLDERS
0,002420.SZ,002420,*ST毅昌,塑料,4.23,True,False,True,
1,600209.SH,600209,ST罗顿,综合类,4.81,True,False,True,
2,000731.SZ,000731,四川美丰,农药化肥,5.46,True,False,True,中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
3,002406.SZ,002406,远东传动,汽车配件,6.62,True,False,True,
4,000426.SZ,000426,兴业矿业,铅锌,7.25,True,False,True,"北信瑞丰基金-民生银行-四川信托-辰星2号证券投资集合资金信托计划
上海中汇金锐投资管理有限公司-中汇金锐定增2期私募投资基金"
5,002238.SZ,002238,天威视讯,影视音像,10.26,True,False,True,中国建设银行股份有限公司-华夏收入混合型证券投资基金
6,603917.SH,603917,合力科技,汽车配件,11.1,True,False,True,
7,000546.SZ,000546,金圆股份,水泥,11.15,True,False,True,"上海裕灏投资管理有限公司-裕灏金苹果6号私募证券投资基金
长信基金-浦发银行-五矿国际信托-五矿信托-聚富投资单一资金信托
平安银行股份有限公司-广发沪港深新起点股票型证券投资基金
上海万永投资管理有限公司-万永5期私募证券投资基金
云南国际信托有限公司-云信智兴2017-118号单一资金信托
云南国际信托有限公司-云信智兴2017-116号单一资金信托"
8,603680.SH,603680,今创集团,运输设备,11.15,True,False,True,香港中央结算有限公司(陆股通)
9,002698.SZ,002698,博实股份,化工机械,11.82,True,False,True,"香港中央结算有限公司(陆股通)
国海证券-浦发银行-国海证券虑远1058号集合资产管理计划"
10,300381.SZ,300381,溢多利,生物制药,12.68,True,False,True,深圳菁英时代基金管理股份有限公司-菁英时代久盈1号基金
11,603937.SH,603937,丽岛新材,铝,13.64,True,False,True,
12,603269.SH,603269,海鸥股份,机械基件,14.97,True,False,True,
13,300453.SZ,300453,三鑫医疗,医疗保健,15.61,True,False,True,"中国工商银行股份有限公司-融通医疗保健行业混合型证券投资基金
中航信托股份有限公司-中航信托·天顺【2019】113号江西国资支持民营企业专项单一资金信托"
