,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LASTPRICE,concept,circ_mv
0,601038.SH,601038,一拖股份,农用机械,6.0,10.79,"央企改革, 乡村振兴, 债转股-AMC, 农机, ",64.08亿
1,300663.SZ,300663,科蓝软件,软件服务,5.0,38.68,"高送转-填权, 互联网金融, 移动支付, 举牌股, 区块链, 国产软件, 京东金融概念股, 独角兽, 蚂蚁金服概念股, 强势人气股, 无人银行, ",71.44亿
2,300782.SZ,300782,卓胜微,元器件,4.0,74.4,,18.6亿
3,300023.SZ,300023,宝德股份,专用机械,4.0,8.64,"油服, 页岩气, 工业自动化, 智能制造, 壳公司, 强势人气股, ",12.48亿
4,000862.SZ,000862,银星能源,新型电力,4.0,8.36,"央企改革, 风电, 光伏, 宁夏, 强势人气股, ",41.91亿
5,601330.SH,601330,绿色动力,环境保护,4.0,14.31,"固废处理, 环保, ",36.58亿
6,603686.SH,603686,龙马环卫,环境保护,4.0,22.0,"定增破发, PPP, ",65.32亿
7,002645.SZ,002645,华宏科技,专用机械,3.0,8.83,,
8,300022.SZ,300022,吉峰科技,农用机械,3.0,5.82,"乡村振兴, 农机, 工业大麻, ",19.95亿
9,300362.SZ,300362,天翔环境,环境保护,3.0,3.95,"环保, 污水处理, 股权转让, 资产重组, 壳公司, ",12.43亿
10,603106.SH,603106,恒银金融,电脑设备,3.0,12.24,"雄安-金融, 雄安新区, 互联网金融, 区块链, 国产操作系统, 无人银行, ",20.74亿
11,600501.SH,600501,航天晨光,汽车配件,3.0,10.99,"央企改革, 军工研究所, 军工, 军民融合, ",46.3亿
12,300371.SZ,300371,汇中股份,电器仪表,2.0,12.42,"物联网, 智能仪表, 京津冀, ",14.84亿
13,300163.SZ,300163,先锋新材,其他建材,2.0,4.42,"互联网金融, 股权转让, 资产重组, 壳公司, ",12.47亿
14,300542.SZ,300542,新晨科技,软件服务,2.0,17.39,"华为产业链, 军工, 军民融合, 高送转-填权, 区块链, 国产软件, ",14.73亿
15,300354.SZ,300354,东华测试,电器仪表,2.0,12.95,"华为产业链, 大飞机, 智能仪表, ",9.77亿
16,300330.SZ,300330,华虹计通,软件服务,2.0,11.47,"物联网, 移动支付, 无人商店, 智慧城市, 高铁轨交, ",19.24亿
17,300629.SZ,300629,新劲刚,矿物制品,2.0,25.65,"5G, 军工, 军民融合, 国产芯片, ",11.1亿
18,300631.SZ,300631,久吾高科,环境保护,2.0,23.3,"高送转-预期, 社保重仓, 锂电池, 环保, 新能源汽车, 污水处理, 燃料乙醇, ",16.15亿
19,300275.SZ,300275,梅安森,软件服务,2.0,10.92,"社保重仓, 雄安-智慧城市, 智能仪表, 环保, 雄安新区, 污水处理, 智慧城市, 智慧安防, 资产重组, 壳公司, ",12.84亿
20,300225.SZ,300225,金力泰,染料涂料,2.0,6.16,"半导体, ",28.87亿
21,300210.SZ,300210,森远股份,专用机械,2.0,4.84,"雄安-建材, 3D打印, 智能制造, 雄安新区, 雄安-工程基建, 壳公司, ",19.37亿
22,300176.SZ,300176,派生科技,汽车配件,2.0,14.32,"特斯拉, 供应链金融, 汽车零部件, 宁德时代概念股, 互联网金融, 举牌股, 高送转, 股权转让, ",53.33亿
23,300431.SZ,300431,暴风集团,互联网,2.0,8.34,"家电, 创业板人气股, 直播/短视频, 大数据, 云计算, 人工智能, 区块链, 足球, VR&AR, 黑色家电, 手势识别, 体育产业, ",20.28亿
24,300156.SZ,300156,神雾环保,环境保护,2.0,3.27,"石墨电极, 大气治理, 环保, 京津冀, 碳交易, ",23.6亿
25,300029.SZ,300029,天龙光电,专用机械,2.0,7.28,"光伏, 壳公司, ",14.56亿
26,000622.SZ,000622,恒立实业,汽车配件,2.0,6.56,"汽车零部件, 壳公司, 强势人气股, ",27.89亿
27,603787.SH,603787,新日股份,摩托车,2.0,18.05,"共享经济, ",12.8亿
28,601388.SH,601388,怡球资源,铝,2.0,2.5,"有色-铝, 有色金属, 低价股, ",50.63亿
29,002447.SZ,002447,晨鑫科技,互联网,2.0,3.71,"网络安全, 区块链, 股权转让, 电竞, 游戏, 手游, ",50.11亿
30,600816.SH,600816,安信信托,多元金融,2.0,5.53,"MSCI, 金改, 信托, ",
31,300167.SZ,300167,迪威迅,通信设备,2.0,5.87,"智慧城市, 国资入股, 智慧安防, 壳公司, ",17.62亿
32,300032.SZ,300032,金龙机电,元器件,2.0,3.64,"小米概念股, 智能制造, 共享经济, 机器人, 壳公司, ",28.73亿
33,300090.SZ,300090,盛运环保,环境保护,2.0,2.43,"固废处理, 环保, 低价股, 股权转让, 壳公司, ",27.75亿
34,300105.SZ,300105,龙源技术,电器仪表,2.0,5.37,"电改, 央企改革, 大气治理, 环保, ",27.56亿
35,600540.SH,600540,新赛股份,种植业,1.0,6.13,"棉花, 新疆, 农垦, 新疆国企改革, 农业种植, 股权转让, ",28.87亿
36,600365.SH,600365,通葡股份,红黄药酒,1.0,5.54,"资产重组, ",22.16亿
37,600078.SH,600078,澄星股份,化工原料,1.0,4.29,"水电, 磷化工, ",28.42亿
38,600248.SH,600248,延长化建,建筑施工,1.0,4.96,"中科院系, 大基建, 资产重组, ",30.14亿
39,600250.SH,600250,南纺股份,商贸代理,1.0,7.84,"业绩预增, 人民币贬值受益, ",20.28亿
40,600771.SH,600771,广誉远,中成药,1.0,19.39,"社保重仓, 回购, 业绩预增, 医药, 中药, 国资入股, ",81.98亿
41,603789.SH,603789,星光农机,农用机械,1.0,16.58,"乡村振兴, 农机, ",43.11亿
42,600371.SH,600371,万向德农,种植业,1.0,13.79,"转基因, 乡村振兴, 万达系, 农业种植, 独角兽, 蚂蚁金服概念股, ",31.04亿
43,600805.SH,600805,悦达投资,综合类,1.0,6.39,"汽车整车, 社保重仓, 破净股, 农机, 石墨烯, ",54.33亿
44,603711.SH,603711,香飘飘,软饮料,1.0,32.74,"大消费, 饮料, ",15.16亿
45,600458.SH,600458,时代新材,塑料,1.0,9.87,"OLED, 央企改革, 风电, 高铁轨交, ",79.24亿
46,600475.SH,600475,华光股份,专用机械,1.0,11.56,"固废处理, 信托, 债转股-AMC, 定增破发, 环保, 地热, ",16.24亿
