,ts_code,symbol,name,industry,COL_RECENT_LIMIT_COUNT
0,601127.SH,601127,小康股份,汽车配件,7.0
1,605007.SH,605007,五洲特纸,造纸,6.0
2,000545.SZ,000545,金浦钛业,化工原料,6.0
3,002553.SZ,002553,南方轴承,汽车配件,5.0
4,600121.SH,600121,郑州煤电,煤炭开采,5.0
5,002646.SZ,002646,青青稞酒,白酒,5.0
6,600616.SH,600616,金枫酒业,红黄酒,4.0
7,300727.SZ,300727,润禾材料,化工原料,4.0
8,600199.SH,600199,金种子酒,白酒,4.0
9,600559.SH,600559,老白干酒,白酒,4.0
10,002379.SZ,002379,宏创控股,铝,4.0
11,601579.SH,601579,会稽山,红黄酒,4.0
12,003019.SZ,003019,宸展光电,元器件,4.0
13,002612.SZ,002612,朗姿股份,服饰,4.0
14,605068.SH,605068,明新旭腾,汽车配件,3.0
15,002172.SZ,002172,澳洋健康,化纤,3.0
16,601008.SH,601008,连云港,港口,3.0
17,000816.SZ,000816,智慧农业,农用机械,3.0
18,600428.SH,600428,中远海特,水运,3.0
19,002805.SZ,002805,丰元股份,化工原料,3.0
20,002096.SZ,002096,南岭民爆,化工原料,3.0
21,600321.SH,600321,正源股份,其他建材,3.0
22,002331.SZ,002331,皖通科技,软件服务,3.0
23,002245.SZ,002245,澳洋顺昌,仓储物流,3.0
24,000625.SZ,000625,长安汽车,汽车整车,3.0
25,600178.SH,600178,东安动力,汽车配件,3.0
26,002682.SZ,002682,龙洲股份,公路,2.0
27,300019.SZ,300019,硅宝科技,化工原料,2.0
28,600979.SH,600979,广安爱众,水力发电,2.0
29,603167.SH,603167,渤海轮渡,水运,2.0
30,003002.SZ,003002,壶化股份,化工原料,2.0
31,300032.SZ,300032,金龙机电,元器件,2.0
32,002752.SZ,002752,昇兴股份,广告包装,2.0
33,002819.SZ,002819,东方中科,电器仪表,2.0
34,002906.SZ,002906,华阳集团,汽车配件,2.0
35,601388.SH,601388,怡球资源,铝,2.0
36,002824.SZ,002824,和胜股份,铝,2.0
37,002786.SZ,002786,银宝山新,专用机械,2.0
38,601702.SH,601702,华峰铝业,铝,2.0
39,689009.SH,689009,九号公司-UWD,,2.0
40,300064.SZ,300064,ST金刚,矿物制品,2.0
41,300713.SZ,300713,英可瑞,电气设备,2.0
42,300907.SZ,300907,康平科技,电气设备,2.0
43,600059.SH,600059,古越龙山,红黄酒,2.0
44,300869.SZ,300869,康泰医学,医疗保健,2.0
45,600158.SH,600158,中体产业,文教休闲,2.0
46,300821.SZ,300821,东岳硅材,化工原料,2.0
47,300807.SZ,300807,天迈科技,软件服务,2.0
48,600189.SH,600189,泉阳泉,软饮料,2.0
49,600197.SH,600197,伊力特,白酒,2.0
50,300758.SZ,300758,七彩化学,染料涂料,2.0
51,600336.SH,600336,澳柯玛,家用电器,2.0
52,300681.SZ,300681,英搏尔,汽车配件,2.0
53,600798.SH,600798,宁波海运,水运,2.0
54,600418.SH,600418,江淮汽车,汽车整车,2.0
55,600543.SH,600543,莫高股份,红黄酒,2.0
56,300569.SZ,300569,天能重工,专用机械,2.0
57,300549.SZ,300549,优德精密,专用机械,2.0
58,600573.SH,600573,惠泉啤酒,啤酒,2.0
59,600596.SH,600596,新安股份,化工原料,2.0
60,002466.SZ,002466,天齐锂业,小金属,2.0
61,300442.SZ,300442,普丽盛,轻工机械,2.0
62,600722.SH,600722,金牛化工,化工原料,2.0
63,600733.SH,600733,北汽蓝谷,汽车整车,2.0
64,600679.SH,600679,上海凤凰,文教休闲,2.0
65,601919.SH,601919,中远海控,水运,2.0
66,000615.SZ,000615,奥园美谷,化纤,2.0
67,002227.SZ,002227,奥特迅,电气设备,2.0
68,002149.SZ,002149,西部材料,小金属,2.0
69,000889.SZ,000889,中嘉博创,通信设备,2.0
70,603619.SH,603619,中曼石油,石油开采,2.0
71,000622.SZ,000622,恒立实业,汽车配件,2.0
72,688133.SH,688133,泰坦科技,化工原料,2.0
73,605008.SH,605008,长鸿高科,塑料,2.0
74,688386.SH,688386,泛亚微透,化工原料,2.0
