,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_AMPLITUDE,COL_FLOAT_HOLDERS
0,600022.SH,600022,山东钢铁,普钢,1.42,True,15.44715447154472,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中信银行股份有限公司-建信中证500指数增强型证券投资基金"
1,601929.SH,601929,吉视传媒,影视音像,2.19,True,12.56281407035178,中央汇金资产管理有限责任公司
2,600569.SH,600569,安阳钢铁,普钢,2.21,True,13.33333333333333,中央汇金资产管理有限责任公司
3,600231.SH,600231,凌钢股份,普钢,2.41,True,13.145539906103298,"宁波宁聚资产管理中心(有限合伙)-宁聚量化精选证券投资基金
宁波宁聚资产管理中心(有限合伙)-宁聚满天星2期对冲基金
宁波宁聚资产管理中心(有限合伙)-宁聚量化稳盈优享私募证券投资基金"
4,300111.SZ,300111,向日葵,半导体,2.44,True,13.513513513513509,
5,600256.SH,600256,广汇能源,石油开采,2.74,True,13.223140495867792,"中央汇金资产管理有限责任公司
华龙证券-浦发银行-华龙证券金智汇31号集合资产管理计划
香港中央结算有限公司(陆股通)
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
6,601588.SH,601588,北辰实业,区域地产,2.82,True,9.302325581395344,"香港中央结算有限公司(陆股通)
基本养老保险基金一二零四组合"
7,000753.SZ,000753,漳州发展,汽车服务,2.83,True,14.509803921568643,领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
8,600715.SH,600715,文投控股,影视音像,2.85,True,23.868312757201625,"中国民生信托有限公司-中国民生信托-至信516号证券投资集合资金信托计划
上海丰煜投资有限公司-丰煜-稳盈证券投资基金1号"
9,600808.SH,600808,马钢股份,普钢,2.86,True,18.181818181818187,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
福建滚雪球投资管理有限公司-嘉耀滚雪球1号证券投资基金
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国银行股份有限公司-富国中证国企一带一路交易型开放式指数证券投资基金
中国建设银行股份有限公司-易方达中证国企一带一路交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
10,002431.SZ,002431,棕榈股份,建筑工程,3.03,True,24.691358024691333,中央汇金资产管理有限责任公司
11,000937.SZ,000937,冀中能源,煤炭开采,3.12,True,6.1224489795918435,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
12,002154.SZ,002154,报喜鸟,服饰,3.23,True,23.29749103942651,中央汇金资产管理有限责任公司
13,600581.SH,600581,八一钢铁,普钢,3.24,True,9.459459459459474,中央汇金资产管理有限责任公司
14,600117.SH,600117,西宁特钢,特种钢,3.31,True,14.137931034482754,
15,000778.SZ,000778,新兴铸管,钢加工,3.5,True,6.060606060606055,"香港中央结算有限公司(陆股通)
全国社保基金四一三组合
安徽高新毅达皖江产业发展创业投资基金(有限合伙)
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
16,600665.SH,600665,天地源,全国地产,3.54,True,6.586826347305386,领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
17,600684.SH,600684,珠江实业,全国地产,3.69,True,22.18543046357615,香港中央结算有限公司(陆股通)
18,603993.SH,603993,洛阳钼业,小金属,3.78,True,12.835820895522376,"中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
建信基金-工商银行-陕西省国际信托-陕国投·金玉6号定向投资集合资金信托计划
中国国有企业结构调整基金股份有限公司
民生加银基金-宁波银行-嘉兴民琉投资合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
全国社保基金一零八组合"
19,600959.SH,600959,江苏有线,影视音像,3.87,True,14.15929203539823,江苏紫金文化产业二期创业投资基金(有限合伙)
20,300148.SZ,300148,天舟文化,出版业,4.01,True,22.72727272727273,国金证券-浦发银行-国金天舟文化1号集合资产管理计划
21,601001.SH,601001,大同煤业,煤炭开采,4.04,True,19.174041297935098,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金
中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金"
