,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LASTPRICE,concept,circ_mv
0,300782.SZ,300782,卓胜微,元器件,8.0,108.92,,27.23亿
1,603863.SH,603863,松炀资源,造纸,5.0,23.08,,11.88亿
2,300594.SZ,300594,朗进科技,运输设备,5.0,44.11,,9.8亿
3,603738.SH,603738,泰晶科技,元器件,4.0,25.86,"被动元件, 华为产业链, ",15.2亿
4,002645.SZ,002645,华宏科技,专用机械,3.0,8.83,"稀土磁材, 垃圾分类, ",
5,000544.SZ,000544,中原环保,环境保护,2.0,7.57,"水务, 破净股, PPP, 环保, 污水处理, 国资入股, ",39.49亿
6,300362.SZ,300362,天翔环境,环境保护,2.0,4.88,"环保, 污水处理, 股权转让, 资产重组, 壳公司, ",15.36亿
7,603797.SH,603797,联泰环保,环境保护,2.0,13.55,"粤港澳大湾区, 环保, 污水处理, ",10.12亿
8,603283.SH,603283,赛腾股份,专用机械,2.0,26.17,"工业自动化, 智能制造, 半导体, 苹果产业链, ",10.73亿
9,300648.SZ,300648,星云股份,电器仪表,2.0,20.71,"华为产业链, 宁德时代概念股, 储能, 锂电池, 燃料电池, 新能源汽车, ",12.43亿
10,002463.SZ,002463,沪电股份,元器件,2.0,13.62,"PCB板, 业绩预增, 无人驾驶, ",229.94亿
11,300275.SZ,300275,梅安森,软件服务,1.0,11.15,"社保重仓, 雄安-智慧城市, 智能仪表, 环保, 雄安新区, 污水处理, 智慧城市, 智慧安防, 资产重组, 壳公司, ",13.11亿
12,600968.SH,600968,海油发展,石油开采,1.0,3.55,,66.21亿
13,603867.SH,603867,N新化,化工原料,1.0,25.81,,9.03亿
14,000993.SZ,000993,闽东电力,水力发电,1.0,8.47,"水电, 电改, 风电, 宁德时代概念股, 债转股-AMC, 稀土磁材, 锂电池, 新能源汽车, 强势人气股, ",31.59亿
15,002272.SZ,002272,川润股份,机械基件,1.0,5.5,"业绩预增, 壳公司, ",17.87亿
16,603648.SH,603648,畅联股份,仓储物流,1.0,11.72,"智慧物流, 智能制造, 上海国企改革, 快递物流, 自贸区, 自由贸易港, 上海自由贸易港, ",32.02亿
17,300022.SZ,300022,吉峰科技,农用机械,1.0,5.28,"乡村振兴, 农机, 工业大麻, ",18.1亿
18,601330.SH,601330,绿色动力,环境保护,1.0,15.51,"固废处理, 环保, 垃圾分类, ",39.65亿
19,600744.SH,600744,华银电力,火力发电,1.0,3.47,"火电, 电改, 央企改革, 风电, 碳交易, ",28.72亿
20,300243.SZ,300243,瑞丰高材,化工原料,1.0,9.78,"供应链金融, ",18.27亿
21,600653.SH,600653,申华控股,汽车服务,1.0,2.54,"教育, 汽车销售, 风电, 低价股, 共享经济, 资产重组, ",49.44亿
22,600528.SH,600528,中铁工业,建筑施工,1.0,11.57,"中字头, 一带一路, 央企改革, 大基建, 高铁轨交, ",212.63亿
23,300140.SZ,300140,中环装备,电气设备,1.0,11.63,"央企改革, 雄安-园林环保, 大气治理, 环保, 雄安新区, 资产重组, ",28.71亿
24,300779.SZ,300779,惠城环保,环境保护,1.0,52.04,"次新股, 固废处理, 环保, ",13.01亿
25,000838.SZ,000838,财信发展,区域地产,1.0,3.74,"固废处理, 高质押率, 房地产, 环保, 住房租赁, ",23.64亿
26,300631.SZ,300631,久吾高科,环境保护,1.0,22.32,"高送转-预期, 社保重仓, 稀土磁材, 锂电池, 环保, 新能源汽车, 污水处理, 燃料乙醇, ",15.47亿
27,300224.SZ,300224,正海磁材,元器件,1.0,8.87,"超级高铁, 百度概念股, 稀土磁材, ",65.29亿
28,603903.SH,603903,中持股份,环境保护,1.0,16.18,"雄安-园林环保, 环保, 雄安新区, 污水处理, ",12.0亿
