,ts_code,symbol,name,industry,COL_MAX_CONTINUOUS_LIMIT_COUNT,COL_LAST_IF_LIMIT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,603157.SH,603157,*ST拉夏,服饰,9.0,False,4.68,,0.0
1,002175.SZ,002175,*ST东网,电器仪表,6.0,False,15.6,上海文盛资产管理股份有限公司,1.0
2,002592.SZ,002592,ST八菱,汽车配件,5.0,False,12.59,"国海证券-工商银行-国海金贝壳员工持股2号集合资产管理计划
南宁八菱科技股份有限公司-第2期员工持股计划+国海证券-工商银行-国海金贝壳员工持股2号集合资产管理计划",2.0
3,000835.SZ,000835,*ST长动,影视音像,4.0,False,8.18,,0.0
4,002356.SZ,002356,*ST赫美,其他商业,4.0,False,11.27,,0.0
5,600408.SH,600408,ST安泰,焦炭加工,4.0,False,35.74,,0.0
6,600091.SH,600091,*ST明科,化工原料,4.0,False,10.85,,0.0
7,002089.SZ,002089,ST新海,通信设备,3.0,False,22.46,陕西省国际信托股份有限公司-陕国投·祥瑞5号结构化证券投资集合资金信托计划,1.0
8,300313.SZ,300313,ST天山,农业综合,3.0,False,13.87,,0.0
9,600608.SH,600608,ST沪科,钢加工,3.0,False,16.49,,0.0
10,600518.SH,600518,*ST康美,中成药,3.0,False,98.32,"大成基金-农业银行-大成中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
五矿国际信托有限公司-五矿信托-优质精选上市公司投资单一资金信托
银华基金-农业银行-银华中证金融资产管理计划",4.0
11,600112.SH,600112,*ST天成,电气设备,3.0,False,7.89,,0.0
12,300530.SZ,300530,*ST达志,化工原料,3.0,False,18.11,"玖盈资本管理(深圳)有限责任公司-玖盈二号私募证券投资基金
深圳市前海小龙资产管理有限公司-小龙趋势1号私募证券投资基金
深圳市君如资产管理顾问有限公司-君如木兰1号私募证券投资基金
深圳市君如资产管理顾问有限公司-君如价值1号私募证券投资基金",4.0
13,300312.SZ,300312,*ST邦讯,通信设备,3.0,False,6.72,"深圳市鼎益丰基金投资管理有限公司-鼎益丰天河1号私募证券投资基金
中国国际金融香港资产管理有限公司-客户资金2",2.0
14,002147.SZ,002147,*ST新光,区域地产,3.0,False,12.94,"光大保德信资管-浦发银行-光大保德信耀财富富增6号分级专项资产管理计划
光大保德信资管-浦发银行-光大保德信耀财富富增4号专项资产管理计划
信诚基金-中信银行-信诚基金定众1号分级资产管理计划
申万菱信基金-工商银行-创盈定增71号资产管理计划",4.0
15,300064.SZ,300064,*ST金刚,矿物制品,3.0,False,13.58,,0.0
16,000410.SZ,000410,*ST沈机,机床制造,3.0,False,68.58,"兴业资产管理有限公司
中国信达资产管理股份有限公司",2.0
17,002473.SZ,002473,*ST圣莱,家用电器,3.0,False,9.76,"融通资本-招商银行-华润信托-华润信托·润金76号集合资金信托计划
新时代信托股份有限公司
西藏晟新创资产管理有限公司",3.0
18,002219.SZ,002219,*ST恒康,中成药,3.0,False,66.94,"四川产业振兴发展投资基金有限公司
华龙证券-浦发银行-华龙证券金智汇质押宝4号集合资产管理计划
盛世金泉(天津)股权投资基金管理有限公司
长安基金-工商银行-华鑫信托-鑫康财富3号单一资金信托
新余恒道资产管理中心(有限合伙)",5.0
19,002188.SZ,002188,*ST巴士,广告包装,3.0,False,7.66,,0.0
20,000007.SZ,000007,*ST全新,酒店餐饮,3.0,False,11.12,,0.0
