,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_LIMIT_COUNT,COL_LAST_CHG,COL_MIN_MAX_GAP,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300967.SZ,300967,C晓鸣,农业综合,True,1.0,-17.4152,21.087636932707365,27.58573669758811,10.31,,0.0
1,600467.SH,600467,好当家,渔业,True,1.0,-3.0822,18.699186991869922,0.5448739565217391,40.03,,0.0
2,605378.SH,605378,野马电池,电气设备,True,3.0,9.9964,21.00906582577846,0.4765466529080679,11.26,,0.0
3,600843.SH,600843,上工申贝,纺织机械,True,1.0,9.9644,21.176470588235308,0.4705411111111108,18.61,"中国长城资产管理股份有限公司
上海国际集团资产管理有限公司",2.0
4,603139.SH,603139,康惠制药,中成药,True,1.0,10.0183,22.267481330617798,0.4499071920731705,17.36,陕西德同福方投资管理有限公司-陕西省新材料高技术创业投资基金(有限合伙),1.0
5,600828.SH,600828,茂业商业,百货,True,1.0,10.1064,22.48520710059172,0.4494688421052631,69.43,"中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF)
香港中央结算有限公司(陆股通)",2.0
6,600513.SH,600513,联环药业,化学制药,True,1.0,-1.1399,22.61753494282084,0.4436469325842697,26.35,上海意定投资管理有限公司-上海意志坚定1期全天候证券投资基金,1.0
7,000720.SZ,000720,新能泰山,区域地产,True,1.0,-1.7199,22.590361445783145,0.44266666666666643,34.19,香港中央结算有限公司(陆股通),1.0
8,600693.SH,600693,东百集团,百货,True,0.0,3.4803,8.252427184466015,0.42173047058823554,39.66,国通信托有限责任公司-国通信托·紫金16号集合资金信托计划,1.0
9,605118.SH,605118,力鼎光电,元器件,True,1.0,10.0326,24.008810572687246,0.4178715963302749,6.99,,0.0
10,601019.SH,601019,山东出版,出版业,True,0.0,6.1538,14.787430683918657,0.41615072500000033,130.85,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
山东明湖投资管理有限公司-山东明湖价值成长1号私募证券基金
摩根士丹利投资管理公司-摩根士丹利中国A股基金
中国信达资产管理股份有限公司
中国农业银行股份有限公司-景顺长城能源基建混合型证券投资基金
香港中央结算有限公司(陆股通)",6.0
11,300094.SZ,300094,国联水产,渔业,True,1.0,-5.8712,49.57507082152976,0.4034285714285713,39.12,"中国华融资产管理股份有限公司
中国对外经济贸易信托有限公司-外贸信托-汇沣8号结构化证券投资集合资金信托计划
广东省农业供给侧结构性改革基金管理有限公司-广东省农业供给侧结构性改革基金合伙企业(有限合伙)",3.0
12,603123.SH,603123,翠微股份,百货,True,1.0,9.9415,25.124792013311147,0.39568486754966886,38.63,,0.0
13,605218.SH,605218,伟时电子,元器件,True,1.0,9.9932,25.7915057915058,0.3874608982035927,8.35,"上海量宇资产管理有限公司-量宇冠一十号私募证券投资基金
福建平潭唐龙资产管理有限公司-唐龙定制1号私募证券投资基金
福建平潭唐龙资产管理有限公司-唐龙新周期1号私募证券投资基金",3.0
14,002154.SZ,002154,报喜鸟,服饰,True,1.0,10.0575,25.986842105263165,0.3870227848101265,42.84,中央汇金资产管理有限责任公司,1.0
15,600113.SH,600113,浙江东日,区域地产,True,0.0,-2.3438,12.280701754385959,0.38648442857142873,25.67,,0.0
16,605388.SH,605388,均瑶健康,软饮料,True,1.0,10.0107,26.073619631901845,0.38393978823529407,14.04,"东吴证券-南京银行-东吴星阳6号集合资产管理计划
中儒资产管理(杭州)有限公司-中儒吉兔1号私募证券投资基金",2.0
17,300272.SZ,300272,开能健康,环境保护,True,1.0,20.0378,53.75302663438257,0.37277528828828826,23.79,上海市建国社会公益基金会,1.0
18,600171.SH,600171,上海贝岭,半导体,True,0.0,5.9373,16.59324522760648,0.3578142743362827,110.33,"国泰君安证券股份有限公司-国联安中证全指半导体产品与设备交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国工商银行股份有限公司-易方达中证人工智能主题交易型开放式指数证券投资基金
中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",6.0
19,300755.SZ,300755,华致酒行,其他商业,True,1.0,13.6701,38.336347197106704,0.3565832688679244,36.01,"中国工商银行-广发大盘成长混合型证券投资基金
横琴广金美好基金管理有限公司-广金美好玻色七号私募证券投资基金
中国工商银行股份有限公司-汇添富策略回报混合型证券投资基金
深圳格律资产管理有限公司-格律连赢1号私募证券投资基金
香港中央结算有限公司(陆股通)",5.0
