,ts_code,name,industry,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,688012.SH,中微公司,专用机械,171.01,41.23,"深圳德威资本投资管理有限公司-德威资本优盛私募基金
中国银行股份有限公司-宝盈核心优势灵活配置混合型证券投资基金
民生通惠资产-工商银行-民生通惠通汇4号资产管理产品
中国工商银行股份有限公司-诺安新经济股票型证券投资基金"
1,002291.SZ,星期六,服饰,33.24,35.37,金鹰基金-民生银行-金鹰筠业琢石资产管理计划
2,000700.SZ,模塑科技,汽车配件,7.63,35.2,
3,300598.SZ,诚迈科技,软件服务,216.55,30.01,"上海国和现代服务业股权投资基金合伙企业(有限合伙)
中国工商银行股份有限公司-南方大数据100指数证券投资基金"
4,002605.SZ,姚记科技,文教休闲,35.08,26.67,全国社保基金六零四组合
5,603901.SH,永创智能,专用机械,12.95,20.03,"诺德基金-招商银行-诺德基金千金111号特定客户资产管理计划
诺德基金-招商银行-诺德基金千金134号特定客户资产管理计划
全国社保基金一一三组合"
6,002740.SZ,爱迪尔,服饰,9.49,20.03,
7,600114.SH,东睦股份,机械基件,12.56,20.0,"香港中央结算有限公司(陆股通)
宁波旭弘投资管理合伙企业(有限合伙)-旭弘铭远一号私募证券投资基金
全国社保基金一零七组合
创金合信基金-工商银行-鹏华资产管理(深圳)有限公司"
8,002878.SZ,元隆雅图,文教休闲,43.88,20.0,"招商银行股份有限公司-鹏华新兴产业混合型证券投资基金
中国银行股份有限公司-华夏经济转型股票型证券投资基金
基本养老保险基金一二零三组合
鹏华基金-建设银行-中国人寿-中国人寿委托鹏华基金公司混合型组合
中国工商银行股份有限公司-广发多策略灵活配置混合型证券投资基金
中国银行股份有限公司-华夏科技成长股票型证券投资基金
中国工商银行-广发聚富开放式证券投资基金"
9,603501.SH,韦尔股份,半导体,173.8,19.21,"全国社保基金四零一组合
全国社保基金一一四组合
中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
全国社保基金一零四组合"
10,300397.SZ,天和防务,通信设备,40.89,19.2,
11,300083.SZ,劲胜智能,元器件,4.59,17.86,
12,000818.SZ,航锦科技,化工原料,23.29,17.4,"国民信托有限公司-国民信托四方5号证券投资集合资金信托计划
香港中央结算有限公司(陆股通)"
13,600745.SH,闻泰科技,通信设备,110.48,17.26,全国社保基金一零一组合
14,002185.SZ,华天科技,半导体,8.94,16.76,"广州汇垠天粤股权投资基金管理有限公司
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
广发基金管理有限公司-社保基金四二零组合
中央汇金资产管理有限责任公司
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国农业银行股份有限公司-宝盈策略增长混合型证券投资基金
广发基金-中国银行-中银国际证券有限责任公司
中国农业银行股份有限公司-中邮信息产业灵活配置混合型证券投资基金"
15,000998.SZ,隆平高科,种植业,20.75,16.75,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中航信托股份有限公司-天顺(2017)519号隆平高科证券投资单一资金信托
中央汇金资产管理有限责任公司
全国社保基金一一五组合"
16,300709.SZ,精研科技,元器件,123.98,16.61,"中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
中国建设银行股份有限公司-中欧明睿新常态混合型证券投资基金
中国工商银行股份有限公司-中欧远见两年定期开放混合型证券投资基金"
17,002056.SZ,横店东磁,元器件,10.47,16.51,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
18,300672.SZ,国科微,半导体,54.8,16.22,国家集成电路产业投资基金股份有限公司
19,600966.SH,博汇纸业,造纸,6.77,15.9,兴业国际信托有限公司-兴业信托·博汇纸业1号员工持股集合资金信托计划
20,300031.SZ,宝通科技,互联网,18.98,15.82,"#上海玖歌投资管理有限公司-华采创富私募证券投资基金
渤海国际信托股份有限公司-渤海信托·海汇9号证券投资单一资金信托
渤海国际信托股份有限公司-渤海信托·海汇10号证券投资单一资金信托
#上海玖歌投资管理有限公司-荣俊2号私募投资基金
#安徽明泽投资管理有限公司-明泽智渊价值精选私募证券投资基金
上海兴全睿众-招商银行-兴全睿众-宝通1号分级特定多客户资产管理计划
上海玖歌投资管理有限公司-华采创富私募证券投资基金
上海玖歌投资管理有限公司-荣俊2号私募投资基金
安徽明泽投资管理有限公司-明泽智渊价值精选私募证券投资基金"
21,603690.SH,至纯科技,专用机械,37.6,15.66,"全国社保基金一零四组合
基本养老保险基金一二零二组合
中国银行股份有限公司-宝盈核心优势灵活配置混合型证券投资基金
全国社保基金四一一组合
中国工商银行股份有限公司-中海量化策略股票型证券投资基金
中国银行股份有限公司-海富通股票混合型证券投资基金"
22,300643.SZ,万通智控,汽车配件,25.31,15.55,
23,600223.SH,鲁商发展,区域地产,10.68,15.55,
24,603005.SH,晶方科技,半导体,61.9,15.39,"国家集成电路产业投资基金股份有限公司
中央汇金资产管理有限责任公司"
25,603986.SH,兆易创新,半导体,252.2,15.36,"国家集成电路产业投资基金股份有限公司
陕西省国际信托股份有限公司-陕国投·财富28号单一资金信托
香港中央结算有限公司(陆股通)
全国社保基金四零一组合
中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金"
26,002065.SZ,东华软件,软件服务,14.42,15.27,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金
招商银行股份有限公司-光大保德信优势配置混合型证券投资基金
中央汇金资产管理有限责任公司"
27,300613.SZ,富瀚微,半导体,189.11,15.03,"中国建设银行股份有限公司-华安低碳生活混合型证券投资基金
中国工商银行-华安中小盘成长混合型证券投资基金
中国工商银行股份有限公司-华商新锐产业灵活配置混合型证券投资基金
中国工商银行股份有限公司-南方大数据100指数证券投资基金
中国农业银行股份有限公司-华安智能装备主题股票型证券投资基金"
28,002530.SZ,金财互联,软件服务,15.45,14.31,"全国社保基金一零二组合
香港中央结算有限公司(陆股通)"
29,300655.SZ,晶瑞股份,化工原料,36.85,13.37,上海聚源聚芯集成电路产业股权投资基金中心(有限合伙)
30,002409.SZ,雅克科技,化工原料,28.79,12.6,"华泰瑞联基金管理有限公司-江苏华泰瑞联并购基金(有限合伙)
农银无锡股权投资基金企业(有限合伙)"
31,300192.SZ,科斯伍德,文教休闲,16.51,11.6,"中国建设银行股份有限公司-华宝生态中国混合型证券投资基金
华夏成长证券投资基金
中国银行股份有限公司-华宝动力组合混合型证券投资基金"
32,300464.SZ,星徽精密,机械基件,16.47,11.54,"浙江牧容资产管理有限公司-牧容定制荣耀5号私募基金
浙江晖鸿投资管理有限公司-晖鸿掘金9号私募证券投资基金
浙江晖鸿投资管理有限公司-晖鸿掘金8号私募证券投资基金
浙江晖鸿投资管理有限公司-晖鸿掘金6号私募证券投资基金"
33,600703.SH,三安光电,半导体,20.98,11.3,"国家集成电路产业投资基金股份有限公司
香港中央结算有限公司(陆股通)
兴业国际信托有限公司-兴业信托·三安增持2期集合资金信托计划
中央汇金资产管理有限责任公司"
34,002131.SZ,利欧股份,互联网,3.27,10.1,"华润深国投信托有限公司-华润信托·增利26号单一资金信托
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
35,603626.SH,科森科技,专用机械,11.64,10.03,"华宝信托有限责任公司-华宝-裕祥1号集合资金信托计划
交通银行股份有限公司-东吴安盈量化灵活配置混合型证券投资基金"
36,002351.SZ,漫步者,IT设备,25.37,10.02,"中央汇金资产管理有限责任公司
中国建设银行股份有限公司-融通通乾研究精选灵活配置混合型证券投资基金
融通新蓝筹证券投资基金"
37,300391.SZ,康跃科技,机械基件,9.39,10.02,"北京闻名投资基金管理有限公司-闻名福沃汽车产业私募股权投资基金
国通信托有限责任公司
建信基金-浦发银行-云南信托-云南信托汇义12号集合资金信托计划
深圳红树湾资产管理有限公司-红树湾科技产业升级投资基金
中央汇金资产管理有限责任公司"
38,002846.SZ,英联股份,广告包装,21.18,10.01,
39,300707.SZ,威唐工业,专用机械,24.19,10.01,
40,600699.SH,均胜电子,汽车配件,22.25,10.01,"金鹰基金-浦发银行-万向信托-万向信托-均胜2号事务管理类单一资金信托
浙江浙商产融资产管理有限公司
金鹰基金-浦发银行-万向信托-万向信托-均胜1号事务管理类单一资金信托
国联安基金-工商银行-国联安-齐瑞管理1号资产管理计划
华富基金-工商银行-华富基金东方同胜1号资产管理计划"
41,603229.SH,奥翔药业,化学制药,22.79,10.0,
42,603721.SH,中广天择,影视音像,29.3,10.0,天津天图兴盛股权投资基金合伙企业(有限合伙)
43,300552.SZ,万集科技,软件服务,95.5,10.0,"中国建设银行股份有限公司-华夏科技创新混合型证券投资基金
中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金
中国农业银行股份有限公司-华夏复兴混合型证券投资基金
中国工商银行股份有限公司-嘉实事件驱动股票型证券投资基金"
44,603305.SH,旭升股份,汽车配件,53.09,9.99,"中国建设银行股份有限公司-富国中证新能源汽车指数分级证券投资基金
香港中央结算有限公司(陆股通)
交通银行股份有限公司-工银瑞信双利债券型证券投资基金
汇添富基金管理股份有限公司-社保基金四二三组合"
45,300416.SZ,苏试试验,电器仪表,36.56,9.99,"中国工商银行股份有限公司-泓德远见回报混合型证券投资基金
江苏省现代服务业发展创业投资基金(有限合伙)
中央汇金资产管理有限责任公司
招商银行股份有限公司-泓德三年封闭运作丰泽混合型证券投资基金"
46,603773.SH,沃格光电,元器件,38.8,9.99,深圳市富海新材股权投资基金(有限合伙)
47,002497.SZ,雅化集团,化工原料,9.96,9.99,中央汇金资产管理有限责任公司
48,300004.SZ,南风股份,电气设备,7.61,9.99,
49,300346.SZ,南大光电,元器件,20.49,9.98,"上海睿扬投资管理有限公司-睿扬专享3号私募证券投资基金
上海朴道瑞富投资管理中心(有限合伙)-朴道二期基金"
50,002105.SZ,信隆健康,文教休闲,7.0,9.97,"华泰证券股份有限公司-中庚价值领航混合型证券投资基金
兴业银行股份有限公司-光大保德信红利混合型证券投资基金
兴业银行股份有限公司-光大保德信红利混合型证券投资基金
深圳能量互强资产管理有限公司-瑾瑜共赢一号私募证券投资基金"
51,000676.SZ,智度股份,互联网,10.76,9.96,香港中央结算有限公司(陆股通)
52,300063.SZ,天龙集团,互联网,4.43,9.91,
53,603178.SH,圣龙股份,汽车配件,12.86,9.86,
54,002850.SZ,科达利,机械基件,55.96,9.86,"中国工商银行股份有限公司-易方达新兴成长灵活配置混合型证券投资基金
广发证券股份有限公司-中庚小盘价值股票型证券投资基金
华泰证券股份有限公司-中庚价值领航混合型证券投资基金
中国农业银行股份有限公司-华夏复兴混合型证券投资基金"
55,601231.SH,环旭电子,元器件,21.92,9.6,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
全国社保基金一一三组合
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
56,300465.SZ,高伟达,软件服务,14.49,9.29,"中央汇金资产管理有限责任公司
桐乡琛宝投资管理有限公司-琛宝创玺四号私募证券投资基金"
57,300639.SZ,凯普生物,医疗保健,27.26,9.18,"武汉比邻之家股权投资基金管理中心(有限合伙)
上海盛宇股权投资中心(有限合伙)-盛宇21号私募证券投资基金
建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合
建信基金-建设银行-中国人寿-中国人寿委托建信基金公司股票型组合
中国工商银行股份有限公司-南方大数据100指数证券投资基金"
58,603990.SH,麦迪科技,软件服务,42.63,8.78,"中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF)
北京睿策投资管理有限公司-睿策多策略一期私募基金
北京睿策投资管理有限公司-睿策专户二号私募基金"
59,603722.SH,阿科力,化工原料,36.46,8.09,无锡金投产业升级股权投资基金企业(有限合伙)
60,600883.SH,博闻科技,水泥,10.13,7.85,"全国社保基金六零四组合
浙江君合投资管理有限公司-君合和盈二号私募证券投资基金
中国工商银行股份有限公司-创金合信沪港深研究精选灵活配置混合型证券投资基金
西藏神州牧基金管理有限公司-天路一号证券投资私募基金"
61,603035.SH,常熟汽饰,汽车配件,16.98,7.5,深圳菁英时代资本管理有限公司-菁英时代常盈1号私募基金
