,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,last_p_change,circ_mv
3526,603882.SH,金域医学,医疗保健,4.0,-0.403,-1.649,10.014,660508.1872
2449,600377.SH,宁沪高速,路桥,4.0,-0.578,-2.3,0.102,3714425.7652
2483,600421.SH,ST仰帆,机械基件,4.0,-1.026,-4.051,3.0,181321.2
1962,300582.SZ,英飞特,半导体,3.0,0.301,0.573,4.43,196982.021
2576,600548.SH,深高速,路桥,3.0,-0.244,-0.738,0.318,1354440.4581
1018,002558.SZ,巨人网络,互联网,3.0,-0.387,-1.185,0.45,858489.8136
1941,300559.SZ,佳发教育,软件服务,3.0,-0.745,-2.296,1.549,293398.2213
944,002483.SZ,润邦股份,工程机械,3.0,-0.985,-2.934,0.0,266478.368
2128,300757.SZ,罗博特科,专用机械,3.0,-1.132,-3.422,3.748,152260.0
2157,600033.SH,福建高速,路桥,3.0,0.214,0.633,0.314,875463.6
2206,600095.SH,哈高科,区域地产,3.0,0.091,0.239,0.0,151730.6973
2323,600228.SH,ST昌九,化工原料,3.0,-0.252,-0.765,0.386,188470.92
1536,300149.SZ,量子生物,食品,3.0,-1.149,-3.412,0.548,668895.8462
2947,601006.SH,大秦铁路,铁路,3.0,-0.531,-1.609,2.103,12993575.7631
96,000429.SZ,粤高速A,路桥,3.0,0.077,0.225,3.708,432753.1862
2743,600733.SH,北汽蓝谷,汽车整车,2.0,-0.051,-0.122,0.0,325061.1
3099,601888.SH,中国国旅,旅游服务,2.0,-0.403,-0.906,0.375,12007724.5956
1542,300155.SZ,安居宝,元器件,2.0,-0.259,-0.589,1.976,143189.1775
1871,300487.SZ,蓝晓科技,化工原料,2.0,0.284,0.528,1.453,355697.4198
3505,603833.SH,欧派家居,家居用品,2.0,-0.646,-1.377,0.548,862224.3266
3236,603185.SH,上机数控,机床制造,2.0,0.694,1.361,0.141,178542.0
2126,300755.SZ,华致酒行,其他商业,2.0,-0.279,-0.587,0.394,177197.2097
3087,601858.SH,中国科传,出版业,2.0,-1.525,-3.14,0.304,188595.0
2813,600810.SH,神马股份,化纤,2.0,0.128,0.163,6.58,580271.36
2196,600083.SH,博信股份,建筑施工,2.0,-0.4,-0.812,0.701,392832.5007
3083,601818.SH,光大银行,银行,2.0,-0.365,-0.741,0.249,16043645.9705
3039,601558.SH,ST锐电,电气设备,2.0,0.013,-0.0,0.0,707692.7999
2334,600239.SH,云南城投,区域地产,2.0,0.597,1.176,6.395,587681.4087
2337,600242.SH,中昌数据,软件服务,2.0,0.022,-0.0,4.467,369356.0796
1237,002783.SZ,凯龙股份,化工原料,2.0,0.77,1.489,0.933,252747.16
2457,600386.SH,北巴传媒,公共交通,2.0,0.03,0.0,9.489,362880.0
38,000048.SZ,*ST康达,饲料,2.0,-0.104,-0.21,3.571,759993.5505
697,002235.SZ,安妮股份,互联网,2.0,-0.638,-1.384,1.93,290689.191
899,002438.SZ,江苏神通,机械基件,2.0,0.008,-0.0,0.784,238864.2088
128,000536.SZ,华映科技,元器件,2.0,-1.138,-2.479,10.17,520869.3264
515,002053.SZ,云南能投,食品,2.0,0.086,0.138,0.137,270970.9082
720,002259.SZ,ST升达,供气供热,2.0,0.464,0.922,1.37,160655.9754
891,002430.SZ,杭氧股份,化工机械,2.0,-0.106,-0.279,3.452,1053336.8657
3582,603996.SH,中新科技,家用电器,2.0,-0.765,-1.598,3.959,307353.6
1048,002588.SZ,史丹利,农药化肥,1.0,2.759,2.759,3.803,338556.6567
2710,600698.SH,湖南天雁,汽车配件,1.0,2.493,2.493,2.703,280103.2664
599,002137.SZ,麦达数字,互联网,1.0,3.537,3.537,2.019,239702.5796
2746,600736.SH,苏州高新,园区开发,1.0,2.113,2.113,0.517,671203.7648
2754,600744.SH,华银电力,火力发电,1.0,2.007,2.007,0.328,253256.127
548,002086.SZ,东方海洋,渔业,1.0,-4.988,-4.988,4.987,190246.88
2865,600868.SH,梅雁吉祥,水力发电,1.0,2.581,2.581,2.83,620694.618
1321,002875.SZ,安奈儿,服饰,1.0,0.0,0.0,5.851,77364.235
2949,601008.SH,连云港,港口,1.0,1.475,1.475,1.163,353294.8551
2959,601021.SH,春秋航空,空运,1.0,0.912,0.912,0.783,3065567.775
2965,601069.SH,西部黄金,黄金,1.0,1.702,1.702,3.857,907572.0
3015,601298.SH,青岛港,港口,1.0,1.59,1.59,1.707,324878.84
514,002052.SZ,同洲电子,通信设备,1.0,3.491,3.491,4.337,322997.7421
3054,601615.SH,明阳智能,机械基件,1.0,1.966,1.966,9.975,361980.8
479,002017.SZ,东信和平,通信设备,1.0,9.991,9.991,8.379,477637.4688
379,000897.SZ,津滨发展,区域地产,1.0,2.033,2.032,0.398,407545.6478
303,000782.SZ,美达股份,化纤,1.0,2.252,2.252,0.0,202627.9044
3119,601975.SH,ST长油,水运,1.0,0.877,0.877,0.0,436666.9501
3141,603012.SH,创力集团,专用机械,1.0,-0.989,-0.989,3.745,528981.36
3155,603028.SH,赛福天,钢加工,1.0,2.112,2.112,0.73,95690.853
3198,603103.SH,横店影视,影视音像,1.0,1.936,1.936,0.618,120734.0
299,000777.SZ,中核科技,机械基件,1.0,1.82,1.82,3.03,508397.0866
3298,603330.SH,上海天洋,塑料,1.0,-0.152,-0.152,1.069,62605.6809
3300,603332.SH,苏州龙杰,化纤,1.0,2.631,2.631,1.472,118880.53
1110,002650.SZ,加加食品,食品,1.0,2.029,2.029,1.704,339059.7451
3517,603868.SH,飞科电器,家用电器,1.0,1.661,1.661,0.687,185343.6
107,000509.SZ,华塑控股,其他建材,1.0,3.69,3.69,2.847,238563.6833
2734,600724.SH,宁波富达,区域地产,1.0,1.424,1.425,0.0,514399.5884
609,002147.SZ,ST新光,区域地产,1.0,2.326,2.326,2.652,145523.4792
1649,300263.SZ,隆华科技,专用机械,1.0,4.046,4.046,1.482,309755.0245
2534,600499.SH,科达洁能,专用机械,1.0,1.837,1.837,3.006,725492.6615
1651,300265.SZ,通光线缆,电气设备,1.0,2.528,2.527,2.358,321605.4896
1668,300282.SZ,三盛教育,文教休闲,1.0,2.12,2.12,3.322,332929.2925
1742,300356.SZ,光一科技,电气设备,1.0,2.219,2.219,5.499,268834.9863
959,002498.SZ,汉缆股份,电气设备,1.0,2.692,2.692,7.116,951203.3279
1904,300520.SZ,科大国创,软件服务,1.0,3.924,3.924,3.318,207105.5007
1905,300521.SZ,爱司凯,专用机械,1.0,3.626,3.626,3.181,71946.61
947,002486.SZ,嘉麟杰,服饰,1.0,2.344,2.344,0.509,323633.375
89,000420.SZ,吉林化纤,化纤,1.0,2.427,2.427,0.474,352556.6411
2013,300635.SZ,达安股份,建筑施工,1.0,2.652,2.652,1.071,70126.7196
2123,300751.SZ,迈为股份,专用机械,1.0,1.765,1.765,1.792,228930.0
932,002471.SZ,中超控股,电气设备,1.0,1.967,1.967,0.0,390912.4272
929,002468.SZ,申通快递,仓储物流,1.0,2.206,2.205,0.588,680472.576
911,002450.SZ,ST康得新,化工原料,1.0,2.07,2.07,5.071,1675090.9444
1064,002604.SZ,*ST龙力,食品,1.0,1.299,1.299,1.923,80783.987
2200,600088.SH,中视传媒,影视音像,1.0,2.099,2.099,0.0,367480.7136
1394,300006.SZ,莱美药业,化学制药,1.0,2.25,2.25,2.934,282638.2064
2213,600103.SH,青山纸业,造纸,1.0,1.799,1.799,0.353,301563.0144
2313,600217.SH,中再资环,环境保护,1.0,2.402,2.402,0.0,618569.1539
779,002318.SZ,久立特材,特种钢,1.0,2.119,2.119,1.245,600805.1377
762,002301.SZ,齐心集团,文教休闲,1.0,1.708,1.708,1.232,578970.7848
749,002288.SZ,超华科技,元器件,1.0,9.98,9.98,3.267,455364.9429
2393,600310.SH,桂东电力,水力发电,1.0,3.44,3.44,0.0,348493.275
1386,002946.SZ,新乳业,乳制品,1.0,1.604,1.604,3.702,162631.8826
1162,002702.SZ,海欣食品,食品,1.0,2.143,2.143,0.466,137417.885
678,002216.SZ,三全食品,食品,1.0,-1.722,-1.722,1.887,433014.1601
1159,002699.SZ,美盛文化,服饰,1.0,3.64,3.64,2.218,437189.3547
