,ts_code,symbol,name,industry,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300845.SZ,300845,捷安高科,软件服务,0.0,5.24,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
1,300839.SZ,300839,博汇股份,石油加工,0.0,5.51,"中国国际金融香港资产管理有限公司--客户资金2
上海明汯投资管理有限公司--明汯股票中性专享1号私募证券投资基金
上海明汯投资管理有限公司--明汯多策略对冲1号基金
上海明汯投资管理有限公司-明汯多策略对冲1号基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金
上海明汯投资管理有限公司--明汯价值成长1期私募投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国国际金融香港资产管理有限公司-客户资金2",8.0
2,300849.SZ,300849,锦盛新材,塑料,0.0,5.57,"上海明汯投资管理有限公司-明汯多策略对冲1号基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金
上海明汯投资管理有限公司-明汯信仪中证500指数增强1号私募证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
新湖期货-国金证券盈享1号单一资产管理计划-新湖期货致义单一资产管理计划",5.0
3,300927.SZ,300927,江天化学,化工原料,0.0,5.78,,0.0
4,300838.SZ,300838,浙江力诺,电器仪表,0.0,5.89,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金",2.0
5,300930.SZ,300930,屹通新材,小金属,0.0,5.94,,0.0
6,300929.SZ,300929,华骐环保,环境保护,0.0,5.95,,0.0
7,300897.SZ,300897,山科智能,电器仪表,0.0,5.96,,0.0
8,300923.SZ,300923,研奥股份,运输设备,0.0,6.11,,0.0
9,300899.SZ,300899,上海凯鑫,环境保护,0.0,6.23,,0.0
10,300960.SZ,300960,通业科技,电气设备,0.0,6.6,,0.0
11,300943.SZ,300943,春晖智控,机械基件,0.0,6.71,,0.0
12,300886.SZ,300886,华业香料,化工原料,0.0,6.76,,0.0
13,300808.SZ,300808,久量股份,家用电器,0.0,6.84,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
14,300972.SZ,300972,万辰生物,种植业,0.0,6.85,,0.0
15,300668.SZ,300668,杰恩设计,装修装饰,0.0,6.98,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
16,300907.SZ,300907,康平科技,电气设备,0.0,7.05,,0.0
17,300913.SZ,300913,兆龙互连,电气设备,0.0,7.08,,0.0
18,300807.SZ,300807,天迈科技,软件服务,0.0,7.15,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金",2.0
19,300865.SZ,300865,大宏立,专用机械,0.0,7.18,"北京汐合精英投资有限公司-汐合量化1号私募证券投资基金
中国国际金融香港资产管理有限公司-客户资金2",2.0
20,300947.SZ,300947,德必集团,综合类,0.0,7.19,,0.0
21,300851.SZ,300851,交大思诺,软件服务,0.0,7.26,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
22,300564.SZ,300564,筑博设计,建筑工程,0.0,7.35,"上海明汯投资管理有限公司-明汯多策略对冲1号基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金
上海明汯投资管理有限公司-明汯信仪中证500指数增强1号私募证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国国际金融香港资产管理有限公司-客户资金2",5.0
23,300813.SZ,300813,泰林生物,医疗保健,0.0,7.37,,0.0
24,300988.SZ,300988,津荣天宇,机械基件,0.0,7.49,,0.0
25,300906.SZ,300906,日月明,专用机械,0.0,7.54,,0.0
26,300781.SZ,300781,因赛集团,广告包装,0.0,7.56,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海景商投资管理有限公司-景商金牛6号私募证券投资基金
安徽科讯创业投资基金合伙企业(有限合伙)",3.0
27,300876.SZ,300876,蒙泰高新,化纤,0.0,7.58,,0.0
28,300971.SZ,300971,博亚精工,机械基件,0.0,7.63,,0.0
29,300938.SZ,300938,信测标准,综合类,0.0,7.68,,0.0
30,300989.SZ,300989,蕾奥规划,建筑工程,0.0,7.71,,0.0
31,300749.SZ,300749,顶固集创,家居用品,0.0,7.78,,0.0
32,300902.SZ,300902,国安达,专用机械,0.0,7.79,,0.0
33,300640.SZ,300640,德艺文创,文教休闲,0.0,7.83,,0.0
34,300926.SZ,300926,博俊科技,汽车配件,0.0,7.84,,0.0
35,300789.SZ,300789,唐源电气,软件服务,0.0,7.84,,0.0
36,300980.SZ,300980,祥源新材,塑料,0.0,7.9,,0.0
37,300978.SZ,300978,东箭科技,汽车配件,0.0,7.99,,0.0
38,300967.SZ,300967,晓鸣股份,农业综合,0.0,8.09,,0.0
39,300881.SZ,300881,盛德鑫泰,钢加工,0.0,8.12,"中国国际金融香港资产管理有限公司-客户资金2
北京源晖投资管理有限公司-源晖量化一号私募证券投资基金",2.0
40,300969.SZ,300969,恒帅股份,汽车配件,0.0,8.12,,0.0
41,300949.SZ,300949,奥雅设计,建筑工程,0.0,8.21,,0.0
42,300882.SZ,300882,万胜智能,电器仪表,0.0,8.24,,0.0
43,300975.SZ,300975,商络电子,元器件,0.0,8.36,,0.0
44,300936.SZ,300936,中英科技,元器件,0.0,8.36,,0.0
45,300885.SZ,300885,海昌新材,机械基件,0.0,8.46,,0.0
46,300956.SZ,300956,英力股份,IT设备,0.0,8.49,,0.0
47,300921.SZ,300921,南凌科技,互联网,0.0,8.57,,0.0
48,300553.SZ,300553,集智股份,电器仪表,0.0,8.65,,0.0
49,300539.SZ,300539,横河精密,塑料,0.0,8.66,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金",2.0
50,300819.SZ,300819,聚杰微纤,化纤,0.0,8.69,"广东润行投资管理有限公司-润行新周期1号私募证券投资基金
广东润行投资管理有限公司-润行新周期8号私募证券投资基金",2.0
51,300977.SZ,300977,深圳瑞捷,建筑工程,0.0,8.73,,0.0
52,300752.SZ,300752,隆利科技,元器件,0.0,8.74,,0.0
53,300928.SZ,300928,华安鑫创,汽车服务,0.0,8.76,,0.0
54,300893.SZ,300893,松原股份,汽车配件,0.0,8.81,"上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金
上海明汯投资管理有限公司-明汯中性添利13号私募证券投资基金",2.0
55,300889.SZ,300889,爱克股份,电气设备,0.0,8.87,,0.0
56,300931.SZ,300931,通用电梯,运输设备,0.0,8.88,,0.0
57,300818.SZ,300818,耐普矿机,专用机械,0.0,8.91,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金",2.0
58,300920.SZ,300920,润阳科技,塑料,0.0,8.92,,0.0
59,300840.SZ,300840,酷特智能,服饰,0.0,8.93,中国农业银行股份有限公司-大成产业升级股票型证券投资基金(LOF),1.0
60,300823.SZ,300823,建科机械,专用机械,0.0,8.99,"无锡汇蠡投资管理中心(有限合伙)-汇蠡水晶稳健私募证券投资基金
全国社保基金一一三组合
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
大成基金-“农银私行·安心快线天天利”开放式人民币理财产品-大成基金定增主题168号单一资产管理计划
交通银行股份有限公司-同泰慧利混合型证券投资基金",5.0
