,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002370.SZ,002370,亚太药业,化学制药,True,6.01,0.0,1.0,27.84,上海华富利得资产-民生银行-富鼎6号专项资产管理计划,1.0
1,002198.SZ,002198,嘉应制药,中成药,True,6.09,9.0,1.0,30.91,深圳市老虎汇资产管理有限公司,1.0
2,600351.SH,600351,亚宝药业,中成药,True,6.3,0.0,1.0,48.51,"中央汇金资产管理有限责任公司
山西省科技基金发展有限公司",2.0
3,000908.SZ,000908,景峰医药,化学制药,True,6.51,0.0,1.0,46.67,"华菱津杉(天津)产业投资管理有限公司-华菱津杉-融创未来资产管理计划
中国长城资产管理股份有限公司
平江县国有资产管理局",3.0
4,000518.SZ,000518,四环生物,生物制药,True,6.56,0.0,3.0,67.54,,0.0
5,000790.SZ,000790,华神科技,中成药,True,6.6,0.0,2.0,40.64,,0.0
6,000950.SZ,000950,重药控股,医药商业,True,6.69,0.0,2.0,58.08,"重庆国际信托股份有限公司-渝信创新优势拾贰号集合资金信托
重庆国际信托股份有限公司-兴国1号集合资金信托计划
重庆渝富资本股权投资基金管理有限公司-重庆战略性新兴产业医药专项股权投资基金合伙企业(有限合伙)",3.0
7,300006.SZ,300006,莱美药业,化学制药,True,7.01,0.0,2.0,47.06,中国对外经济贸易信托有限公司-外贸信托-汇沣8号结构化证券投资集合资金信托计划,1.0
8,300181.SZ,300181,佐力药业,中成药,True,7.4,0.0,1.0,34.32,长信基金-工商银行-长信-朗程-工行定增1号资产管理计划,1.0
9,002173.SZ,002173,创新医疗,医疗保健,True,7.5,0.0,2.0,27.82,,0.0
10,600613.SH,600613,神奇制药,中成药,True,8.41,0.0,1.0,40.31,,0.0
11,300086.SZ,300086,康芝药业,化学制药,True,9.12,0.0,1.0,39.73,云南国际信托有限公司-聚鑫2026号集合资金信托计划,1.0
12,300199.SZ,300199,翰宇药业,化学制药,True,9.61,0.0,2.0,56.46,"深圳市投控资本有限公司-深圳投控共赢股权投资基金合伙企业(有限合伙)
中央汇金资产管理有限责任公司
中国华融资产管理股份有限公司
红土创新基金-广发证券-中国华融资产管理股份有限公司",4.0
13,603669.SH,603669,灵康药业,化学制药,True,10.55,2.0,1.0,75.27,香港中央结算有限公司(陆股通),1.0
14,002788.SZ,002788,鹭燕医药,医药商业,True,10.93,0.0,1.0,34.74,"广发证券股份有限公司-中庚小盘价值股票型证券投资基金
华泰证券股份有限公司-中庚价值领航混合型证券投资基金
中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
中信期货-招商银行-中信期货广发择时对冲2号集合资产管理计划
平安银行股份有限公司-中庚价值灵动灵活配置混合型证券投资基金",5.0
15,300318.SZ,300318,博晖创新,医疗保健,True,11.0,0.0,4.0,79.7,中央汇金资产管理有限责任公司,1.0
16,000534.SZ,000534,万泽股份,生物制药,True,11.66,0.0,1.0,57.31,"华润深国投信托有限公司-润之信13期集合资金信托计划
云南国际信托有限公司-聚信5号集合资金信托计划
九泰基金-浦发银行-九泰基金-恒胜新动力分级1号资产管理计划",3.0
